"","date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"1",2020-10-31,"AK","A",82,82,1,NA,455,455,94,7,NA,NA,588895,17430,NA,NA,588975,NA,6,15312,NA,454,0,NA,NA,NA,NA,14906,7099,NA,0,604207,17884,NA,NA,NA,NA,NA,0,604207,17884
"2",2020-10-31,"AL","A",2967,2761,35,206,20450,20450,960,0,2065,NA,1181958,8989,NA,NA,NA,1192,NA,192285,164295,1789,0,NA,NA,NA,NA,NA,81005,NA,0,1346253,10564,NA,NA,64693,NA,NA,0,1346253,10564
"3",2020-10-31,"AR","A+",1925,1758,25,167,7038,7038,652,35,NA,226,1243490,9324,NA,NA,1243490,834,100,112190,103482,1316,0,NA,3300,NA,9841,NA,100067,NA,0,1346972,10401,NA,21856,NA,61220,NA,0,1346972,10401
"4",2020-10-31,"AS","D",0,NA,0,NA,NA,NA,NA,0,NA,NA,1616,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1616,0,NA,NA,NA,NA,NA,0,1616,0
"5",2020-10-31,"AZ","A+",5979,5664,45,315,21492,21492,889,68,NA,197,1531423,10684,NA,NA,NA,NA,104,245946,240130,1901,0,NA,NA,NA,NA,NA,41159,NA,0,1771553,12458,319537,NA,NA,NA,1771553,12458,NA,0
"6",2020-10-31,"CA","B",17626,NA,55,NA,NA,NA,3212,0,NA,771,17680312,152707,NA,NA,NA,NA,NA,922005,922005,5087,0,NA,NA,NA,NA,NA,NA,NA,0,18602317,157794,NA,NA,NA,NA,NA,0,18602317,157794
"7",2020-10-31,"CO","A",2105,NA,0,NA,9064,9064,788,33,NA,NA,1122056,12015,170938,NA,NA,NA,NA,107350,100220,2924,0,13571,NA,NA,NA,NA,7963,2004722,41137,2004722,41137,184509,NA,NA,NA,1222276,14838,NA,0
"8",2020-10-31,"CT","B",4616,3708,0,908,12257,12257,329,0,NA,NA,2217377,0,NA,NA,NA,NA,NA,71207,67519,0,0,NA,NA,NA,NA,NA,9800,NA,0,2288584,0,NA,NA,NA,NA,NA,0,2284896,0
"9",2020-10-31,"DC","A+",646,NA,0,NA,NA,NA,107,0,NA,29,496986,0,NA,NA,NA,NA,11,17266,NA,122,0,NA,NA,NA,NA,NA,13348,514130,0,514130,0,NA,NA,NA,NA,255048,0,NA,0
"10",2020-10-31,"DE","A+",708,621,4,87,NA,NA,89,0,NA,23,325777,2001,NA,NA,NA,NA,NA,24951,23787,200,0,NA,NA,NA,NA,26846,13188,554871,4014,554871,4014,NA,NA,NA,NA,350728,2201,NA,0
"11",2020-10-31,"FL","A",16969,16969,42,NA,49914,49914,2297,156,NA,NA,5334795,50628,525620,509924,7910274,NA,NA,791997,757438,2283,0,60753,NA,59014,NA,1031299,NA,9979348,35722,9979348,35722,586749,NA,569222,NA,6126792,52911,8987650,28542
"12",2020-10-31,"GA","A+",7979,NA,24,NA,31699,31699,1725,93,5957,NA,3225604,24522,NA,NA,3225604,NA,NA,360790,360790,2565,0,29995,NA,NA,NA,337078,NA,NA,0,3562682,26857,331821,NA,NA,NA,NA,0,3562682,26857
"13",2020-10-31,"GU","A",79,NA,0,NA,NA,NA,92,0,NA,14,62771,370,NA,NA,NA,NA,4,4681,4632,53,0,7,49,NA,NA,NA,2666,NA,0,67452,423,206,409,NA,NA,NA,0,66618,0
"14",2020-10-31,"HI","B",216,NA,1,NA,1097,1097,59,7,NA,11,295153,0,NA,NA,NA,NA,4,15216,15003,100,0,NA,NA,NA,NA,14944,11738,526030,4171,526030,4171,NA,NA,NA,NA,308090,0,NA,0
"15",2020-10-31,"IA","A+",1716,NA,10,NA,NA,NA,630,0,NA,153,770677,3610,NA,63357,NA,NA,55,119755,119755,2570,0,NA,NA,3889,8197,NA,93200,NA,0,890432,6180,NA,NA,67286,81284,892097,6178,NA,0
"16",2020-10-31,"ID","A",626,582,11,44,2572,2572,263,23,549,74,328080,2041,NA,NA,NA,NA,NA,63810,55834,1064,0,NA,NA,NA,NA,NA,29556,NA,0,383914,2906,NA,NA,NA,NA,383914,2906,520322,4548
"17",2020-10-31,"IL","A",10050,9757,56,283,NA,NA,3228,0,NA,680,7319545,84737,NA,NA,NA,NA,290,416559,410300,7899,0,NA,NA,NA,NA,NA,NA,NA,0,7736104,92636,NA,NA,NA,NA,NA,0,7729845,92636
"18",2020-10-31,"IN","A+",4332,4096,46,236,16847,16847,1740,162,3263,515,1519650,10760,NA,NA,NA,NA,174,179358,NA,3465,0,NA,NA,NA,NA,172330,121813,NA,0,2910617,46698,NA,NA,NA,NA,1699008,14225,2910617,46698
"19",2020-10-31,"KS","A+",1029,NA,0,NA,3832,3832,512,0,1067,145,557601,0,NA,NA,NA,323,53,85181,NA,0,0,NA,NA,NA,NA,NA,2659,NA,0,642782,0,NA,NA,NA,NA,642782,0,NA,0
"20",2020-10-31,"KY","B",1485,1463,9,22,7210,7210,964,112,1734,236,1805591,17973,NA,NA,NA,NA,NA,107219,90062,1977,0,NA,NA,NA,NA,NA,18468,NA,0,1895653,19523,86301,62629,NA,NA,NA,0,1895653,19523
"21",2020-10-31,"LA","A",5919,5705,0,214,NA,NA,612,0,NA,NA,2577022,0,NA,NA,NA,NA,79,186649,182270,0,0,NA,NA,NA,NA,NA,168634,NA,0,2763671,0,NA,NA,NA,NA,2759292,0,NA,0
"22",2020-10-31,"MA","A+",9991,9766,16,225,13286,13286,623,33,NA,118,2586802,16830,NA,NA,NA,NA,53,158576,154521,1430,0,NA,NA,NA,NA,199991,127054,NA,0,6103161,93234,NA,NA,127219,187483,2741323,18122,6103161,93234
"23",2020-10-31,"MD","A",4147,4000,10,147,17093,17093,520,70,NA,126,1793391,11187,NA,134409,NA,NA,NA,145281,145281,967,0,NA,NA,13664,NA,175075,8181,NA,0,3422662,32984,NA,NA,148073,NA,1938672,12154,3422662,32984
"24",2020-10-31,"ME","A+",147,146,1,1,486,486,17,0,NA,5,616843,0,11780,NA,615106,NA,1,6668,5907,98,0,361,NA,NA,NA,7204,5517,NA,0,623511,98,12153,NA,NA,NA,NA,0,622672,0
"25",2020-10-31,"MI","A+",7699,7340,34,359,NA,NA,1728,0,NA,398,4714186,45491,NA,NA,4714186,NA,167,197406,178180,4018,0,NA,NA,NA,NA,238280,121093,NA,0,4911592,49509,329831,NA,NA,NA,NA,0,4952466,50074
"26",2020-10-31,"MN","A",2457,2438,20,19,10270,10270,738,151,2695,176,1705786,14452,NA,NA,NA,NA,NA,148472,147831,3007,0,NA,NA,NA,NA,NA,127362,2809133,34438,2809133,34438,NA,30171,NA,NA,1853617,17421,NA,0
"27",2020-10-31,"MO","A+",3024,NA,99,NA,NA,NA,1574,0,NA,464,1326969,7887,81891,71709,2304229,NA,189,183186,183186,2986,0,5556,7286,3618,NA,208594,NA,NA,0,2517550,22684,87651,42673,83662,29401,1510155,10873,2517550,22684
"28",2020-10-31,"MP","D",2,2,0,NA,4,4,NA,0,NA,NA,15993,0,NA,NA,NA,NA,NA,92,92,0,0,NA,NA,NA,NA,NA,29,NA,0,16085,0,NA,NA,NA,NA,16085,0,22633,0
"29",2020-10-31,"MS","A+",3334,3002,6,332,6576,6576,673,0,NA,171,804264,0,NA,NA,NA,NA,76,120160,104847,824,0,95,NA,NA,NA,NA,101385,NA,0,924424,824,44238,94219,NA,NA,NA,0,908108,0
"30",2020-10-31,"MT","B",375,NA,11,NA,1350,1350,369,23,NA,NA,466114,5401,NA,NA,NA,NA,NA,32801,32801,885,0,NA,NA,NA,NA,NA,21353,NA,0,498915,6286,NA,NA,NA,NA,NA,0,498915,6286
"31",2020-10-31,"NC","A+",4378,4301,46,77,NA,NA,1184,0,NA,345,3780521,46560,NA,NA,NA,NA,NA,274635,263177,2805,0,NA,NA,NA,NA,NA,231611,NA,0,4055156,49365,NA,32124,NA,NA,NA,0,4043698,49028
"32",2020-10-31,"ND","B",400,395,0,5,1618,1618,309,32,314,46,250148,693,10173,NA,NA,NA,NA,43916,43916,1433,0,673,NA,NA,NA,NA,35533,832109,8782,832109,8782,10846,NA,NA,NA,294064,2126,866805,9303
"33",2020-10-31,"NE","A",646,NA,9,NA,3033,3033,584,56,NA,NA,521373,3425,NA,NA,854811,NA,NA,69645,69645,1495,0,NA,NA,NA,NA,82081,43952,NA,0,938123,17459,NA,NA,NA,NA,591333,4923,938123,17459
"34",2020-10-31,"NH","B",483,NA,1,NA,779,779,42,2,255,NA,334001,6189,NA,NA,NA,NA,NA,11084,11084,200,0,NA,NA,NA,NA,NA,9263,NA,0,616594,6670,33039,NA,32170,NA,345085,6389,616594,6670
"35",2020-10-31,"NJ","A",16350,14557,11,1793,37688,37688,1090,75,NA,216,4418220,80236,NA,NA,NA,NA,91,237886,237886,1363,0,NA,NA,NA,NA,NA,37127,NA,0,4656106,81599,NA,NA,NA,NA,NA,0,4656106,83575
"36",2020-10-31,"NM","B",1018,NA,11,NA,4617,4617,354,64,NA,NA,1126230,10252,NA,NA,NA,NA,NA,46490,46490,581,0,NA,NA,NA,NA,NA,21570,NA,0,1172720,10833,NA,NA,NA,NA,NA,0,1172720,10833
"37",2020-10-31,"NV","A+",1777,NA,0,NA,NA,NA,585,0,NA,165,707724,3925,NA,NA,NA,NA,58,100763,100763,977,0,NA,NA,NA,NA,NA,NA,1253083,10374,1253083,10374,NA,NA,NA,NA,808487,4902,1154583,0
"38",2020-10-31,"NY","B",25807,NA,3,NA,89995,89995,1121,0,NA,248,14020238,134913,NA,NA,NA,NA,122,507480,507480,2049,0,NA,NA,NA,NA,NA,79717,14527718,136962,14527718,136962,NA,NA,NA,NA,NA,0,NA,0
"39",2020-10-31,"OH","A+",5301,4988,10,313,19132,19132,1666,163,3859,432,4255983,54829,NA,NA,NA,NA,235,215697,203356,2915,0,NA,NA,NA,NA,NA,168884,NA,0,4471680,57744,NA,NA,NA,NA,NA,0,4459339,57576
