geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200329,,20201030,215,0.28571428571429,,
al,deaths_7dav_incidence_num,20200329,,20201030,215,1.4285714285714,,
ar,deaths_7dav_incidence_num,20200329,,20201030,215,0.85714285714286,,
az,deaths_7dav_incidence_num,20200329,,20201030,215,2.1428571428571,,
ca,deaths_7dav_incidence_num,20200329,,20201030,215,13.428571428571,,
co,deaths_7dav_incidence_num,20200329,,20201030,215,5.7142857142857,,
ct,deaths_7dav_incidence_num,20200329,,20201030,215,3.7142857142857,,
dc,deaths_7dav_incidence_num,20200329,,20201030,215,0.42857142857143,,
de,deaths_7dav_incidence_num,20200329,,20201030,215,0.85714285714286,,
fl,deaths_7dav_incidence_num,20200329,,20201030,215,6.1428571428571,,
ga,deaths_7dav_incidence_num,20200329,,20201030,215,7.8571428571429,,
hi,deaths_7dav_incidence_num,20200329,,20201014,199,0,,
ia,deaths_7dav_incidence_num,20200329,,20201030,215,0.57142857142857,,
id,deaths_7dav_incidence_num,20200329,,20201030,215,0.71428571428571,,
il,deaths_7dav_incidence_num,20200329,,20201030,215,8.1428571428571,,
in,deaths_7dav_incidence_num,20200329,,20201030,215,3.7142857142857,,
ks,deaths_7dav_incidence_num,20200329,,20201030,215,0.71428571428571,,
ky,deaths_7dav_incidence_num,20200329,,20201030,215,0.85714285714286,,
la,deaths_7dav_incidence_num,20200329,,20201030,215,18.714285714286,,
ma,deaths_7dav_incidence_num,20200329,,20201030,215,6.1428571428571,,
md,deaths_7dav_incidence_num,20200329,,20201014,199,1,,
me,deaths_7dav_incidence_num,20200329,,20201030,215,0.42857142857143,,
mi,deaths_7dav_incidence_num,20200329,,20201030,215,20.714285714286,,
mn,deaths_7dav_incidence_num,20200329,,20201030,215,1.1428571428571,,
mo,deaths_7dav_incidence_num,20200329,,20201030,215,1.8571428571429,,
ms,deaths_7dav_incidence_num,20200329,,20201030,215,1.8571428571429,,
mt,deaths_7dav_incidence_num,20200329,,20201030,215,0.14285714285714,,
nc,deaths_7dav_incidence_num,20200329,,20201014,199,1,,
nd,deaths_7dav_incidence_num,20200329,,20201030,215,0.14285714285714,,
ne,deaths_7dav_incidence_num,20200329,,20201030,215,0.28571428571429,,
nh,deaths_7dav_incidence_num,20200329,,20201030,215,0.28571428571429,,
nj,deaths_7dav_incidence_num,20200329,,20201030,215,27.142857142857,,
nm,deaths_7dav_incidence_num,20200329,,20201030,215,0.28571428571429,,
nv,deaths_7dav_incidence_num,20200329,,20201030,215,1.8571428571429,,
ny,deaths_7dav_incidence_num,20200329,,20201030,215,232.14285714286,,
oh,deaths_7dav_incidence_num,20200329,,20201030,215,3.7142857142857,,
ok,deaths_7dav_incidence_num,20200329,,20201014,199,2,,
or,deaths_7dav_incidence_num,20200329,,20201030,215,1.1428571428571,,
pa,deaths_7dav_incidence_num,20200329,,20201030,215,5.2857142857143,,
pr,deaths_7dav_incidence_num,20200329,,20201030,215,0.28571428571429,,
ri,deaths_7dav_incidence_num,20200329,,20201030,215,0.28571428571429,,
sc,deaths_7dav_incidence_num,20200329,,20201030,215,1.8571428571429,,
sd,deaths_7dav_incidence_num,20200329,,20201014,199,0,,
tn,deaths_7dav_incidence_num,20200329,,20201030,215,0.85714285714286,,
tx,deaths_7dav_incidence_num,20200329,,20201030,215,5.5714285714286,,
ut,deaths_7dav_incidence_num,20200329,,20201030,215,0.14285714285714,,
va,deaths_7dav_incidence_num,20200329,,20201014,199,2,,
vt,deaths_7dav_incidence_num,20200329,,20201030,215,1.4285714285714,,
wa,deaths_7dav_incidence_num,20200329,,20201030,215,14.428571428571,,
wi,deaths_7dav_incidence_num,20200329,,20201014,199,2,,
wv,deaths_7dav_incidence_num,20200329,,20201014,199,0,,
wy,deaths_7dav_incidence_num,20200329,,20201014,199,0,,
