geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200324,,20201030,220,5.5714285714286,,
al,confirmed_7dav_incidence_num,20200324,,20201014,204,29,,
ar,confirmed_7dav_incidence_num,20200324,,20201030,220,30.857142857143,,
az,confirmed_7dav_incidence_num,20200324,,20201030,220,43.714285714286,,
ca,confirmed_7dav_incidence_num,20200324,,20201030,220,263.14285714286,,
co,confirmed_7dav_incidence_num,20200324,,20201030,220,104.14285714286,,
ct,confirmed_7dav_incidence_num,20200324,,20201030,220,78.571428571429,,
dc,confirmed_7dav_incidence_num,20200324,,20201014,204,17,,
de,confirmed_7dav_incidence_num,20200324,,20201030,220,12.571428571429,,
fl,confirmed_7dav_incidence_num,20200324,,20201030,220,174.57142857143,,
ga,confirmed_7dav_incidence_num,20200324,,20201030,220,125.71428571429,,
hi,confirmed_7dav_incidence_num,20200324,,20201030,220,11.428571428571,,
ia,confirmed_7dav_incidence_num,20200324,,20201030,220,14.428571428571,,
id,confirmed_7dav_incidence_num,20200324,,20201030,220,10.428571428571,,
il,confirmed_7dav_incidence_num,20200324,,20201030,220,196.57142857143,,
in,confirmed_7dav_incidence_num,20200324,,20201030,220,48.285714285714,,
ks,confirmed_7dav_incidence_num,20200324,,20201030,220,11.714285714286,,
ky,confirmed_7dav_incidence_num,20200324,,20201030,220,19.428571428571,,
la,confirmed_7dav_incidence_num,20200324,,20201030,220,170.28571428571,,
ma,confirmed_7dav_incidence_num,20200324,,20201030,220,408.28571428571,,
md,confirmed_7dav_incidence_num,20200324,,20201030,220,41.285714285714,,
me,confirmed_7dav_incidence_num,20200324,,20201030,220,13.142857142857,,
mi,confirmed_7dav_incidence_num,20200324,,20201030,220,264.57142857143,,
mn,confirmed_7dav_incidence_num,20200324,,20201030,220,28.857142857143,,
mo,confirmed_7dav_incidence_num,20200324,,20201030,220,39.571428571429,,
ms,confirmed_7dav_incidence_num,20200324,,20201030,220,42.714285714286,,
mt,confirmed_7dav_incidence_num,20200324,,20201030,220,6.1428571428571,,
nc,confirmed_7dav_incidence_num,20200324,,20201030,220,68.857142857143,,
nd,confirmed_7dav_incidence_num,20200324,,20201030,220,4.7142857142857,,
ne,confirmed_7dav_incidence_num,20200324,,20201030,220,6.1428571428571,,
nh,confirmed_7dav_incidence_num,20200324,,20201030,220,10.714285714286,,
nj,confirmed_7dav_incidence_num,20200324,,20201030,220,489.28571428571,,
nm,confirmed_7dav_incidence_num,20200324,,20201014,204,11,,
nv,confirmed_7dav_incidence_num,20200324,,20201030,220,31.857142857143,,
ny,confirmed_7dav_incidence_num,20200324,,20201030,220,3467.7142857143,,
oh,confirmed_7dav_incidence_num,20200324,,20201030,220,71.428571428571,,
ok,confirmed_7dav_incidence_num,20200324,,20201030,220,12.714285714286,,
or,confirmed_7dav_incidence_num,20200324,,20201030,220,20.571428571429,,
pa,confirmed_7dav_incidence_num,20200324,,20201030,220,119.14285714286,,
pr,confirmed_7dav_incidence_num,20200324,,20201030,220,4.8571428571429,,
ri,confirmed_7dav_incidence_num,20200324,,20201030,220,14.428571428571,,
sc,confirmed_7dav_incidence_num,20200324,,20201030,220,42.142857142857,,
sd,confirmed_7dav_incidence_num,20200324,,20201030,220,2.7142857142857,,
tn,confirmed_7dav_incidence_num,20200324,,20201030,220,99.714285714286,,
tx,confirmed_7dav_incidence_num,20200324,,20201030,220,120.71428571429,,
ut,confirmed_7dav_incidence_num,20200324,,20201014,204,37,,
va,confirmed_7dav_incidence_num,20200324,,20201030,220,32.285714285714,,
vt,confirmed_7dav_incidence_num,20200324,,20201030,220,11.857142857143,,
wa,confirmed_7dav_incidence_num,20200324,,20201030,220,196.14285714286,,
wi,confirmed_7dav_incidence_num,20200324,,20201030,220,58.285714285714,,
wv,confirmed_7dav_incidence_num,20200324,,20201030,220,3.1428571428571,,
wy,confirmed_7dav_incidence_num,20200324,,20201030,220,2.5714285714286,,
