geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200522,,20201014,145,0,,
al,deaths_7dav_incidence_num,20200522,,20201030,161,8.2857142857143,,
ar,deaths_7dav_incidence_num,20200522,,20201030,161,2.1428571428571,,
az,deaths_7dav_incidence_num,20200522,,20201030,161,17.714285714286,,
ca,deaths_7dav_incidence_num,20200522,,20201030,161,75.571428571429,,
co,deaths_7dav_incidence_num,20200522,,20201030,161,24.857142857143,,
ct,deaths_7dav_incidence_num,20200522,,20201030,161,50.285714285714,,
dc,deaths_7dav_incidence_num,20200522,,20201030,161,7.1428571428571,,
de,deaths_7dav_incidence_num,20200522,,20201030,161,7.2857142857143,,
fl,deaths_7dav_incidence_num,20200522,,20201014,145,39,,
ga,deaths_7dav_incidence_num,20200522,,20201030,161,31.428571428571,,
hi,deaths_7dav_incidence_num,20200522,,20201014,145,0,,
ia,deaths_7dav_incidence_num,20200522,,20201030,161,12.571428571429,,
id,deaths_7dav_incidence_num,20200522,,20201014,145,1,,
il,deaths_7dav_incidence_num,20200522,,20201030,161,93.714285714286,,
in,deaths_7dav_incidence_num,20200522,,20201030,161,35.714285714286,,
ks,deaths_7dav_incidence_num,20200522,,20201030,161,1.7142857142857,,
ky,deaths_7dav_incidence_num,20200522,,20201030,161,8.4285714285714,,
la,deaths_7dav_incidence_num,20200522,,20201030,161,31.428571428571,,
ma,deaths_7dav_incidence_num,20200522,,20201030,161,90.857142857143,,
md,deaths_7dav_incidence_num,20200522,,20201030,161,42.285714285714,,
me,deaths_7dav_incidence_num,20200522,,20201030,161,0.85714285714286,,
mi,deaths_7dav_incidence_num,20200522,,20201030,161,47.428571428571,,
mn,deaths_7dav_incidence_num,20200522,,20201030,161,22.714285714286,,
mo,deaths_7dav_incidence_num,20200522,,20201030,161,11.142857142857,,
ms,deaths_7dav_incidence_num,20200522,,20201030,161,14.571428571429,,
mt,deaths_7dav_incidence_num,20200522,,20201014,145,0,,
nc,deaths_7dav_incidence_num,20200522,,20201030,161,15.428571428571,,
nd,deaths_7dav_incidence_num,20200522,,20201030,161,1.4285714285714,,
ne,deaths_7dav_incidence_num,20200522,,20201030,161,4.8571428571429,,
nh,deaths_7dav_incidence_num,20200522,,20201030,161,6.4285714285714,,
nj,deaths_7dav_incidence_num,20200522,,20201030,161,124.85714285714,,
nm,deaths_7dav_incidence_num,20200522,,20201014,145,7,,
nv,deaths_7dav_incidence_num,20200522,,20201030,161,6.1428571428571,,
ny,deaths_7dav_incidence_num,20200522,,20201030,161,170.14285714286,,
oh,deaths_7dav_incidence_num,20200522,,20201030,161,41.571428571429,,
ok,deaths_7dav_incidence_num,20200522,,20201030,161,3.1428571428571,,
or,deaths_7dav_incidence_num,20200522,,20201030,161,1.4285714285714,,
pa,deaths_7dav_incidence_num,20200522,,20201014,145,84,,
pr,deaths_7dav_incidence_num,20200522,,20201030,161,0.57142857142857,,
ri,deaths_7dav_incidence_num,20200522,,20201030,161,14.142857142857,,
sc,deaths_7dav_incidence_num,20200522,,20201030,161,5.5714285714286,,
sd,deaths_7dav_incidence_num,20200522,,20201030,161,0.85714285714286,,
tn,deaths_7dav_incidence_num,20200522,,20201030,161,3.5714285714286,,
tx,deaths_7dav_incidence_num,20200522,,20201014,145,28,,
ut,deaths_7dav_incidence_num,20200522,,20201030,161,2.2857142857143,,
va,deaths_7dav_incidence_num,20200522,,20201030,161,22.571428571429,,
vt,deaths_7dav_incidence_num,20200522,,20201030,161,0.14285714285714,,
wa,deaths_7dav_incidence_num,20200522,,20201030,161,8.4285714285714,,
wi,deaths_7dav_incidence_num,20200522,,20201030,161,7.2857142857143,,
wv,deaths_7dav_incidence_num,20200522,,20201030,161,1.1428571428571,,
wy,deaths_7dav_incidence_num,20200522,,20201030,161,0.71428571428571,,
