geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200530,,20201014,137,0,,
al,deaths_7dav_incidence_num,20200530,,20201030,153,9.8571428571429,,
ar,deaths_7dav_incidence_num,20200530,,20201030,153,2.5714285714286,,
az,deaths_7dav_incidence_num,20200530,,20201030,153,14.714285714286,,
ca,deaths_7dav_incidence_num,20200530,,20201030,153,58.142857142857,,
co,deaths_7dav_incidence_num,20200530,,20201030,153,16.571428571429,,
ct,deaths_7dav_incidence_num,20200530,,20201030,153,33.857142857143,,
dc,deaths_7dav_incidence_num,20200530,,20201014,137,5,,
de,deaths_7dav_incidence_num,20200530,,20201030,153,5.5714285714286,,
fl,deaths_7dav_incidence_num,20200530,,20201030,153,30.571428571429,,
ga,deaths_7dav_incidence_num,20200530,,20201014,137,26,,
hi,deaths_7dav_incidence_num,20200530,,20201014,137,0,,
ia,deaths_7dav_incidence_num,20200530,,20201030,153,12.142857142857,,
id,deaths_7dav_incidence_num,20200530,,20201030,153,0.42857142857143,,
il,deaths_7dav_incidence_num,20200530,,20201030,153,77.142857142857,,
in,deaths_7dav_incidence_num,20200530,,20201014,137,23,,
ks,deaths_7dav_incidence_num,20200530,,20201030,153,1.4285714285714,,
ky,deaths_7dav_incidence_num,20200530,,20201030,153,5.7142857142857,,
la,deaths_7dav_incidence_num,20200530,,20201030,153,16.857142857143,,
ma,deaths_7dav_incidence_num,20200530,,20201030,153,66.285714285714,,
md,deaths_7dav_incidence_num,20200530,,20201014,137,38,,
me,deaths_7dav_incidence_num,20200530,,20201030,153,1.7142857142857,,
mi,deaths_7dav_incidence_num,20200530,,20201030,153,33.857142857143,,
mn,deaths_7dav_incidence_num,20200530,,20201014,137,25,,
mo,deaths_7dav_incidence_num,20200530,,20201030,153,6.7142857142857,,
ms,deaths_7dav_incidence_num,20200530,,20201030,153,15.285714285714,,
mt,deaths_7dav_incidence_num,20200530,,20201030,153,0.14285714285714,,
nc,deaths_7dav_incidence_num,20200530,,20201030,153,21.571428571429,,
nd,deaths_7dav_incidence_num,20200530,,20201030,153,1.1428571428571,,
ne,deaths_7dav_incidence_num,20200530,,20201030,153,3.2857142857143,,
nh,deaths_7dav_incidence_num,20200530,,20201030,153,4.2857142857143,,
nj,deaths_7dav_incidence_num,20200530,,20201014,137,83,,
nm,deaths_7dav_incidence_num,20200530,,20201030,153,6.1428571428571,,
nv,deaths_7dav_incidence_num,20200530,,20201030,153,4.2857142857143,,
ny,deaths_7dav_incidence_num,20200530,,20201030,153,88.142857142857,,
oh,deaths_7dav_incidence_num,20200530,,20201030,153,27.571428571429,,
ok,deaths_7dav_incidence_num,20200530,,20201030,153,3.2857142857143,,
or,deaths_7dav_incidence_num,20200530,,20201030,153,0.85714285714286,,
pa,deaths_7dav_incidence_num,20200530,,20201030,153,60.714285714286,,
pr,deaths_7dav_incidence_num,20200530,,20201030,153,0.85714285714286,,
ri,deaths_7dav_incidence_num,20200530,,20201030,153,13.142857142857,,
sc,deaths_7dav_incidence_num,20200530,,20201030,153,8.8571428571429,,
sd,deaths_7dav_incidence_num,20200530,,20201030,153,1.7142857142857,,
tn,deaths_7dav_incidence_num,20200530,,20201014,137,5,,
tx,deaths_7dav_incidence_num,20200530,,20201030,153,30.857142857143,,
ut,deaths_7dav_incidence_num,20200530,,20201030,153,2.1428571428571,,
va,deaths_7dav_incidence_num,20200530,,20201030,153,30.142857142857,,
vt,deaths_7dav_incidence_num,20200530,,20201030,153,0.14285714285714,,
wa,deaths_7dav_incidence_num,20200530,,20201030,153,9.7142857142857,,
wi,deaths_7dav_incidence_num,20200530,,20201030,153,11.571428571429,,
wv,deaths_7dav_incidence_num,20200530,,20201030,153,0.42857142857143,,
wy,deaths_7dav_incidence_num,20200530,,20201030,153,0.57142857142857,,
