geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200811,,20201030,80,69,,
al,confirmed_7dav_incidence_num,20200811,,20201030,80,1449.8571428571,,
ar,confirmed_7dav_incidence_num,20200811,,20201030,80,718.57142857143,,
az,confirmed_7dav_incidence_num,20200811,,20201014,64,1176,,
ca,confirmed_7dav_incidence_num,20200811,,20201030,80,7465.8571428571,,
co,confirmed_7dav_incidence_num,20200811,,20201104,85,435.28571428571,,
ct,confirmed_7dav_incidence_num,20200811,,20201014,64,82,,
dc,confirmed_7dav_incidence_num,20200811,,20201030,80,71.142857142857,,
de,confirmed_7dav_incidence_num,20200811,,20201030,80,80.285714285714,,
fl,confirmed_7dav_incidence_num,20200811,,20201030,80,6494.5714285714,,
ga,confirmed_7dav_incidence_num,20200811,,20201014,64,3520,,
hi,confirmed_7dav_incidence_num,20200811,,20201030,80,166.42857142857,,
ia,confirmed_7dav_incidence_num,20200811,,20201014,64,470,,
id,confirmed_7dav_incidence_num,20200811,,20201030,80,480.28571428571,,
il,confirmed_7dav_incidence_num,20200811,,20201030,80,1750.7142857143,,
in,confirmed_7dav_incidence_num,20200811,,20201030,80,943.85714285714,,
ks,confirmed_7dav_incidence_num,20200811,,20201030,80,383.71428571429,,
ky,confirmed_7dav_incidence_num,20200811,,20201030,80,513.71428571429,,
la,confirmed_7dav_incidence_num,20200811,,20201030,80,1237.7142857143,,
ma,confirmed_7dav_incidence_num,20200811,,20201030,80,289.28571428571,,
md,confirmed_7dav_incidence_num,20200811,,20201030,80,712.71428571429,,
me,confirmed_7dav_incidence_num,20200811,,20201030,80,10.714285714286,,
mi,confirmed_7dav_incidence_num,20200811,,20201030,80,668.71428571429,,
mn,confirmed_7dav_incidence_num,20200811,,20201030,80,668.14285714286,,
mo,confirmed_7dav_incidence_num,20200811,,20201030,80,1002.5714285714,,
ms,confirmed_7dav_incidence_num,20200811,,20201030,80,870.57142857143,,
mt,confirmed_7dav_incidence_num,20200811,,20201030,80,112.85714285714,,
nc,confirmed_7dav_incidence_num,20200811,,20201014,64,1497,,
nd,confirmed_7dav_incidence_num,20200811,,20201014,64,136,,
ne,confirmed_7dav_incidence_num,20200811,,20201030,80,264.57142857143,,
nh,confirmed_7dav_incidence_num,20200811,,20201014,64,24,,
nj,confirmed_7dav_incidence_num,20200811,,20201030,80,357.85714285714,,
nm,confirmed_7dav_incidence_num,20200811,,20201030,80,186.14285714286,,
nv,confirmed_7dav_incidence_num,20200811,,20201014,64,763,,
ny,confirmed_7dav_incidence_num,20200811,,20201030,80,630.57142857143,,
oh,confirmed_7dav_incidence_num,20200811,,20201030,80,1102.8571428571,,
ok,confirmed_7dav_incidence_num,20200811,,20201030,80,752.14285714286,,
or,confirmed_7dav_incidence_num,20200811,,20201030,80,296.42857142857,,
pa,confirmed_7dav_incidence_num,20200811,,20201014,64,756,,
pr,confirmed_7dav_incidence_num,20200811,,20201110,91,313.14285714286,,
ri,confirmed_7dav_incidence_num,20200811,,20201030,80,94.714285714286,,
sc,confirmed_7dav_incidence_num,20200811,,20201030,80,1134.2857142857,,
sd,confirmed_7dav_incidence_num,20200811,,20201030,80,89.857142857143,,
tn,confirmed_7dav_incidence_num,20200811,,20201014,64,1782,,
tx,confirmed_7dav_incidence_num,20200811,,20201030,80,7381.1428571429,,
ut,confirmed_7dav_incidence_num,20200811,,20201030,80,406.42857142857,,
va,confirmed_7dav_incidence_num,20200811,,20201030,80,1070.5714285714,,
vt,confirmed_7dav_incidence_num,20200811,,20201030,80,5.8571428571429,,
wa,confirmed_7dav_incidence_num,20200811,,20201030,80,681.71428571429,,
wi,confirmed_7dav_incidence_num,20200811,,20201030,80,818.42857142857,,
wv,confirmed_7dav_incidence_num,20200811,,20201030,80,117.14285714286,,
wy,confirmed_7dav_incidence_num,20200811,,20201014,64,27,,
