geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200810,,20201030,81,71,,
al,confirmed_7dav_incidence_num,20200810,,20201030,81,1479.8571428571,,
ar,confirmed_7dav_incidence_num,20200810,,20201030,81,775.85714285714,,
az,confirmed_7dav_incidence_num,20200810,,20201030,81,1146.5714285714,,
ca,confirmed_7dav_incidence_num,20200810,,20201030,81,8197.1428571429,,
co,confirmed_7dav_incidence_num,20200810,,20201030,81,438.57142857143,,
ct,confirmed_7dav_incidence_num,20200810,,20201030,81,72.142857142857,,
dc,confirmed_7dav_incidence_num,20200810,,20201030,81,70.571428571429,,
de,confirmed_7dav_incidence_num,20200810,,20201030,81,82.714285714286,,
fl,confirmed_7dav_incidence_num,20200810,,20201030,81,6439.5714285714,,
ga,confirmed_7dav_incidence_num,20200810,,20201014,65,3370,,
hi,confirmed_7dav_incidence_num,20200810,,20201014,65,170,,
ia,confirmed_7dav_incidence_num,20200810,,20201030,81,465.71428571429,,
id,confirmed_7dav_incidence_num,20200810,,20201030,81,490.57142857143,,
il,confirmed_7dav_incidence_num,20200810,,20201030,81,1739.5714285714,,
in,confirmed_7dav_incidence_num,20200810,,20201014,65,937,,
ks,confirmed_7dav_incidence_num,20200810,,20201014,65,393,,
ky,confirmed_7dav_incidence_num,20200810,,20201030,81,535.14285714286,,
la,confirmed_7dav_incidence_num,20200810,,20201030,81,1587.8571428571,,
ma,confirmed_7dav_incidence_num,20200810,,20201030,81,291.71428571429,,
md,confirmed_7dav_incidence_num,20200810,,20201030,81,730.57142857143,,
me,confirmed_7dav_incidence_num,20200810,,20201030,81,11.571428571429,,
mi,confirmed_7dav_incidence_num,20200810,,20201030,81,666.57142857143,,
mn,confirmed_7dav_incidence_num,20200810,,20201014,65,708,,
mo,confirmed_7dav_incidence_num,20200810,,20201030,81,1020.7142857143,,
ms,confirmed_7dav_incidence_num,20200810,,20201014,65,932,,
mt,confirmed_7dav_incidence_num,20200810,,20201014,65,112,,
nc,confirmed_7dav_incidence_num,20200810,,20201030,81,1477.8571428571,,
nd,confirmed_7dav_incidence_num,20200810,,20201030,81,132.57142857143,,
ne,confirmed_7dav_incidence_num,20200810,,20201030,81,248.57142857143,,
nh,confirmed_7dav_incidence_num,20200810,,20201030,81,25.714285714286,,
nj,confirmed_7dav_incidence_num,20200810,,20201030,81,345.28571428571,,
nm,confirmed_7dav_incidence_num,20200810,,20201030,81,187.71428571429,,
nv,confirmed_7dav_incidence_num,20200810,,20201030,81,824.71428571429,,
ny,confirmed_7dav_incidence_num,20200810,,20201030,81,641.85714285714,,
oh,confirmed_7dav_incidence_num,20200810,,20201030,81,1109.7142857143,,
ok,confirmed_7dav_incidence_num,20200810,,20201030,81,765.85714285714,,
or,confirmed_7dav_incidence_num,20200810,,20201030,81,303.14285714286,,
pa,confirmed_7dav_incidence_num,20200810,,20201014,65,761,,
pr,confirmed_7dav_incidence_num,20200810,,20201110,92,315.14285714286,,
ri,confirmed_7dav_incidence_num,20200810,,20201030,81,98.285714285714,,
sc,confirmed_7dav_incidence_num,20200810,,20201030,81,1172.5714285714,,
sd,confirmed_7dav_incidence_num,20200810,,20201030,81,90.857142857143,,
tn,confirmed_7dav_incidence_num,20200810,,20201030,81,1896.8571428571,,
tx,confirmed_7dav_incidence_num,20200810,,20201030,81,7565.2857142857,,
ut,confirmed_7dav_incidence_num,20200810,,20201030,81,408.71428571429,,
va,confirmed_7dav_incidence_num,20200810,,20201030,81,1091.8571428571,,
vt,confirmed_7dav_incidence_num,20200810,,20201014,65,5,,
wa,confirmed_7dav_incidence_num,20200810,,20201030,81,704.57142857143,,
wi,confirmed_7dav_incidence_num,20200810,,20201014,65,819,,
wv,confirmed_7dav_incidence_num,20200810,,20201030,81,111.28571428571,,
wy,confirmed_7dav_incidence_num,20200810,,20201030,81,27.714285714286,,
