geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200814,,20201030,77,83.142857142857,,
al,confirmed_7dav_incidence_num,20200814,,20201014,61,1144,,
ar,confirmed_7dav_incidence_num,20200814,,20201030,77,621.85714285714,,
az,confirmed_7dav_incidence_num,20200814,,20201030,77,952.57142857143,,
ca,confirmed_7dav_incidence_num,20200814,,20201030,77,9469.5714285714,,
co,confirmed_7dav_incidence_num,20200814,,20201104,82,377.85714285714,,
ct,confirmed_7dav_incidence_num,20200814,,20201030,77,82.428571428571,,
dc,confirmed_7dav_incidence_num,20200814,,20201030,77,75.571428571429,,
de,confirmed_7dav_incidence_num,20200814,,20201030,77,127.85714285714,,
fl,confirmed_7dav_incidence_num,20200814,,20201030,77,6458.5714285714,,
ga,confirmed_7dav_incidence_num,20200814,,20201030,77,3270.1428571429,,
hi,confirmed_7dav_incidence_num,20200814,,20201014,61,204,,
ia,confirmed_7dav_incidence_num,20200814,,20201030,77,458.14285714286,,
id,confirmed_7dav_incidence_num,20200814,,20201030,77,463.71428571429,,
il,confirmed_7dav_incidence_num,20200814,,20201014,61,1745,,
in,confirmed_7dav_incidence_num,20200814,,20201030,77,911.14285714286,,
ks,confirmed_7dav_incidence_num,20200814,,20201030,77,413.28571428571,,
ky,confirmed_7dav_incidence_num,20200814,,20201030,77,643.14285714286,,
la,confirmed_7dav_incidence_num,20200814,,20201030,77,1141.5714285714,,
ma,confirmed_7dav_incidence_num,20200814,,20201030,77,287.71428571429,,
md,confirmed_7dav_incidence_num,20200814,,20201030,77,724.14285714286,,
me,confirmed_7dav_incidence_num,20200814,,20201030,77,14.285714285714,,
mi,confirmed_7dav_incidence_num,20200814,,20201030,77,719.57142857143,,
mn,confirmed_7dav_incidence_num,20200814,,20201030,77,648.28571428571,,
mo,confirmed_7dav_incidence_num,20200814,,20201030,77,1136.5714285714,,
ms,confirmed_7dav_incidence_num,20200814,,20201030,77,784.85714285714,,
mt,confirmed_7dav_incidence_num,20200814,,20201014,61,112,,
nc,confirmed_7dav_incidence_num,20200814,,20201030,77,1402.4285714286,,
nd,confirmed_7dav_incidence_num,20200814,,20201030,77,142.14285714286,,
ne,confirmed_7dav_incidence_num,20200814,,20201030,77,269.14285714286,,
nh,confirmed_7dav_incidence_num,20200814,,20201030,77,26.428571428571,,
nj,confirmed_7dav_incidence_num,20200814,,20201030,77,443.28571428571,,
nm,confirmed_7dav_incidence_num,20200814,,20201030,77,170.71428571429,,
nv,confirmed_7dav_incidence_num,20200814,,20201030,77,745.14285714286,,
ny,confirmed_7dav_incidence_num,20200814,,20201030,77,646.42857142857,,
oh,confirmed_7dav_incidence_num,20200814,,20201014,61,1126,,
ok,confirmed_7dav_incidence_num,20200814,,20201030,77,663.14285714286,,
or,confirmed_7dav_incidence_num,20200814,,20201030,77,282.57142857143,,
pa,confirmed_7dav_incidence_num,20200814,,20201030,77,814.85714285714,,
pr,confirmed_7dav_incidence_num,20200814,,20201110,88,357.14285714286,,
ri,confirmed_7dav_incidence_num,20200814,,20201030,77,85.285714285714,,
sc,confirmed_7dav_incidence_num,20200814,,20201014,61,946,,
sd,confirmed_7dav_incidence_num,20200814,,20201030,77,92.714285714286,,
tn,confirmed_7dav_incidence_num,20200814,,20201014,61,1668,,
tx,confirmed_7dav_incidence_num,20200814,,20201030,77,6909.8571428571,,
ut,confirmed_7dav_incidence_num,20200814,,20201030,77,371.57142857143,,
va,confirmed_7dav_incidence_num,20200814,,20201030,77,993.71428571429,,
vt,confirmed_7dav_incidence_num,20200814,,20201030,77,7.5714285714286,,
wa,confirmed_7dav_incidence_num,20200814,,20201030,77,650.28571428571,,
wi,confirmed_7dav_incidence_num,20200814,,20201030,77,779.85714285714,,
wv,confirmed_7dav_incidence_num,20200814,,20201030,77,117.85714285714,,
wy,confirmed_7dav_incidence_num,20200814,,20201030,77,26.142857142857,,
