geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200618,,20201030,134,18.428571428571,,
al,confirmed_7dav_incidence_num,20200618,,20201030,134,765.85714285714,,
ar,confirmed_7dav_incidence_num,20200618,,20201030,134,444.57142857143,,
az,confirmed_7dav_incidence_num,20200618,,20201030,134,1739.7142857143,,
ca,confirmed_7dav_incidence_num,20200618,,20201030,134,3384.8571428571,,
co,confirmed_7dav_incidence_num,20200618,,20201030,134,179.14285714286,,
ct,confirmed_7dav_incidence_num,20200618,,20201030,134,139.85714285714,,
dc,confirmed_7dav_incidence_num,20200618,,20201030,134,44.857142857143,,
de,confirmed_7dav_incidence_num,20200618,,20201030,134,56.142857142857,,
fl,confirmed_7dav_incidence_num,20200618,,20201030,134,2408.1428571429,,
ga,confirmed_7dav_incidence_num,20200618,,20201030,134,848.42857142857,,
hi,confirmed_7dav_incidence_num,20200618,,20201014,118,10,,
ia,confirmed_7dav_incidence_num,20200618,,20201030,134,269.71428571429,,
id,confirmed_7dav_incidence_num,20200618,,20201014,118,69,,
il,confirmed_7dav_incidence_num,20200618,,20201030,134,596.42857142857,,
in,confirmed_7dav_incidence_num,20200618,,20201030,134,384.28571428571,,
ks,confirmed_7dav_incidence_num,20200618,,20201030,134,132.85714285714,,
ky,confirmed_7dav_incidence_num,20200618,,20201030,134,178.85714285714,,
la,confirmed_7dav_incidence_num,20200618,,20201030,134,594.57142857143,,
ma,confirmed_7dav_incidence_num,20200618,,20201014,118,203,,
md,confirmed_7dav_incidence_num,20200618,,20201030,134,433.14285714286,,
me,confirmed_7dav_incidence_num,20200618,,20201030,134,30.142857142857,,
mi,confirmed_7dav_incidence_num,20200618,,20201014,118,202,,
mn,confirmed_7dav_incidence_num,20200618,,20201014,118,337,,
mo,confirmed_7dav_incidence_num,20200618,,20201030,134,203.57142857143,,
ms,confirmed_7dav_incidence_num,20200618,,20201030,134,308.28571428571,,
mt,confirmed_7dav_incidence_num,20200618,,20201030,134,13.142857142857,,
nc,confirmed_7dav_incidence_num,20200618,,20201030,134,1254.1428571429,,
nd,confirmed_7dav_incidence_num,20200618,,20201030,134,30.428571428571,,
ne,confirmed_7dav_incidence_num,20200618,,20201014,118,157,,
nh,confirmed_7dav_incidence_num,20200618,,20201030,134,34.428571428571,,
nj,confirmed_7dav_incidence_num,20200618,,20201030,134,327.28571428571,,
nm,confirmed_7dav_incidence_num,20200618,,20201030,134,112.28571428571,,
nv,confirmed_7dav_incidence_num,20200618,,20201030,134,242.28571428571,,
ny,confirmed_7dav_incidence_num,20200618,,20201030,134,695.42857142857,,
oh,confirmed_7dav_incidence_num,20200618,,20201030,134,445.42857142857,,
ok,confirmed_7dav_incidence_num,20200618,,20201014,118,247,,
or,confirmed_7dav_incidence_num,20200618,,20201030,134,161.28571428571,,
pa,confirmed_7dav_incidence_num,20200618,,20201014,118,405,,
pr,confirmed_7dav_incidence_num,20200618,,20201110,145,15,,
ri,confirmed_7dav_incidence_num,20200618,,20201030,134,58.142857142857,,
sc,confirmed_7dav_incidence_num,20200618,,20201030,134,727.42857142857,,
sd,confirmed_7dav_incidence_num,20200618,,20201030,134,62.142857142857,,
tn,confirmed_7dav_incidence_num,20200618,,20201030,134,632.85714285714,,
tx,confirmed_7dav_incidence_num,20200618,,20201030,134,2657.2857142857,,
ut,confirmed_7dav_incidence_num,20200618,,20201030,134,369.57142857143,,
va,confirmed_7dav_incidence_num,20200618,,20201014,118,513,,
vt,confirmed_7dav_incidence_num,20200618,,20201030,134,3.5714285714286,,
wa,confirmed_7dav_incidence_num,20200618,,20201030,134,344.71428571429,,
wi,confirmed_7dav_incidence_num,20200618,,20201030,134,278.57142857143,,
wv,confirmed_7dav_incidence_num,20200618,,20201030,134,28.714285714286,,
wy,confirmed_7dav_incidence_num,20200618,,20201030,134,19.285714285714,,
