geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200612,,20201030,140,0.28571428571429,,
al,deaths_7dav_incidence_num,20200612,,20201030,140,13.285714285714,,
ar,deaths_7dav_incidence_num,20200612,,20201030,140,3.4285714285714,,
az,deaths_7dav_incidence_num,20200612,,20201030,140,20.142857142857,,
ca,deaths_7dav_incidence_num,20200612,,20201030,140,64.142857142857,,
co,deaths_7dav_incidence_num,20200612,,20201030,140,8.2857142857143,,
ct,deaths_7dav_incidence_num,20200612,,20201030,140,17.285714285714,,
dc,deaths_7dav_incidence_num,20200612,,20201030,140,3.8571428571429,,
de,deaths_7dav_incidence_num,20200612,,20201030,140,3.7142857142857,,
fl,deaths_7dav_incidence_num,20200612,,20201014,124,31,,
ga,deaths_7dav_incidence_num,20200612,,20201030,140,34.857142857143,,
hi,deaths_7dav_incidence_num,20200612,,20201014,124,0,,
ia,deaths_7dav_incidence_num,20200612,,20201030,140,7.2857142857143,,
id,deaths_7dav_incidence_num,20200612,,20201030,140,0.57142857142857,,
il,deaths_7dav_incidence_num,20200612,,20201030,140,66.428571428571,,
in,deaths_7dav_incidence_num,20200612,,20201030,140,19.714285714286,,
ks,deaths_7dav_incidence_num,20200612,,20201030,140,1.5714285714286,,
ky,deaths_7dav_incidence_num,20200612,,20201030,140,4.4285714285714,,
la,deaths_7dav_incidence_num,20200612,,20201014,124,12,,
ma,deaths_7dav_incidence_num,20200612,,20201030,140,43.285714285714,,
md,deaths_7dav_incidence_num,20200612,,20201030,140,28.285714285714,,
me,deaths_7dav_incidence_num,20200612,,20201030,140,0.28571428571429,,
mi,deaths_7dav_incidence_num,20200612,,20201030,140,11.142857142857,,
mn,deaths_7dav_incidence_num,20200612,,20201030,140,20.857142857143,,
mo,deaths_7dav_incidence_num,20200612,,20201030,140,5.8571428571429,,
ms,deaths_7dav_incidence_num,20200612,,20201030,140,11.142857142857,,
mt,deaths_7dav_incidence_num,20200612,,20201014,124,0,,
nc,deaths_7dav_incidence_num,20200612,,20201030,140,15.142857142857,,
nd,deaths_7dav_incidence_num,20200612,,20201030,140,0.42857142857143,,
ne,deaths_7dav_incidence_num,20200612,,20201014,124,4,,
nh,deaths_7dav_incidence_num,20200612,,20201030,140,5.2857142857143,,
nj,deaths_7dav_incidence_num,20200612,,20201030,140,64.857142857143,,
nm,deaths_7dav_incidence_num,20200612,,20201030,140,4.7142857142857,,
nv,deaths_7dav_incidence_num,20200612,,20201030,140,3.5714285714286,,
ny,deaths_7dav_incidence_num,20200612,,20201014,124,62,,
oh,deaths_7dav_incidence_num,20200612,,20201030,140,21.857142857143,,
ok,deaths_7dav_incidence_num,20200612,,20201030,140,2.1428571428571,,
or,deaths_7dav_incidence_num,20200612,,20201030,140,1.7142857142857,,
pa,deaths_7dav_incidence_num,20200612,,20201030,140,37.714285714286,,
pr,deaths_7dav_incidence_num,20200612,,20201030,140,0.71428571428571,,
ri,deaths_7dav_incidence_num,20200612,,20201030,140,6.7142857142857,,
sc,deaths_7dav_incidence_num,20200612,,20201030,140,7.7142857142857,,
sd,deaths_7dav_incidence_num,20200612,,20201030,140,1.4285714285714,,
tn,deaths_7dav_incidence_num,20200612,,20201030,140,8.2857142857143,,
tx,deaths_7dav_incidence_num,20200612,,20201030,140,23.428571428571,,
ut,deaths_7dav_incidence_num,20200612,,20201030,140,2.7142857142857,,
va,deaths_7dav_incidence_num,20200612,,20201030,140,11.428571428571,,
vt,deaths_7dav_incidence_num,20200612,,20201014,124,0,,
wa,deaths_7dav_incidence_num,20200612,,20201030,140,7.8571428571429,,
wi,deaths_7dav_incidence_num,20200612,,20201014,124,8,,
wv,deaths_7dav_incidence_num,20200612,,20201030,140,0.57142857142857,,
wy,deaths_7dav_incidence_num,20200612,,20201030,140,0.14285714285714,,
