geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200505,,20201030,178,2.8571428571429,,
al,confirmed_7dav_incidence_num,20200505,,20201014,162,241,,
ar,confirmed_7dav_incidence_num,20200505,,20201030,178,56.857142857143,,
az,confirmed_7dav_incidence_num,20200505,,20201030,178,335.71428571429,,
ca,confirmed_7dav_incidence_num,20200505,,20201014,162,1756,,
co,confirmed_7dav_incidence_num,20200505,,20201030,178,435.85714285714,,
ct,confirmed_7dav_incidence_num,20200505,,20201030,178,615.57142857143,,
dc,confirmed_7dav_incidence_num,20200505,,20201030,178,189.71428571429,,
de,confirmed_7dav_incidence_num,20200505,,20201030,178,113.71428571429,,
fl,confirmed_7dav_incidence_num,20200505,,20201030,178,655.85714285714,,
ga,confirmed_7dav_incidence_num,20200505,,20201030,178,725.14285714286,,
hi,confirmed_7dav_incidence_num,20200505,,20201030,178,2.2857142857143,,
ia,confirmed_7dav_incidence_num,20200505,,20201030,178,533.57142857143,,
id,confirmed_7dav_incidence_num,20200505,,20201014,162,25,,
il,confirmed_7dav_incidence_num,20200505,,20201014,162,2541,,
in,confirmed_7dav_incidence_num,20200505,,20201014,162,635,,
ks,confirmed_7dav_incidence_num,20200505,,20201030,178,285.14285714286,,
ky,confirmed_7dav_incidence_num,20200505,,20201030,178,206.71428571429,,
la,confirmed_7dav_incidence_num,20200505,,20201030,178,387.14285714286,,
ma,confirmed_7dav_incidence_num,20200505,,20201014,162,1674,,
md,confirmed_7dav_incidence_num,20200505,,20201030,178,1000.5714285714,,
me,confirmed_7dav_incidence_num,20200505,,20201030,178,26.571428571429,,
mi,confirmed_7dav_incidence_num,20200505,,20201030,178,701.14285714286,,
mn,confirmed_7dav_incidence_num,20200505,,20201030,178,524.28571428571,,
mo,confirmed_7dav_incidence_num,20200505,,20201030,178,229.14285714286,,
ms,confirmed_7dav_incidence_num,20200505,,20201030,178,266.42857142857,,
mt,confirmed_7dav_incidence_num,20200505,,20201030,178,0.71428571428571,,
nc,confirmed_7dav_incidence_num,20200505,,20201030,178,397.71428571429,,
nd,confirmed_7dav_incidence_num,20200505,,20201030,178,39.285714285714,,
ne,confirmed_7dav_incidence_num,20200505,,20201014,162,408,,
nh,confirmed_7dav_incidence_num,20200505,,20201030,178,89.428571428571,,
nj,confirmed_7dav_incidence_num,20200505,,20201014,162,2391,,
nm,confirmed_7dav_incidence_num,20200505,,20201030,178,166.28571428571,,
nv,confirmed_7dav_incidence_num,20200505,,20201030,178,119.85714285714,,
ny,confirmed_7dav_incidence_num,20200505,,20201030,178,3726.5714285714,,
oh,confirmed_7dav_incidence_num,20200505,,20201014,162,600,,
ok,confirmed_7dav_incidence_num,20200505,,20201030,178,102.42857142857,,
or,confirmed_7dav_incidence_num,20200505,,20201030,178,64.857142857143,,
pa,confirmed_7dav_incidence_num,20200505,,20201030,178,1246.7142857143,,
pr,confirmed_7dav_incidence_num,20200505,,20201110,189,15.142857142857,,
ri,confirmed_7dav_incidence_num,20200505,,20201030,178,286.57142857143,,
sc,confirmed_7dav_incidence_num,20200505,,20201014,162,158,,
sd,confirmed_7dav_incidence_num,20200505,,20201030,178,58.285714285714,,
tn,confirmed_7dav_incidence_num,20200505,,20201030,178,519.71428571429,,
tx,confirmed_7dav_incidence_num,20200505,,20201030,178,1079.2857142857,,
ut,confirmed_7dav_incidence_num,20200505,,20201030,178,157.71428571429,,
va,confirmed_7dav_incidence_num,20200505,,20201030,178,845.42857142857,,
vt,confirmed_7dav_incidence_num,20200505,,20201030,178,6.4285714285714,,
wa,confirmed_7dav_incidence_num,20200505,,20201030,178,250.28571428571,,
wi,confirmed_7dav_incidence_num,20200505,,20201030,178,325.28571428571,,
wv,confirmed_7dav_incidence_num,20200505,,20201030,178,21.571428571429,,
wy,confirmed_7dav_incidence_num,20200505,,20201030,178,9.7142857142857,,
