geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200610,,20201030,142,16.857142857143,,
al,confirmed_7dav_incidence_num,20200610,,20201030,142,448.28571428571,,
ar,confirmed_7dav_incidence_num,20200610,,20201030,142,328.71428571429,,
az,confirmed_7dav_incidence_num,20200610,,20201030,142,1070.8571428571,,
ca,confirmed_7dav_incidence_num,20200610,,20201030,142,2905.8571428571,,
co,confirmed_7dav_incidence_num,20200610,,20201104,147,205.57142857143,,
ct,confirmed_7dav_incidence_num,20200610,,20201030,142,179.42857142857,,
dc,confirmed_7dav_incidence_num,20200610,,20201030,142,74.428571428571,,
de,confirmed_7dav_incidence_num,20200610,,20201030,142,49.142857142857,,
fl,confirmed_7dav_incidence_num,20200610,,20201030,142,1229.5714285714,,
ga,confirmed_7dav_incidence_num,20200610,,20201030,142,726.57142857143,,
hi,confirmed_7dav_incidence_num,20200610,,20201030,142,4.5714285714286,,
ia,confirmed_7dav_incidence_num,20200610,,20201030,142,332.28571428571,,
id,confirmed_7dav_incidence_num,20200610,,20201030,142,46.714285714286,,
il,confirmed_7dav_incidence_num,20200610,,20201030,142,858.14285714286,,
in,confirmed_7dav_incidence_num,20200610,,20201014,126,375,,
ks,confirmed_7dav_incidence_num,20200610,,20201014,126,94,,
ky,confirmed_7dav_incidence_num,20200610,,20201030,142,210.42857142857,,
la,confirmed_7dav_incidence_num,20200610,,20201030,142,413.85714285714,,
ma,confirmed_7dav_incidence_num,20200610,,20201030,142,287.14285714286,,
md,confirmed_7dav_incidence_num,20200610,,20201030,142,640.42857142857,,
me,confirmed_7dav_incidence_num,20200610,,20201030,142,31.285714285714,,
mi,confirmed_7dav_incidence_num,20200610,,20201030,142,208.57142857143,,
mn,confirmed_7dav_incidence_num,20200610,,20201030,142,428.42857142857,,
mo,confirmed_7dav_incidence_num,20200610,,20201014,126,208,,
ms,confirmed_7dav_incidence_num,20200610,,20201030,142,308.71428571429,,
mt,confirmed_7dav_incidence_num,20200610,,20201030,142,5.1428571428571,,
nc,confirmed_7dav_incidence_num,20200610,,20201030,142,1086.7142857143,,
nd,confirmed_7dav_incidence_num,20200610,,20201030,142,37.428571428571,,
ne,confirmed_7dav_incidence_num,20200610,,20201030,142,167.57142857143,,
nh,confirmed_7dav_incidence_num,20200610,,20201030,142,54.714285714286,,
nj,confirmed_7dav_incidence_num,20200610,,20201030,142,468.28571428571,,
nm,confirmed_7dav_incidence_num,20200610,,20201030,142,158.57142857143,,
nv,confirmed_7dav_incidence_num,20200610,,20201014,126,181,,
ny,confirmed_7dav_incidence_num,20200610,,20201030,142,867.28571428571,,
oh,confirmed_7dav_incidence_num,20200610,,20201030,142,397.57142857143,,
ok,confirmed_7dav_incidence_num,20200610,,20201030,142,96.857142857143,,
or,confirmed_7dav_incidence_num,20200610,,20201030,142,94.428571428571,,
pa,confirmed_7dav_incidence_num,20200610,,20201030,142,505.14285714286,,
pr,confirmed_7dav_incidence_num,20200610,,20201110,153,12.428571428571,,
ri,confirmed_7dav_incidence_num,20200610,,20201030,142,76.714285714286,,
sc,confirmed_7dav_incidence_num,20200610,,20201030,142,469.85714285714,,
sd,confirmed_7dav_incidence_num,20200610,,20201030,142,61.285714285714,,
tn,confirmed_7dav_incidence_num,20200610,,20201030,142,442.42857142857,,
tx,confirmed_7dav_incidence_num,20200610,,20201014,126,1700,,
ut,confirmed_7dav_incidence_num,20200610,,20201030,142,338.14285714286,,
va,confirmed_7dav_incidence_num,20200610,,20201030,142,753.14285714286,,
vt,confirmed_7dav_incidence_num,20200610,,20201014,126,15,,
wa,confirmed_7dav_incidence_num,20200610,,20201030,142,267.14285714286,,
wi,confirmed_7dav_incidence_num,20200610,,20201030,142,313.28571428571,,
wv,confirmed_7dav_incidence_num,20200610,,20201030,142,16.714285714286,,
wy,confirmed_7dav_incidence_num,20200610,,20201030,142,9.2857142857143,,
