geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200803,,20201030,88,0.57142857142857,,
al,deaths_7dav_incidence_num,20200803,,20201030,88,20.285714285714,,
ar,deaths_7dav_incidence_num,20200803,,20201030,88,9.5714285714286,,
az,deaths_7dav_incidence_num,20200803,,20201030,88,67.857142857143,,
ca,deaths_7dav_incidence_num,20200803,,20201030,88,135.28571428571,,
co,deaths_7dav_incidence_num,20200803,,20201030,88,6.4285714285714,,
ct,deaths_7dav_incidence_num,20200803,,20201030,88,2.7142857142857,,
dc,deaths_7dav_incidence_num,20200803,,20201030,88,0.57142857142857,,
de,deaths_7dav_incidence_num,20200803,,20201030,88,0.85714285714286,,
fl,deaths_7dav_incidence_num,20200803,,20201030,88,175.14285714286,,
ga,deaths_7dav_incidence_num,20200803,,20201030,88,47.571428571429,,
hi,deaths_7dav_incidence_num,20200803,,20201014,72,0,,
ia,deaths_7dav_incidence_num,20200803,,20201030,88,6.8571428571429,,
id,deaths_7dav_incidence_num,20200803,,20201030,88,6.8571428571429,,
il,deaths_7dav_incidence_num,20200803,,20201030,88,16.428571428571,,
in,deaths_7dav_incidence_num,20200803,,20201030,88,10.571428571429,,
ks,deaths_7dav_incidence_num,20200803,,20201030,88,4.8571428571429,,
ky,deaths_7dav_incidence_num,20200803,,20201014,72,5,,
la,deaths_7dav_incidence_num,20200803,,20201014,72,34,,
ma,deaths_7dav_incidence_num,20200803,,20201014,72,16,,
md,deaths_7dav_incidence_num,20200803,,20201030,88,10.857142857143,,
me,deaths_7dav_incidence_num,20200803,,20201030,88,0.71428571428571,,
mi,deaths_7dav_incidence_num,20200803,,20201030,88,8.7142857142857,,
mn,deaths_7dav_incidence_num,20200803,,20201030,88,5.7142857142857,,
mo,deaths_7dav_incidence_num,20200803,,20201030,88,8.2857142857143,,
ms,deaths_7dav_incidence_num,20200803,,20201030,88,30.428571428571,,
mt,deaths_7dav_incidence_num,20200803,,20201030,88,2.4285714285714,,
nc,deaths_7dav_incidence_num,20200803,,20201030,88,29.285714285714,,
nd,deaths_7dav_incidence_num,20200803,,20201030,88,0.85714285714286,,
ne,deaths_7dav_incidence_num,20200803,,20201030,88,1.5714285714286,,
nh,deaths_7dav_incidence_num,20200803,,20201030,88,1.1428571428571,,
nj,deaths_7dav_incidence_num,20200803,,20201014,72,6,,
nm,deaths_7dav_incidence_num,20200803,,20201030,88,5.1428571428571,,
nv,deaths_7dav_incidence_num,20200803,,20201030,88,15.428571428571,,
ny,deaths_7dav_incidence_num,20200803,,20201030,88,8.2857142857143,,
oh,deaths_7dav_incidence_num,20200803,,20201030,88,27.857142857143,,
ok,deaths_7dav_incidence_num,20200803,,20201030,88,7.8571428571429,,
or,deaths_7dav_incidence_num,20200803,,20201030,88,5.5714285714286,,
pa,deaths_7dav_incidence_num,20200803,,20201030,88,13.285714285714,,
pr,deaths_7dav_incidence_num,20200803,,20201030,88,4.1428571428571,,
ri,deaths_7dav_incidence_num,20200803,,20201030,88,2.2857142857143,,
sc,deaths_7dav_incidence_num,20200803,,20201014,72,41,,
sd,deaths_7dav_incidence_num,20200803,,20201030,88,1.7142857142857,,
tn,deaths_7dav_incidence_num,20200803,,20201030,88,16.285714285714,,
tx,deaths_7dav_incidence_num,20200803,,20201030,88,176.42857142857,,
ut,deaths_7dav_incidence_num,20200803,,20201030,88,4.7142857142857,,
va,deaths_7dav_incidence_num,20200803,,20201030,88,19.428571428571,,
vt,deaths_7dav_incidence_num,20200803,,20201030,88,0.14285714285714,,
wa,deaths_7dav_incidence_num,20200803,,20201030,88,11.714285714286,,
wi,deaths_7dav_incidence_num,20200803,,20201014,72,8,,
wv,deaths_7dav_incidence_num,20200803,,20201030,88,1.8571428571429,,
wy,deaths_7dav_incidence_num,20200803,,20201030,88,0.28571428571429,,
