geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200729,,20201030,93,0.42857142857143,,
al,deaths_7dav_incidence_num,20200729,,20201030,93,24.857142857143,,
ar,deaths_7dav_incidence_num,20200729,,20201030,93,7.7142857142857,,
az,deaths_7dav_incidence_num,20200729,,20201030,93,68.571428571429,,
ca,deaths_7dav_incidence_num,20200729,,20201014,77,123,,
co,deaths_7dav_incidence_num,20200729,,20201030,93,7.2857142857143,,
ct,deaths_7dav_incidence_num,20200729,,20201030,93,2.7142857142857,,
dc,deaths_7dav_incidence_num,20200729,,20201030,93,0.57142857142857,,
de,deaths_7dav_incidence_num,20200729,,20201030,93,7.7142857142857,,
fl,deaths_7dav_incidence_num,20200729,,20201030,93,141.14285714286,,
ga,deaths_7dav_incidence_num,20200729,,20201030,93,43.857142857143,,
hi,deaths_7dav_incidence_num,20200729,,20201030,93,0.14285714285714,,
ia,deaths_7dav_incidence_num,20200729,,20201030,93,5.7142857142857,,
id,deaths_7dav_incidence_num,20200729,,20201030,93,5.4285714285714,,
il,deaths_7dav_incidence_num,20200729,,20201030,93,16.285714285714,,
in,deaths_7dav_incidence_num,20200729,,20201030,93,9.8571428571429,,
ks,deaths_7dav_incidence_num,20200729,,20201014,77,4,,
ky,deaths_7dav_incidence_num,20200729,,20201030,93,6.7142857142857,,
la,deaths_7dav_incidence_num,20200729,,20201030,93,30.428571428571,,
ma,deaths_7dav_incidence_num,20200729,,20201014,77,16,,
md,deaths_7dav_incidence_num,20200729,,20201030,93,10.428571428571,,
me,deaths_7dav_incidence_num,20200729,,20201030,93,0.42857142857143,,
mi,deaths_7dav_incidence_num,20200729,,20201030,93,4.8571428571429,,
mn,deaths_7dav_incidence_num,20200729,,20201030,93,5.2857142857143,,
mo,deaths_7dav_incidence_num,20200729,,20201030,93,11.428571428571,,
ms,deaths_7dav_incidence_num,20200729,,20201014,77,20,,
mt,deaths_7dav_incidence_num,20200729,,20201030,93,1.7142857142857,,
nc,deaths_7dav_incidence_num,20200729,,20201030,93,22.285714285714,,
nd,deaths_7dav_incidence_num,20200729,,20201030,93,0.85714285714286,,
ne,deaths_7dav_incidence_num,20200729,,20201030,93,1.8571428571429,,
nh,deaths_7dav_incidence_num,20200729,,20201030,93,1.2857142857143,,
nj,deaths_7dav_incidence_num,20200729,,20201014,77,13,,
nm,deaths_7dav_incidence_num,20200729,,20201030,93,5.8571428571429,,
nv,deaths_7dav_incidence_num,20200729,,20201030,93,10.857142857143,,
ny,deaths_7dav_incidence_num,20200729,,20201030,93,10.285714285714,,
oh,deaths_7dav_incidence_num,20200729,,20201030,93,26.714285714286,,
ok,deaths_7dav_incidence_num,20200729,,20201014,77,7,,
or,deaths_7dav_incidence_num,20200729,,20201030,93,5.7142857142857,,
pa,deaths_7dav_incidence_num,20200729,,20201030,93,13.428571428571,,
pr,deaths_7dav_incidence_num,20200729,,20201030,93,3.7142857142857,,
ri,deaths_7dav_incidence_num,20200729,,20201030,93,1.4285714285714,,
sc,deaths_7dav_incidence_num,20200729,,20201030,93,47.142857142857,,
sd,deaths_7dav_incidence_num,20200729,,20201030,93,1.4285714285714,,
tn,deaths_7dav_incidence_num,20200729,,20201030,93,18.857142857143,,
tx,deaths_7dav_incidence_num,20200729,,20201030,93,270.57142857143,,
ut,deaths_7dav_incidence_num,20200729,,20201030,93,4.5714285714286,,
va,deaths_7dav_incidence_num,20200729,,20201030,93,10.571428571429,,
vt,deaths_7dav_incidence_num,20200729,,20201014,77,0,,
wa,deaths_7dav_incidence_num,20200729,,20201030,93,12.428571428571,,
wi,deaths_7dav_incidence_num,20200729,,20201030,93,6.5714285714286,,
wv,deaths_7dav_incidence_num,20200729,,20201030,93,1.4285714285714,,
wy,deaths_7dav_incidence_num,20200729,,20201030,93,0.14285714285714,,
