geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200715,,20201030,107,69.428571428571,,
al,confirmed_7dav_incidence_num,20200715,,20201030,107,1729.2857142857,,
ar,confirmed_7dav_incidence_num,20200715,,20201030,107,721.57142857143,,
az,confirmed_7dav_incidence_num,20200715,,20201030,107,3248.5714285714,,
ca,confirmed_7dav_incidence_num,20200715,,20201030,107,8903.5714285714,,
co,confirmed_7dav_incidence_num,20200715,,20201104,112,434.14285714286,,
ct,confirmed_7dav_incidence_num,20200715,,20201030,107,75.428571428571,,
dc,confirmed_7dav_incidence_num,20200715,,20201030,107,54.857142857143,,
de,confirmed_7dav_incidence_num,20200715,,20201014,91,84,,
fl,confirmed_7dav_incidence_num,20200715,,20201030,107,11146.714285714,,
ga,confirmed_7dav_incidence_num,20200715,,20201030,107,3421.1428571429,,
hi,confirmed_7dav_incidence_num,20200715,,20201030,107,28.285714285714,,
ia,confirmed_7dav_incidence_num,20200715,,20201030,107,558.85714285714,,
id,confirmed_7dav_incidence_num,20200715,,20201030,107,497.14285714286,,
il,confirmed_7dav_incidence_num,20200715,,20201030,107,1038.7142857143,,
in,confirmed_7dav_incidence_num,20200715,,20201030,107,615.28571428571,,
ks,confirmed_7dav_incidence_num,20200715,,20201014,91,431,,
ky,confirmed_7dav_incidence_num,20200715,,20201014,91,394,,
la,confirmed_7dav_incidence_num,20200715,,20201030,107,1997.1428571429,,
ma,confirmed_7dav_incidence_num,20200715,,20201030,107,229.42857142857,,
md,confirmed_7dav_incidence_num,20200715,,20201030,107,593.57142857143,,
me,confirmed_7dav_incidence_num,20200715,,20201030,107,16.857142857143,,
mi,confirmed_7dav_incidence_num,20200715,,20201030,107,623.42857142857,,
mn,confirmed_7dav_incidence_num,20200715,,20201030,107,593.28571428571,,
mo,confirmed_7dav_incidence_num,20200715,,20201030,107,638.14285714286,,
ms,confirmed_7dav_incidence_num,20200715,,20201030,107,811.28571428571,,
mt,confirmed_7dav_incidence_num,20200715,,20201030,107,103.57142857143,,
nc,confirmed_7dav_incidence_num,20200715,,20201030,107,2022.2857142857,,
nd,confirmed_7dav_incidence_num,20200715,,20201030,107,84.857142857143,,
ne,confirmed_7dav_incidence_num,20200715,,20201014,91,222,,
nh,confirmed_7dav_incidence_num,20200715,,20201014,91,23,,
nj,confirmed_7dav_incidence_num,20200715,,20201030,107,319.85714285714,,
nm,confirmed_7dav_incidence_num,20200715,,20201030,107,260.57142857143,,
nv,confirmed_7dav_incidence_num,20200715,,20201014,91,881,,
ny,confirmed_7dav_incidence_num,20200715,,20201030,107,725.28571428571,,
oh,confirmed_7dav_incidence_num,20200715,,20201030,107,1304.2857142857,,
ok,confirmed_7dav_incidence_num,20200715,,20201030,107,702.85714285714,,
or,confirmed_7dav_incidence_num,20200715,,20201030,107,323.42857142857,,
pa,confirmed_7dav_incidence_num,20200715,,20201014,91,792,,
pr,confirmed_7dav_incidence_num,20200715,,20201110,118,124.57142857143,,
ri,confirmed_7dav_incidence_num,20200715,,20201030,107,62.285714285714,,
sc,confirmed_7dav_incidence_num,20200715,,20201030,107,1905.1428571429,,
sd,confirmed_7dav_incidence_num,20200715,,20201030,107,56.428571428571,,
tn,confirmed_7dav_incidence_num,20200715,,20201030,107,1867.8571428571,,
tx,confirmed_7dav_incidence_num,20200715,,20201030,107,9423.2857142857,,
ut,confirmed_7dav_incidence_num,20200715,,20201030,107,590.85714285714,,
va,confirmed_7dav_incidence_num,20200715,,20201030,107,878.85714285714,,
vt,confirmed_7dav_incidence_num,20200715,,20201030,107,8.8571428571429,,
wa,confirmed_7dav_incidence_num,20200715,,20201030,107,729.28571428571,,
wi,confirmed_7dav_incidence_num,20200715,,20201030,107,796.14285714286,,
wv,confirmed_7dav_incidence_num,20200715,,20201030,107,121.42857142857,,
wy,confirmed_7dav_incidence_num,20200715,,20201014,91,35,,
