geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200417,,20201030,196,0.28571428571429,,
al,deaths_7dav_incidence_num,20200417,,20201030,196,9.7142857142857,,
ar,deaths_7dav_incidence_num,20200417,,20201030,196,2.2857142857143,,
az,deaths_7dav_incidence_num,20200417,,20201014,180,11,,
ca,deaths_7dav_incidence_num,20200417,,20201030,196,64.857142857143,,
co,deaths_7dav_incidence_num,20200417,,20201030,196,19.857142857143,,
ct,deaths_7dav_incidence_num,20200417,,20201014,180,84,,
dc,deaths_7dav_incidence_num,20200417,,20201030,196,6.8571428571429,,
de,deaths_7dav_incidence_num,20200417,,20201030,196,4.1428571428571,,
fl,deaths_7dav_incidence_num,20200417,,20201030,196,47.857142857143,,
ga,deaths_7dav_incidence_num,20200417,,20201030,196,33.428571428571,,
hi,deaths_7dav_incidence_num,20200417,,20201030,196,0.42857142857143,,
ia,deaths_7dav_incidence_num,20200417,,20201030,196,4.7142857142857,,
id,deaths_7dav_incidence_num,20200417,,20201030,196,2.4285714285714,,
il,deaths_7dav_incidence_num,20200417,,20201030,196,76.428571428571,,
in,deaths_7dav_incidence_num,20200417,,20201030,196,31.714285714286,,
ks,deaths_7dav_incidence_num,20200417,,20201030,196,5.7142857142857,,
ky,deaths_7dav_incidence_num,20200417,,20201030,196,6.7142857142857,,
la,deaths_7dav_incidence_num,20200417,,20201030,196,65.428571428571,,
ma,deaths_7dav_incidence_num,20200417,,20201030,196,92.285714285714,,
md,deaths_7dav_incidence_num,20200417,,20201030,196,23.285714285714,,
me,deaths_7dav_incidence_num,20200417,,20201030,196,1.7142857142857,,
mi,deaths_7dav_incidence_num,20200417,,20201030,196,141.28571428571,,
mn,deaths_7dav_incidence_num,20200417,,20201030,196,7.7142857142857,,
mo,deaths_7dav_incidence_num,20200417,,20201030,196,13.714285714286,,
ms,deaths_7dav_incidence_num,20200417,,20201030,196,8.2857142857143,,
mt,deaths_7dav_incidence_num,20200417,,20201030,196,0.28571428571429,,
nc,deaths_7dav_incidence_num,20200417,,20201030,196,13.428571428571,,
nd,deaths_7dav_incidence_num,20200417,,20201030,196,0.42857142857143,,
ne,deaths_7dav_incidence_num,20200417,,20201030,196,1.2857142857143,,
nh,deaths_7dav_incidence_num,20200417,,20201030,196,2.2857142857143,,
nj,deaths_7dav_incidence_num,20200417,,20201014,180,336,,
nm,deaths_7dav_incidence_num,20200417,,20201030,196,3.8571428571429,,
nv,deaths_7dav_incidence_num,20200417,,20201030,196,7.4285714285714,,
ny,deaths_7dav_incidence_num,20200417,,20201030,196,823.42857142857,,
oh,deaths_7dav_incidence_num,20200417,,20201030,196,26.714285714286,,
ok,deaths_7dav_incidence_num,20200417,,20201030,196,6.8571428571429,,
or,deaths_7dav_incidence_num,20200417,,20201030,196,3.7142857142857,,
pa,deaths_7dav_incidence_num,20200417,,20201030,196,71.857142857143,,
pr,deaths_7dav_incidence_num,20200417,,20201030,196,2.7142857142857,,
ri,deaths_7dav_incidence_num,20200417,,20201030,196,10.714285714286,,
sc,deaths_7dav_incidence_num,20200417,,20201030,196,6.2857142857143,,
sd,deaths_7dav_incidence_num,20200417,,20201030,196,0.14285714285714,,
tn,deaths_7dav_incidence_num,20200417,,20201030,196,6.1428571428571,,
tx,deaths_7dav_incidence_num,20200417,,20201014,180,33,,
ut,deaths_7dav_incidence_num,20200417,,20201030,196,0.85714285714286,,
va,deaths_7dav_incidence_num,20200417,,20201030,196,15.714285714286,,
vt,deaths_7dav_incidence_num,20200417,,20201030,196,1.5714285714286,,
wa,deaths_7dav_incidence_num,20200417,,20201030,196,17.142857142857,,
wi,deaths_7dav_incidence_num,20200417,,20201030,196,11.142857142857,,
wv,deaths_7dav_incidence_num,20200417,,20201030,196,1.5714285714286,,
wy,deaths_7dav_incidence_num,20200417,,20201030,196,0.28571428571429,,
