geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200628,,20201030,124,0.28571428571429,,
al,deaths_7dav_incidence_num,20200628,,20201030,124,11.428571428571,,
ar,deaths_7dav_incidence_num,20200628,,20201030,124,5.5714285714286,,
az,deaths_7dav_incidence_num,20200628,,20201014,108,35,,
ca,deaths_7dav_incidence_num,20200628,,20201030,124,59.571428571429,,
co,deaths_7dav_incidence_num,20200628,,20201030,124,4.1428571428571,,
ct,deaths_7dav_incidence_num,20200628,,20201014,108,8,,
dc,deaths_7dav_incidence_num,20200628,,20201030,124,2.4285714285714,,
de,deaths_7dav_incidence_num,20200628,,20201030,124,10.285714285714,,
fl,deaths_7dav_incidence_num,20200628,,20201030,124,36.857142857143,,
ga,deaths_7dav_incidence_num,20200628,,20201030,124,19.285714285714,,
hi,deaths_7dav_incidence_num,20200628,,20201030,124,0.14285714285714,,
ia,deaths_7dav_incidence_num,20200628,,20201030,124,2.8571428571429,,
id,deaths_7dav_incidence_num,20200628,,20201030,124,0.28571428571429,,
il,deaths_7dav_incidence_num,20200628,,20201030,124,34.428571428571,,
in,deaths_7dav_incidence_num,20200628,,20201030,124,11.285714285714,,
ks,deaths_7dav_incidence_num,20200628,,20201030,124,1.7142857142857,,
ky,deaths_7dav_incidence_num,20200628,,20201030,124,4.5714285714286,,
la,deaths_7dav_incidence_num,20200628,,20201030,124,13.428571428571,,
ma,deaths_7dav_incidence_num,20200628,,20201030,124,28.857142857143,,
md,deaths_7dav_incidence_num,20200628,,20201030,124,14.571428571429,,
me,deaths_7dav_incidence_num,20200628,,20201030,124,0.28571428571429,,
mi,deaths_7dav_incidence_num,20200628,,20201030,124,9.5714285714286,,
mn,deaths_7dav_incidence_num,20200628,,20201030,124,6.8571428571429,,
mo,deaths_7dav_incidence_num,20200628,,20201030,124,5.5714285714286,,
ms,deaths_7dav_incidence_num,20200628,,20201030,124,14.428571428571,,
mt,deaths_7dav_incidence_num,20200628,,20201030,124,0.28571428571429,,
nc,deaths_7dav_incidence_num,20200628,,20201030,124,15.285714285714,,
nd,deaths_7dav_incidence_num,20200628,,20201030,124,0.28571428571429,,
ne,deaths_7dav_incidence_num,20200628,,20201030,124,3.2857142857143,,
nh,deaths_7dav_incidence_num,20200628,,20201014,108,4,,
nj,deaths_7dav_incidence_num,20200628,,20201030,124,24.714285714286,,
nm,deaths_7dav_incidence_num,20200628,,20201030,124,3.2857142857143,,
nv,deaths_7dav_incidence_num,20200628,,20201030,124,1.8571428571429,,
ny,deaths_7dav_incidence_num,20200628,,20201014,108,32,,
oh,deaths_7dav_incidence_num,20200628,,20201030,124,15.285714285714,,
ok,deaths_7dav_incidence_num,20200628,,20201030,124,2.2857142857143,,
or,deaths_7dav_incidence_num,20200628,,20201030,124,1.7142857142857,,
pa,deaths_7dav_incidence_num,20200628,,20201030,124,26.142857142857,,
pr,deaths_7dav_incidence_num,20200628,,20201030,124,0.57142857142857,,
ri,deaths_7dav_incidence_num,20200628,,20201030,124,2.7142857142857,,
sc,deaths_7dav_incidence_num,20200628,,20201014,108,9,,
sd,deaths_7dav_incidence_num,20200628,,20201030,124,1.4285714285714,,
tn,deaths_7dav_incidence_num,20200628,,20201030,124,8.2857142857143,,
tx,deaths_7dav_incidence_num,20200628,,20201030,124,37.142857142857,,
ut,deaths_7dav_incidence_num,20200628,,20201030,124,1.2857142857143,,
va,deaths_7dav_incidence_num,20200628,,20201030,124,17.285714285714,,
vt,deaths_7dav_incidence_num,20200628,,20201014,108,0,,
wa,deaths_7dav_incidence_num,20200628,,20201030,124,5.7142857142857,,
wi,deaths_7dav_incidence_num,20200628,,20201030,124,4.7142857142857,,
wv,deaths_7dav_incidence_num,20200628,,20201030,124,0.57142857142857,,
wy,deaths_7dav_incidence_num,20200628,,20201014,108,0,,
