geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200503,,20201014,164,0,,
al,deaths_7dav_incidence_num,20200503,,20201030,180,10.142857142857,,
ar,deaths_7dav_incidence_num,20200503,,20201030,180,3.5714285714286,,
az,deaths_7dav_incidence_num,20200503,,20201030,180,12.428571428571,,
ca,deaths_7dav_incidence_num,20200503,,20201030,180,70.142857142857,,
co,deaths_7dav_incidence_num,20200503,,20201014,164,22,,
ct,deaths_7dav_incidence_num,20200503,,20201030,180,73.142857142857,,
dc,deaths_7dav_incidence_num,20200503,,20201030,180,10.428571428571,,
de,deaths_7dav_incidence_num,20200503,,20201030,180,8.1428571428571,,
fl,deaths_7dav_incidence_num,20200503,,20201030,180,43.428571428571,,
ga,deaths_7dav_incidence_num,20200503,,20201030,180,38.285714285714,,
hi,deaths_7dav_incidence_num,20200503,,20201030,180,0.42857142857143,,
ia,deaths_7dav_incidence_num,20200503,,20201030,180,9.4285714285714,,
id,deaths_7dav_incidence_num,20200503,,20201030,180,1.1428571428571,,
il,deaths_7dav_incidence_num,20200503,,20201030,180,97.857142857143,,
in,deaths_7dav_incidence_num,20200503,,20201030,180,61.857142857143,,
ks,deaths_7dav_incidence_num,20200503,,20201030,180,3.2857142857143,,
ky,deaths_7dav_incidence_num,20200503,,20201030,180,6.4285714285714,,
la,deaths_7dav_incidence_num,20200503,,20201030,180,40.428571428571,,
ma,deaths_7dav_incidence_num,20200503,,20201030,180,157.85714285714,,
md,deaths_7dav_incidence_num,20200503,,20201014,164,53,,
me,deaths_7dav_incidence_num,20200503,,20201014,164,1,,
mi,deaths_7dav_incidence_num,20200503,,20201014,164,106,,
mn,deaths_7dav_incidence_num,20200503,,20201030,180,20.857142857143,,
mo,deaths_7dav_incidence_num,20200503,,20201030,180,15.714285714286,,
ms,deaths_7dav_incidence_num,20200503,,20201030,180,10.857142857143,,
mt,deaths_7dav_incidence_num,20200503,,20201030,180,0.28571428571429,,
nc,deaths_7dav_incidence_num,20200503,,20201030,180,15.714285714286,,
nd,deaths_7dav_incidence_num,20200503,,20201030,180,1.1428571428571,,
ne,deaths_7dav_incidence_num,20200503,,20201030,180,3.1428571428571,,
nh,deaths_7dav_incidence_num,20200503,,20201030,180,3.7142857142857,,
nj,deaths_7dav_incidence_num,20200503,,20201030,180,303.71428571429,,
nm,deaths_7dav_incidence_num,20200503,,20201030,180,7.4285714285714,,
nv,deaths_7dav_incidence_num,20200503,,20201030,180,7.4285714285714,,
ny,deaths_7dav_incidence_num,20200503,,20201030,180,367.71428571429,,
oh,deaths_7dav_incidence_num,20200503,,20201030,180,44.428571428571,,
ok,deaths_7dav_incidence_num,20200503,,20201030,180,6.1428571428571,,
or,deaths_7dav_incidence_num,20200503,,20201030,180,2.4285714285714,,
pa,deaths_7dav_incidence_num,20200503,,20201030,180,129.14285714286,,
pr,deaths_7dav_incidence_num,20200503,,20201030,180,1.8571428571429,,
ri,deaths_7dav_incidence_num,20200503,,20201030,180,21.428571428571,,
sc,deaths_7dav_incidence_num,20200503,,20201030,180,14.428571428571,,
sd,deaths_7dav_incidence_num,20200503,,20201030,180,1.4285714285714,,
tn,deaths_7dav_incidence_num,20200503,,20201030,180,4.1428571428571,,
tx,deaths_7dav_incidence_num,20200503,,20201014,164,30,,
ut,deaths_7dav_incidence_num,20200503,,20201030,180,1.2857142857143,,
va,deaths_7dav_incidence_num,20200503,,20201030,180,30.142857142857,,
vt,deaths_7dav_incidence_num,20200503,,20201014,164,1,,
wa,deaths_7dav_incidence_num,20200503,,20201030,180,12.142857142857,,
wi,deaths_7dav_incidence_num,20200503,,20201030,180,9.5714285714286,,
wv,deaths_7dav_incidence_num,20200503,,20201014,164,2,,
wy,deaths_7dav_incidence_num,20200503,,20201014,164,0,,
