geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200617,,20201030,135,0.14285714285714,,
al,deaths_7dav_incidence_num,20200617,,20201030,135,6.5714285714286,,
ar,deaths_7dav_incidence_num,20200617,,20201030,135,4.5714285714286,,
az,deaths_7dav_incidence_num,20200617,,20201030,135,21.142857142857,,
ca,deaths_7dav_incidence_num,20200617,,20201030,135,59.571428571429,,
co,deaths_7dav_incidence_num,20200617,,20201030,135,8.4285714285714,,
ct,deaths_7dav_incidence_num,20200617,,20201030,135,14.142857142857,,
dc,deaths_7dav_incidence_num,20200617,,20201030,135,3.4285714285714,,
de,deaths_7dav_incidence_num,20200617,,20201030,135,1.8571428571429,,
fl,deaths_7dav_incidence_num,20200617,,20201014,119,31,,
ga,deaths_7dav_incidence_num,20200617,,20201030,135,35.142857142857,,
hi,deaths_7dav_incidence_num,20200617,,20201014,119,0,,
ia,deaths_7dav_incidence_num,20200617,,20201030,135,6.2857142857143,,
id,deaths_7dav_incidence_num,20200617,,20201030,135,0.42857142857143,,
il,deaths_7dav_incidence_num,20200617,,20201030,135,55.714285714286,,
in,deaths_7dav_incidence_num,20200617,,20201030,135,17.142857142857,,
ks,deaths_7dav_incidence_num,20200617,,20201014,119,1,,
ky,deaths_7dav_incidence_num,20200617,,20201030,135,4.8571428571429,,
la,deaths_7dav_incidence_num,20200617,,20201030,135,13.428571428571,,
ma,deaths_7dav_incidence_num,20200617,,20201014,119,40,,
md,deaths_7dav_incidence_num,20200617,,20201030,135,21.714285714286,,
me,deaths_7dav_incidence_num,20200617,,20201030,135,0.28571428571429,,
mi,deaths_7dav_incidence_num,20200617,,20201030,135,11.857142857143,,
mn,deaths_7dav_incidence_num,20200617,,20201030,135,12.857142857143,,
mo,deaths_7dav_incidence_num,20200617,,20201014,119,7,,
ms,deaths_7dav_incidence_num,20200617,,20201014,119,10,,
mt,deaths_7dav_incidence_num,20200617,,20201030,135,0.28571428571429,,
nc,deaths_7dav_incidence_num,20200617,,20201014,119,13,,
nd,deaths_7dav_incidence_num,20200617,,20201030,135,0.14285714285714,,
ne,deaths_7dav_incidence_num,20200617,,20201030,135,6.1428571428571,,
nh,deaths_7dav_incidence_num,20200617,,20201030,135,4.1428571428571,,
nj,deaths_7dav_incidence_num,20200617,,20201030,135,67.142857142857,,
nm,deaths_7dav_incidence_num,20200617,,20201014,119,6,,
nv,deaths_7dav_incidence_num,20200617,,20201030,135,3.4285714285714,,
ny,deaths_7dav_incidence_num,20200617,,20201030,135,43.714285714286,,
oh,deaths_7dav_incidence_num,20200617,,20201030,135,21.714285714286,,
ok,deaths_7dav_incidence_num,20200617,,20201030,135,1.1428571428571,,
or,deaths_7dav_incidence_num,20200617,,20201014,119,2,,
pa,deaths_7dav_incidence_num,20200617,,20201030,135,36.714285714286,,
pr,deaths_7dav_incidence_num,20200617,,20201030,135,0.57142857142857,,
ri,deaths_7dav_incidence_num,20200617,,20201030,135,1.5714285714286,,
sc,deaths_7dav_incidence_num,20200617,,20201014,119,6,,
sd,deaths_7dav_incidence_num,20200617,,20201030,135,1.2857142857143,,
tn,deaths_7dav_incidence_num,20200617,,20201030,135,8.7142857142857,,
tx,deaths_7dav_incidence_num,20200617,,20201014,119,31,,
ut,deaths_7dav_incidence_num,20200617,,20201014,119,3,,
va,deaths_7dav_incidence_num,20200617,,20201030,135,9.8571428571429,,
vt,deaths_7dav_incidence_num,20200617,,20201014,119,0,,
wa,deaths_7dav_incidence_num,20200617,,20201030,135,7.1428571428571,,
wi,deaths_7dav_incidence_num,20200617,,20201014,119,6,,
wv,deaths_7dav_incidence_num,20200617,,20201030,135,0.42857142857143,,
wy,deaths_7dav_incidence_num,20200617,,20201014,119,0,,
