geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200629,,20201030,123,0.28571428571429,,
al,deaths_7dav_incidence_num,20200629,,20201030,123,12.571428571429,,
ar,deaths_7dav_incidence_num,20200629,,20201030,123,5.4285714285714,,
az,deaths_7dav_incidence_num,20200629,,20201030,123,35.285714285714,,
ca,deaths_7dav_incidence_num,20200629,,20201030,123,59.571428571429,,
co,deaths_7dav_incidence_num,20200629,,20201030,123,4.2857142857143,,
ct,deaths_7dav_incidence_num,20200629,,20201030,123,8.1428571428571,,
dc,deaths_7dav_incidence_num,20200629,,20201030,123,2.2857142857143,,
de,deaths_7dav_incidence_num,20200629,,20201030,123,10.285714285714,,
fl,deaths_7dav_incidence_num,20200629,,20201030,123,39.142857142857,,
ga,deaths_7dav_incidence_num,20200629,,20201030,123,19.428571428571,,
hi,deaths_7dav_incidence_num,20200629,,20201030,123,0.14285714285714,,
ia,deaths_7dav_incidence_num,20200629,,20201030,123,3.5714285714286,,
id,deaths_7dav_incidence_num,20200629,,20201030,123,0.28571428571429,,
il,deaths_7dav_incidence_num,20200629,,20201014,107,33,,
in,deaths_7dav_incidence_num,20200629,,20201030,123,10.142857142857,,
ks,deaths_7dav_incidence_num,20200629,,20201030,123,2.1428571428571,,
ky,deaths_7dav_incidence_num,20200629,,20201030,123,4.8571428571429,,
la,deaths_7dav_incidence_num,20200629,,20201030,123,11.714285714286,,
ma,deaths_7dav_incidence_num,20200629,,20201030,123,31.571428571429,,
md,deaths_7dav_incidence_num,20200629,,20201030,123,14.428571428571,,
me,deaths_7dav_incidence_num,20200629,,20201030,123,0.42857142857143,,
mi,deaths_7dav_incidence_num,20200629,,20201030,123,9.1428571428571,,
mn,deaths_7dav_incidence_num,20200629,,20201030,123,7.7142857142857,,
mo,deaths_7dav_incidence_num,20200629,,20201030,123,5.1428571428571,,
ms,deaths_7dav_incidence_num,20200629,,20201030,123,11.571428571429,,
mt,deaths_7dav_incidence_num,20200629,,20201030,123,0.14285714285714,,
nc,deaths_7dav_incidence_num,20200629,,20201030,123,11.285714285714,,
nd,deaths_7dav_incidence_num,20200629,,20201030,123,0.28571428571429,,
ne,deaths_7dav_incidence_num,20200629,,20201030,123,2.8571428571429,,
nh,deaths_7dav_incidence_num,20200629,,20201014,107,4,,
nj,deaths_7dav_incidence_num,20200629,,20201030,123,21.714285714286,,
nm,deaths_7dav_incidence_num,20200629,,20201030,123,3.4285714285714,,
nv,deaths_7dav_incidence_num,20200629,,20201030,123,2.1428571428571,,
ny,deaths_7dav_incidence_num,20200629,,20201030,123,31.285714285714,,
oh,deaths_7dav_incidence_num,20200629,,20201030,123,16.285714285714,,
ok,deaths_7dav_incidence_num,20200629,,20201030,123,2.2857142857143,,
or,deaths_7dav_incidence_num,20200629,,20201030,123,1.7142857142857,,
pa,deaths_7dav_incidence_num,20200629,,20201030,123,26.857142857143,,
pr,deaths_7dav_incidence_num,20200629,,20201030,123,0.57142857142857,,
ri,deaths_7dav_incidence_num,20200629,,20201030,123,5.4285714285714,,
sc,deaths_7dav_incidence_num,20200629,,20201030,123,8.7142857142857,,
sd,deaths_7dav_incidence_num,20200629,,20201030,123,1.4285714285714,,
tn,deaths_7dav_incidence_num,20200629,,20201030,123,8.7142857142857,,
tx,deaths_7dav_incidence_num,20200629,,20201030,123,38.714285714286,,
ut,deaths_7dav_incidence_num,20200629,,20201030,123,1.4285714285714,,
va,deaths_7dav_incidence_num,20200629,,20201030,123,17.142857142857,,
vt,deaths_7dav_incidence_num,20200629,,20201014,107,0,,
wa,deaths_7dav_incidence_num,20200629,,20201030,123,6.2857142857143,,
wi,deaths_7dav_incidence_num,20200629,,20201030,123,4.5714285714286,,
wv,deaths_7dav_incidence_num,20200629,,20201030,123,0.57142857142857,,
wy,deaths_7dav_incidence_num,20200629,,20201014,107,0,,
