geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200727,,20201030,95,117,,
al,confirmed_7dav_incidence_num,20200727,,20201030,95,1746.2857142857,,
ar,confirmed_7dav_incidence_num,20200727,,20201030,95,788.57142857143,,
az,confirmed_7dav_incidence_num,20200727,,20201030,95,2663.4285714286,,
ca,confirmed_7dav_incidence_num,20200727,,20201030,95,8607.2857142857,,
co,confirmed_7dav_incidence_num,20200727,,20201030,95,571.28571428571,,
ct,confirmed_7dav_incidence_num,20200727,,20201030,95,132.57142857143,,
dc,confirmed_7dav_incidence_num,20200727,,20201030,95,74.142857142857,,
de,confirmed_7dav_incidence_num,20200727,,20201030,95,111.71428571429,,
fl,confirmed_7dav_incidence_num,20200727,,20201030,95,10336.142857143,,
ga,confirmed_7dav_incidence_num,20200727,,20201030,95,3608.7142857143,,
hi,confirmed_7dav_incidence_num,20200727,,20201030,95,45.428571428571,,
ia,confirmed_7dav_incidence_num,20200727,,20201014,79,479,,
id,confirmed_7dav_incidence_num,20200727,,20201030,95,489.14285714286,,
il,confirmed_7dav_incidence_num,20200727,,20201030,95,1424.5714285714,,
in,confirmed_7dav_incidence_num,20200727,,20201030,95,814.42857142857,,
ks,confirmed_7dav_incidence_num,20200727,,20201030,95,449.71428571429,,
ky,confirmed_7dav_incidence_num,20200727,,20201014,79,596,,
la,confirmed_7dav_incidence_num,20200727,,20201030,95,2146.4285714286,,
ma,confirmed_7dav_incidence_num,20200727,,20201030,95,268.14285714286,,
md,confirmed_7dav_incidence_num,20200727,,20201030,95,884.42857142857,,
me,confirmed_7dav_incidence_num,20200727,,20201030,95,17.285714285714,,
mi,confirmed_7dav_incidence_num,20200727,,20201030,95,681.85714285714,,
mn,confirmed_7dav_incidence_num,20200727,,20201030,95,670.85714285714,,
mo,confirmed_7dav_incidence_num,20200727,,20201014,79,1341,,
ms,confirmed_7dav_incidence_num,20200727,,20201030,95,1270.2857142857,,
mt,confirmed_7dav_incidence_num,20200727,,20201030,95,108.57142857143,,
nc,confirmed_7dav_incidence_num,20200727,,20201030,95,2005.2857142857,,
nd,confirmed_7dav_incidence_num,20200727,,20201030,95,122.85714285714,,
ne,confirmed_7dav_incidence_num,20200727,,20201030,95,293.14285714286,,
nh,confirmed_7dav_incidence_num,20200727,,20201030,95,27.428571428571,,
nj,confirmed_7dav_incidence_num,20200727,,20201014,79,407,,
nm,confirmed_7dav_incidence_num,20200727,,20201030,95,326.71428571429,,
nv,confirmed_7dav_incidence_num,20200727,,20201030,95,1016.8571428571,,
ny,confirmed_7dav_incidence_num,20200727,,20201030,95,716.85714285714,,
oh,confirmed_7dav_incidence_num,20200727,,20201014,79,1287,,
ok,confirmed_7dav_incidence_num,20200727,,20201030,95,1035.5714285714,,
or,confirmed_7dav_incidence_num,20200727,,20201030,95,320.14285714286,,
pa,confirmed_7dav_incidence_num,20200727,,20201030,95,941.42857142857,,
pr,confirmed_7dav_incidence_num,20200727,,20201110,106,200.71428571429,,
ri,confirmed_7dav_incidence_num,20200727,,20201030,95,87.285714285714,,
sc,confirmed_7dav_incidence_num,20200727,,20201030,95,1567.4285714286,,
sd,confirmed_7dav_incidence_num,20200727,,20201030,95,70.571428571429,,
tn,confirmed_7dav_incidence_num,20200727,,20201030,95,2390.7142857143,,
tx,confirmed_7dav_incidence_num,20200727,,20201014,79,8079,,
ut,confirmed_7dav_incidence_num,20200727,,20201030,95,554.71428571429,,
va,confirmed_7dav_incidence_num,20200727,,20201030,95,1099.5714285714,,
vt,confirmed_7dav_incidence_num,20200727,,20201014,79,6,,
wa,confirmed_7dav_incidence_num,20200727,,20201030,95,796.85714285714,,
wi,confirmed_7dav_incidence_num,20200727,,20201030,95,914.14285714286,,
wv,confirmed_7dav_incidence_num,20200727,,20201030,95,130.71428571429,,
wy,confirmed_7dav_incidence_num,20200727,,20201030,95,47.571428571429,,
