geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200409,,20201030,204,0.57142857142857,,
al,deaths_7dav_incidence_num,20200409,,20201030,204,5.4285714285714,,
ar,deaths_7dav_incidence_num,20200409,,20201030,204,1.2857142857143,,
az,deaths_7dav_incidence_num,20200409,,20201014,188,9,,
ca,deaths_7dav_incidence_num,20200409,,20201030,204,43.714285714286,,
co,deaths_7dav_incidence_num,20200409,,20201030,204,18.428571428571,,
ct,deaths_7dav_incidence_num,20200409,,20201030,204,38.285714285714,,
dc,deaths_7dav_incidence_num,20200409,,20201030,204,2.8571428571429,,
de,deaths_7dav_incidence_num,20200409,,20201030,204,1.5714285714286,,
fl,deaths_7dav_incidence_num,20200409,,20201030,204,27.142857142857,,
ga,deaths_7dav_incidence_num,20200409,,20201030,204,30.857142857143,,
hi,deaths_7dav_incidence_num,20200409,,20201030,204,0.71428571428571,,
ia,deaths_7dav_incidence_num,20200409,,20201030,204,2.5714285714286,,
id,deaths_7dav_incidence_num,20200409,,20201030,204,1.2857142857143,,
il,deaths_7dav_incidence_num,20200409,,20201030,204,52.142857142857,,
in,deaths_7dav_incidence_num,20200409,,20201030,204,23.857142857143,,
ks,deaths_7dav_incidence_num,20200409,,20201030,204,4.2857142857143,,
ky,deaths_7dav_incidence_num,20200409,,20201014,188,6,,
la,deaths_7dav_incidence_num,20200409,,20201014,188,56,,
ma,deaths_7dav_incidence_num,20200409,,20201030,204,49.857142857143,,
md,deaths_7dav_incidence_num,20200409,,20201030,204,14.571428571429,,
me,deaths_7dav_incidence_num,20200409,,20201030,204,1.2857142857143,,
mi,deaths_7dav_incidence_num,20200409,,20201030,204,101.57142857143,,
mn,deaths_7dav_incidence_num,20200409,,20201030,204,4.5714285714286,,
mo,deaths_7dav_incidence_num,20200409,,20201014,188,13,,
ms,deaths_7dav_incidence_num,20200409,,20201030,204,7.1428571428571,,
mt,deaths_7dav_incidence_num,20200409,,20201014,188,0,,
nc,deaths_7dav_incidence_num,20200409,,20201030,204,7.8571428571429,,
nd,deaths_7dav_incidence_num,20200409,,20201030,204,0.28571428571429,,
ne,deaths_7dav_incidence_num,20200409,,20201030,204,1.2857142857143,,
nh,deaths_7dav_incidence_num,20200409,,20201030,204,2.5714285714286,,
nj,deaths_7dav_incidence_num,20200409,,20201030,204,224.14285714286,,
nm,deaths_7dav_incidence_num,20200409,,20201030,204,1.4285714285714,,
nv,deaths_7dav_incidence_num,20200409,,20201030,204,6.1428571428571,,
ny,deaths_7dav_incidence_num,20200409,,20201030,204,970.14285714286,,
oh,deaths_7dav_incidence_num,20200409,,20201030,204,18.857142857143,,
ok,deaths_7dav_incidence_num,20200409,,20201030,204,6.5714285714286,,
or,deaths_7dav_incidence_num,20200409,,20201030,204,3.2857142857143,,
pa,deaths_7dav_incidence_num,20200409,,20201030,204,36.428571428571,,
pr,deaths_7dav_incidence_num,20200409,,20201014,188,3,,
ri,deaths_7dav_incidence_num,20200409,,20201014,188,4,,
sc,deaths_7dav_incidence_num,20200409,,20201030,204,5.1428571428571,,
sd,deaths_7dav_incidence_num,20200409,,20201030,204,0.57142857142857,,
tn,deaths_7dav_incidence_num,20200409,,20201030,204,8.2857142857143,,
tx,deaths_7dav_incidence_num,20200409,,20201014,188,21,,
ut,deaths_7dav_incidence_num,20200409,,20201030,204,0.85714285714286,,
va,deaths_7dav_incidence_num,20200409,,20201030,204,9.7142857142857,,
vt,deaths_7dav_incidence_num,20200409,,20201030,204,0.85714285714286,,
wa,deaths_7dav_incidence_num,20200409,,20201030,204,26.428571428571,,
wi,deaths_7dav_incidence_num,20200409,,20201030,204,10.428571428571,,
wv,deaths_7dav_incidence_num,20200409,,20201030,204,0.42857142857143,,
wy,deaths_7dav_incidence_num,20200409,,20201014,188,0,,
