geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200509,,20201030,174,0.14285714285714,,
al,deaths_7dav_incidence_num,20200509,,20201030,174,14.571428571429,,
ar,deaths_7dav_incidence_num,20200509,,20201030,174,2.2857142857143,,
az,deaths_7dav_incidence_num,20200509,,20201030,174,28.857142857143,,
ca,deaths_7dav_incidence_num,20200509,,20201030,174,72.428571428571,,
co,deaths_7dav_incidence_num,20200509,,20201030,174,19.285714285714,,
ct,deaths_7dav_incidence_num,20200509,,20201030,174,70.857142857143,,
dc,deaths_7dav_incidence_num,20200509,,20201030,174,10.142857142857,,
de,deaths_7dav_incidence_num,20200509,,20201030,174,7.5714285714286,,
fl,deaths_7dav_incidence_num,20200509,,20201030,174,50.142857142857,,
ga,deaths_7dav_incidence_num,20200509,,20201030,174,32.285714285714,,
hi,deaths_7dav_incidence_num,20200509,,20201030,174,0.14285714285714,,
ia,deaths_7dav_incidence_num,20200509,,20201014,158,11,,
id,deaths_7dav_incidence_num,20200509,,20201030,174,0.42857142857143,,
il,deaths_7dav_incidence_num,20200509,,20201030,174,112.85714285714,,
in,deaths_7dav_incidence_num,20200509,,20201030,174,37.285714285714,,
ks,deaths_7dav_incidence_num,20200509,,20201030,174,4.5714285714286,,
ky,deaths_7dav_incidence_num,20200509,,20201014,158,8,,
la,deaths_7dav_incidence_num,20200509,,20201030,174,39.142857142857,,
ma,deaths_7dav_incidence_num,20200509,,20201014,158,142,,
md,deaths_7dav_incidence_num,20200509,,20201030,174,51.857142857143,,
me,deaths_7dav_incidence_num,20200509,,20201030,174,1.1428571428571,,
mi,deaths_7dav_incidence_num,20200509,,20201030,174,74.857142857143,,
mn,deaths_7dav_incidence_num,20200509,,20201030,174,23.428571428571,,
mo,deaths_7dav_incidence_num,20200509,,20201030,174,17.428571428571,,
ms,deaths_7dav_incidence_num,20200509,,20201030,174,18.571428571429,,
mt,deaths_7dav_incidence_num,20200509,,20201014,158,0,,
nc,deaths_7dav_incidence_num,20200509,,20201030,174,17.142857142857,,
nd,deaths_7dav_incidence_num,20200509,,20201030,174,1.5714285714286,,
ne,deaths_7dav_incidence_num,20200509,,20201030,174,2.4285714285714,,
nh,deaths_7dav_incidence_num,20200509,,20201030,174,6.7142857142857,,
nj,deaths_7dav_incidence_num,20200509,,20201030,174,214.71428571429,,
nm,deaths_7dav_incidence_num,20200509,,20201030,174,7.5714285714286,,
nv,deaths_7dav_incidence_num,20200509,,20201030,174,8.2857142857143,,
ny,deaths_7dav_incidence_num,20200509,,20201030,174,321.85714285714,,
oh,deaths_7dav_incidence_num,20200509,,20201030,174,44.142857142857,,
ok,deaths_7dav_incidence_num,20200509,,20201030,174,4.5714285714286,,
or,deaths_7dav_incidence_num,20200509,,20201030,174,2.5714285714286,,
pa,deaths_7dav_incidence_num,20200509,,20201030,174,154.85714285714,,
pr,deaths_7dav_incidence_num,20200509,,20201030,174,1.8571428571429,,
ri,deaths_7dav_incidence_num,20200509,,20201030,174,14.857142857143,,
sc,deaths_7dav_incidence_num,20200509,,20201014,158,9,,
sd,deaths_7dav_incidence_num,20200509,,20201030,174,1.8571428571429,,
tn,deaths_7dav_incidence_num,20200509,,20201030,174,4.7142857142857,,
tx,deaths_7dav_incidence_num,20200509,,20201030,174,28.428571428571,,
ut,deaths_7dav_incidence_num,20200509,,20201030,174,2.4285714285714,,
va,deaths_7dav_incidence_num,20200509,,20201014,158,30,,
vt,deaths_7dav_incidence_num,20200509,,20201030,174,0.28571428571429,,
wa,deaths_7dav_incidence_num,20200509,,20201014,158,13,,
wi,deaths_7dav_incidence_num,20200509,,20201030,174,9.1428571428571,,
wv,deaths_7dav_incidence_num,20200509,,20201030,174,0.57142857142857,,
wy,deaths_7dav_incidence_num,20200509,,20201014,158,0,,
