geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200519,,20201014,148,0,,
al,deaths_7dav_incidence_num,20200519,,20201030,164,9.8571428571429,,
ar,deaths_7dav_incidence_num,20200519,,20201014,148,1,,
az,deaths_7dav_incidence_num,20200519,,20201030,164,20.428571428571,,
ca,deaths_7dav_incidence_num,20200519,,20201030,164,74.857142857143,,
co,deaths_7dav_incidence_num,20200519,,20201030,164,35.285714285714,,
ct,deaths_7dav_incidence_num,20200519,,20201030,164,61.571428571429,,
dc,deaths_7dav_incidence_num,20200519,,20201030,164,9.1428571428571,,
de,deaths_7dav_incidence_num,20200519,,20201030,164,9.5714285714286,,
fl,deaths_7dav_incidence_num,20200519,,20201014,148,39,,
ga,deaths_7dav_incidence_num,20200519,,20201030,164,25.285714285714,,
hi,deaths_7dav_incidence_num,20200519,,20201014,148,0,,
ia,deaths_7dav_incidence_num,20200519,,20201030,164,11.142857142857,,
id,deaths_7dav_incidence_num,20200519,,20201030,164,0.71428571428571,,
il,deaths_7dav_incidence_num,20200519,,20201030,164,111.14285714286,,
in,deaths_7dav_incidence_num,20200519,,20201030,164,35.142857142857,,
ks,deaths_7dav_incidence_num,20200519,,20201030,164,2.1428571428571,,
ky,deaths_7dav_incidence_num,20200519,,20201030,164,6.4285714285714,,
la,deaths_7dav_incidence_num,20200519,,20201030,164,33.428571428571,,
ma,deaths_7dav_incidence_num,20200519,,20201030,164,113.85714285714,,
md,deaths_7dav_incidence_num,20200519,,20201030,164,46.428571428571,,
me,deaths_7dav_incidence_num,20200519,,20201030,164,1.1428571428571,,
mi,deaths_7dav_incidence_num,20200519,,20201030,164,48.714285714286,,
mn,deaths_7dav_incidence_num,20200519,,20201030,164,20.428571428571,,
mo,deaths_7dav_incidence_num,20200519,,20201030,164,13.857142857143,,
ms,deaths_7dav_incidence_num,20200519,,20201030,164,13.857142857143,,
mt,deaths_7dav_incidence_num,20200519,,20201014,148,0,,
nc,deaths_7dav_incidence_num,20200519,,20201030,164,13.285714285714,,
nd,deaths_7dav_incidence_num,20200519,,20201014,148,1,,
ne,deaths_7dav_incidence_num,20200519,,20201030,164,3.2857142857143,,
nh,deaths_7dav_incidence_num,20200519,,20201030,164,4.2857142857143,,
nj,deaths_7dav_incidence_num,20200519,,20201030,164,156.14285714286,,
nm,deaths_7dav_incidence_num,20200519,,20201030,164,8.1428571428571,,
nv,deaths_7dav_incidence_num,20200519,,20201030,164,5.2857142857143,,
ny,deaths_7dav_incidence_num,20200519,,20201014,148,230,,
oh,deaths_7dav_incidence_num,20200519,,20201030,164,40.571428571429,,
ok,deaths_7dav_incidence_num,20200519,,20201030,164,2.1428571428571,,
or,deaths_7dav_incidence_num,20200519,,20201030,164,1.4285714285714,,
pa,deaths_7dav_incidence_num,20200519,,20201014,148,102,,
pr,deaths_7dav_incidence_num,20200519,,20201030,164,1.4285714285714,,
ri,deaths_7dav_incidence_num,20200519,,20201030,164,9.7142857142857,,
sc,deaths_7dav_incidence_num,20200519,,20201030,164,6.2857142857143,,
sd,deaths_7dav_incidence_num,20200519,,20201014,148,1,,
tn,deaths_7dav_incidence_num,20200519,,20201030,164,5.5714285714286,,
tx,deaths_7dav_incidence_num,20200519,,20201014,148,36,,
ut,deaths_7dav_incidence_num,20200519,,20201030,164,2.1428571428571,,
va,deaths_7dav_incidence_num,20200519,,20201030,164,21.428571428571,,
vt,deaths_7dav_incidence_num,20200519,,20201030,164,0.14285714285714,,
wa,deaths_7dav_incidence_num,20200519,,20201030,164,9.8571428571429,,
wi,deaths_7dav_incidence_num,20200519,,20201014,148,7,,
wv,deaths_7dav_incidence_num,20200519,,20201030,164,1.4285714285714,,
wy,deaths_7dav_incidence_num,20200519,,20201030,164,0.42857142857143,,
