geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200624,,20201030,128,21.714285714286,,
al,confirmed_7dav_incidence_num,20200624,,20201030,128,678.85714285714,,
ar,confirmed_7dav_incidence_num,20200624,,20201030,128,538.42857142857,,
az,confirmed_7dav_incidence_num,20200624,,20201030,128,2750.4285714286,,
ca,confirmed_7dav_incidence_num,20200624,,20201030,128,4746.5714285714,,
co,confirmed_7dav_incidence_num,20200624,,20201104,133,212,,
ct,confirmed_7dav_incidence_num,20200624,,20201030,128,69.142857142857,,
dc,confirmed_7dav_incidence_num,20200624,,20201030,128,40.142857142857,,
de,confirmed_7dav_incidence_num,20200624,,20201030,128,63.571428571429,,
fl,confirmed_7dav_incidence_num,20200624,,20201030,128,3756.4285714286,,
ga,confirmed_7dav_incidence_num,20200624,,20201030,128,1335.8571428571,,
hi,confirmed_7dav_incidence_num,20200624,,20201014,112,13,,
ia,confirmed_7dav_incidence_num,20200624,,20201030,128,305.85714285714,,
id,confirmed_7dav_incidence_num,20200624,,20201014,112,110,,
il,confirmed_7dav_incidence_num,20200624,,20201030,128,622.14285714286,,
in,confirmed_7dav_incidence_num,20200624,,20201030,128,303.85714285714,,
ks,confirmed_7dav_incidence_num,20200624,,20201030,128,183.71428571429,,
ky,confirmed_7dav_incidence_num,20200624,,20201030,128,195.42857142857,,
la,confirmed_7dav_incidence_num,20200624,,20201014,112,549,,
ma,confirmed_7dav_incidence_num,20200624,,20201030,128,180.28571428571,,
md,confirmed_7dav_incidence_num,20200624,,20201030,128,338.28571428571,,
me,confirmed_7dav_incidence_num,20200624,,20201030,128,25.857142857143,,
mi,confirmed_7dav_incidence_num,20200624,,20201030,128,289.28571428571,,
mn,confirmed_7dav_incidence_num,20200624,,20201030,128,352.42857142857,,
mo,confirmed_7dav_incidence_num,20200624,,20201030,128,293.42857142857,,
ms,confirmed_7dav_incidence_num,20200624,,20201030,128,397.57142857143,,
mt,confirmed_7dav_incidence_num,20200624,,20201030,128,19.428571428571,,
nc,confirmed_7dav_incidence_num,20200624,,20201030,128,1317.4285714286,,
nd,confirmed_7dav_incidence_num,20200624,,20201014,112,28,,
ne,confirmed_7dav_incidence_num,20200624,,20201030,128,141.42857142857,,
nh,confirmed_7dav_incidence_num,20200624,,20201030,128,23.142857142857,,
nj,confirmed_7dav_incidence_num,20200624,,20201030,128,312.71428571429,,
nm,confirmed_7dav_incidence_num,20200624,,20201030,128,132.14285714286,,
nv,confirmed_7dav_incidence_num,20200624,,20201030,128,358.28571428571,,
ny,confirmed_7dav_incidence_num,20200624,,20201030,128,646.28571428571,,
oh,confirmed_7dav_incidence_num,20200624,,20201030,128,619.57142857143,,
ok,confirmed_7dav_incidence_num,20200624,,20201030,128,372.28571428571,,
or,confirmed_7dav_incidence_num,20200624,,20201030,128,175.14285714286,,
pa,confirmed_7dav_incidence_num,20200624,,20201030,128,485.14285714286,,
pr,confirmed_7dav_incidence_num,20200624,,20201110,139,13,,
ri,confirmed_7dav_incidence_num,20200624,,20201030,128,56.142857142857,,
sc,confirmed_7dav_incidence_num,20200624,,20201030,128,1048.7142857143,,
sd,confirmed_7dav_incidence_num,20200624,,20201030,128,51.142857142857,,
tn,confirmed_7dav_incidence_num,20200624,,20201030,128,731.57142857143,,
tx,confirmed_7dav_incidence_num,20200624,,20201030,128,4347.5714285714,,
ut,confirmed_7dav_incidence_num,20200624,,20201030,128,491.42857142857,,
va,confirmed_7dav_incidence_num,20200624,,20201030,128,534.14285714286,,
vt,confirmed_7dav_incidence_num,20200624,,20201030,128,7.7142857142857,,
wa,confirmed_7dav_incidence_num,20200624,,20201030,128,440.71428571429,,
wi,confirmed_7dav_incidence_num,20200624,,20201030,128,329.57142857143,,
wv,confirmed_7dav_incidence_num,20200624,,20201030,128,36.428571428571,,
wy,confirmed_7dav_incidence_num,20200624,,20201014,112,24,,
