geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200704,,20201030,118,0.28571428571429,,
al,deaths_7dav_incidence_num,20200704,,20201030,118,12.571428571429,,
ar,deaths_7dav_incidence_num,20200704,,20201030,118,3.8571428571429,,
az,deaths_7dav_incidence_num,20200704,,20201030,118,33.857142857143,,
ca,deaths_7dav_incidence_num,20200704,,20201030,118,62.142857142857,,
co,deaths_7dav_incidence_num,20200704,,20201030,118,3.8571428571429,,
ct,deaths_7dav_incidence_num,20200704,,20201030,118,3.4285714285714,,
dc,deaths_7dav_incidence_num,20200704,,20201030,118,1.2857142857143,,
de,deaths_7dav_incidence_num,20200704,,20201030,118,0.71428571428571,,
fl,deaths_7dav_incidence_num,20200704,,20201030,118,44.571428571429,,
ga,deaths_7dav_incidence_num,20200704,,20201030,118,11.571428571429,,
hi,deaths_7dav_incidence_num,20200704,,20201030,118,0.14285714285714,,
ia,deaths_7dav_incidence_num,20200704,,20201030,118,2.4285714285714,,
id,deaths_7dav_incidence_num,20200704,,20201030,118,0.28571428571429,,
il,deaths_7dav_incidence_num,20200704,,20201030,118,20.142857142857,,
in,deaths_7dav_incidence_num,20200704,,20201030,118,10.142857142857,,
ks,deaths_7dav_incidence_num,20200704,,20201030,118,2.1428571428571,,
ky,deaths_7dav_incidence_num,20200704,,20201030,118,4.4285714285714,,
la,deaths_7dav_incidence_num,20200704,,20201030,118,12.571428571429,,
ma,deaths_7dav_incidence_num,20200704,,20201030,118,18.714285714286,,
md,deaths_7dav_incidence_num,20200704,,20201030,118,11.285714285714,,
me,deaths_7dav_incidence_num,20200704,,20201030,118,0.42857142857143,,
mi,deaths_7dav_incidence_num,20200704,,20201030,118,9.2857142857143,,
mn,deaths_7dav_incidence_num,20200704,,20201030,118,7.2857142857143,,
mo,deaths_7dav_incidence_num,20200704,,20201030,118,5.1428571428571,,
ms,deaths_7dav_incidence_num,20200704,,20201030,118,10.285714285714,,
mt,deaths_7dav_incidence_num,20200704,,20201030,118,0.14285714285714,,
nc,deaths_7dav_incidence_num,20200704,,20201030,118,9.8571428571429,,
nd,deaths_7dav_incidence_num,20200704,,20201030,118,0.28571428571429,,
ne,deaths_7dav_incidence_num,20200704,,20201030,118,2.4285714285714,,
nh,deaths_7dav_incidence_num,20200704,,20201030,118,1.7142857142857,,
nj,deaths_7dav_incidence_num,20200704,,20201030,118,34.428571428571,,
nm,deaths_7dav_incidence_num,20200704,,20201030,118,3.1428571428571,,
nv,deaths_7dav_incidence_num,20200704,,20201030,118,4.2857142857143,,
ny,deaths_7dav_incidence_num,20200704,,20201030,118,22.142857142857,,
oh,deaths_7dav_incidence_num,20200704,,20201030,118,14.714285714286,,
ok,deaths_7dav_incidence_num,20200704,,20201014,102,2,,
or,deaths_7dav_incidence_num,20200704,,20201030,118,1.5714285714286,,
pa,deaths_7dav_incidence_num,20200704,,20201030,118,20.857142857143,,
pr,deaths_7dav_incidence_num,20200704,,20201030,118,0.42857142857143,,
ri,deaths_7dav_incidence_num,20200704,,20201030,118,7.5714285714286,,
sc,deaths_7dav_incidence_num,20200704,,20201030,118,14.571428571429,,
sd,deaths_7dav_incidence_num,20200704,,20201030,118,0.85714285714286,,
tn,deaths_7dav_incidence_num,20200704,,20201030,118,7.5714285714286,,
tx,deaths_7dav_incidence_num,20200704,,20201030,118,49.714285714286,,
ut,deaths_7dav_incidence_num,20200704,,20201014,102,2,,
va,deaths_7dav_incidence_num,20200704,,20201030,118,17.857142857143,,
vt,deaths_7dav_incidence_num,20200704,,20201014,102,0,,
wa,deaths_7dav_incidence_num,20200704,,20201030,118,6.2857142857143,,
wi,deaths_7dav_incidence_num,20200704,,20201030,118,2.7142857142857,,
wv,deaths_7dav_incidence_num,20200704,,20201030,118,0.14285714285714,,
wy,deaths_7dav_incidence_num,20200704,,20201014,102,0,,
