geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200522,,20201030,161,2.8571428571429,,
al,confirmed_7dav_incidence_num,20200522,,20201030,161,328.14285714286,,
ar,confirmed_7dav_incidence_num,20200522,,20201030,161,164.14285714286,,
az,confirmed_7dav_incidence_num,20200522,,20201030,161,350.71428571429,,
ca,confirmed_7dav_incidence_num,20200522,,20201030,161,1941.1428571429,,
co,confirmed_7dav_incidence_num,20200522,,20201030,161,322.14285714286,,
ct,confirmed_7dav_incidence_num,20200522,,20201030,161,507.85714285714,,
dc,confirmed_7dav_incidence_num,20200522,,20201014,145,146,,
de,confirmed_7dav_incidence_num,20200522,,20201030,161,165.14285714286,,
fl,confirmed_7dav_incidence_num,20200522,,20201014,145,759,,
ga,confirmed_7dav_incidence_num,20200522,,20201030,161,672.85714285714,,
hi,confirmed_7dav_incidence_num,20200522,,20201030,161,0.57142857142857,,
ia,confirmed_7dav_incidence_num,20200522,,20201014,145,349,,
id,confirmed_7dav_incidence_num,20200522,,20201030,161,34.857142857143,,
il,confirmed_7dav_incidence_num,20200522,,20201030,161,2153.5714285714,,
in,confirmed_7dav_incidence_num,20200522,,20201030,161,536.14285714286,,
ks,confirmed_7dav_incidence_num,20200522,,20201030,161,146.14285714286,,
ky,confirmed_7dav_incidence_num,20200522,,20201030,161,140.28571428571,,
la,confirmed_7dav_incidence_num,20200522,,20201030,161,441.14285714286,,
ma,confirmed_7dav_incidence_num,20200522,,20201030,161,901.42857142857,,
md,confirmed_7dav_incidence_num,20200522,,20201030,161,1062.5714285714,,
me,confirmed_7dav_incidence_num,20200522,,20201030,161,49.285714285714,,
mi,confirmed_7dav_incidence_num,20200522,,20201030,161,522.57142857143,,
mn,confirmed_7dav_incidence_num,20200522,,20201030,161,680.71428571429,,
mo,confirmed_7dav_incidence_num,20200522,,20201014,145,159,,
ms,confirmed_7dav_incidence_num,20200522,,20201030,161,260.57142857143,,
mt,confirmed_7dav_incidence_num,20200522,,20201030,161,1.8571428571429,,
nc,confirmed_7dav_incidence_num,20200522,,20201030,161,640.14285714286,,
nd,confirmed_7dav_incidence_num,20200522,,20201030,161,79.428571428571,,
ne,confirmed_7dav_incidence_num,20200522,,20201030,161,293.14285714286,,
nh,confirmed_7dav_incidence_num,20200522,,20201030,161,80.142857142857,,
nj,confirmed_7dav_incidence_num,20200522,,20201030,161,1227.8571428571,,
nm,confirmed_7dav_incidence_num,20200522,,20201030,161,137.57142857143,,
nv,confirmed_7dav_incidence_num,20200522,,20201030,161,113.14285714286,,
ny,confirmed_7dav_incidence_num,20200522,,20201014,145,1763,,
oh,confirmed_7dav_incidence_num,20200522,,20201030,161,548.57142857143,,
ok,confirmed_7dav_incidence_num,20200522,,20201030,161,108.85714285714,,
or,confirmed_7dav_incidence_num,20200522,,20201030,161,46.142857142857,,
pa,confirmed_7dav_incidence_num,20200522,,20201030,161,867.85714285714,,
pr,confirmed_7dav_incidence_num,20200522,,20201110,172,19,,
ri,confirmed_7dav_incidence_num,20200522,,20201030,161,216.71428571429,,
sc,confirmed_7dav_incidence_num,20200522,,20201030,161,175.85714285714,,
sd,confirmed_7dav_incidence_num,20200522,,20201030,161,65.714285714286,,
tn,confirmed_7dav_incidence_num,20200522,,20201030,161,347.71428571429,,
tx,confirmed_7dav_incidence_num,20200522,,20201030,161,1116.8571428571,,
ut,confirmed_7dav_incidence_num,20200522,,20201030,161,163.42857142857,,
va,confirmed_7dav_incidence_num,20200522,,20201030,161,896.85714285714,,
vt,confirmed_7dav_incidence_num,20200522,,20201030,161,2.7142857142857,,
wa,confirmed_7dav_incidence_num,20200522,,20201030,161,187.71428571429,,
wi,confirmed_7dav_incidence_num,20200522,,20201030,161,387.28571428571,,
wv,confirmed_7dav_incidence_num,20200522,,20201030,161,36.857142857143,,
wy,confirmed_7dav_incidence_num,20200522,,20201030,161,12.428571428571,,
