geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200708,,20201030,114,0.42857142857143,,
al,deaths_7dav_incidence_num,20200708,,20201030,114,12.285714285714,,
ar,deaths_7dav_incidence_num,20200708,,20201014,98,4,,
az,deaths_7dav_incidence_num,20200708,,20201014,98,34,,
ca,deaths_7dav_incidence_num,20200708,,20201030,114,78.428571428571,,
co,deaths_7dav_incidence_num,20200708,,20201014,98,1,,
ct,deaths_7dav_incidence_num,20200708,,20201030,114,2.7142857142857,,
dc,deaths_7dav_incidence_num,20200708,,20201030,114,1.5714285714286,,
de,deaths_7dav_incidence_num,20200708,,20201030,114,0.85714285714286,,
fl,deaths_7dav_incidence_num,20200708,,20201030,114,48.428571428571,,
ga,deaths_7dav_incidence_num,20200708,,20201030,114,13.571428571429,,
hi,deaths_7dav_incidence_num,20200708,,20201030,114,0.14285714285714,,
ia,deaths_7dav_incidence_num,20200708,,20201030,114,2.7142857142857,,
id,deaths_7dav_incidence_num,20200708,,20201030,114,0.85714285714286,,
il,deaths_7dav_incidence_num,20200708,,20201030,114,51.142857142857,,
in,deaths_7dav_incidence_num,20200708,,20201030,114,11.714285714286,,
ks,deaths_7dav_incidence_num,20200708,,20201030,114,1.7142857142857,,
ky,deaths_7dav_incidence_num,20200708,,20201030,114,5.1428571428571,,
la,deaths_7dav_incidence_num,20200708,,20201030,114,14.428571428571,,
ma,deaths_7dav_incidence_num,20200708,,20201030,114,23.142857142857,,
md,deaths_7dav_incidence_num,20200708,,20201014,98,10,,
me,deaths_7dav_incidence_num,20200708,,20201030,114,0.71428571428571,,
mi,deaths_7dav_incidence_num,20200708,,20201030,114,9.1428571428571,,
mn,deaths_7dav_incidence_num,20200708,,20201030,114,5.8571428571429,,
mo,deaths_7dav_incidence_num,20200708,,20201030,114,5.1428571428571,,
ms,deaths_7dav_incidence_num,20200708,,20201030,114,15.142857142857,,
mt,deaths_7dav_incidence_num,20200708,,20201030,114,0.14285714285714,,
nc,deaths_7dav_incidence_num,20200708,,20201030,114,9.1428571428571,,
nd,deaths_7dav_incidence_num,20200708,,20201030,114,0.71428571428571,,
ne,deaths_7dav_incidence_num,20200708,,20201030,114,0.85714285714286,,
nh,deaths_7dav_incidence_num,20200708,,20201030,114,1.8571428571429,,
nj,deaths_7dav_incidence_num,20200708,,20201030,114,36.285714285714,,
nm,deaths_7dav_incidence_num,20200708,,20201030,114,3.8571428571429,,
nv,deaths_7dav_incidence_num,20200708,,20201014,98,6,,
ny,deaths_7dav_incidence_num,20200708,,20201030,114,30.857142857143,,
oh,deaths_7dav_incidence_num,20200708,,20201030,114,16.428571428571,,
ok,deaths_7dav_incidence_num,20200708,,20201030,114,2.5714285714286,,
or,deaths_7dav_incidence_num,20200708,,20201030,114,2.2857142857143,,
pa,deaths_7dav_incidence_num,20200708,,20201030,114,18.285714285714,,
pr,deaths_7dav_incidence_num,20200708,,20201030,114,0.85714285714286,,
ri,deaths_7dav_incidence_num,20200708,,20201014,98,0,,
sc,deaths_7dav_incidence_num,20200708,,20201030,114,16.857142857143,,
sd,deaths_7dav_incidence_num,20200708,,20201030,114,0.71428571428571,,
tn,deaths_7dav_incidence_num,20200708,,20201030,114,10.857142857143,,
tx,deaths_7dav_incidence_num,20200708,,20201030,114,78.428571428571,,
ut,deaths_7dav_incidence_num,20200708,,20201014,98,4,,
va,deaths_7dav_incidence_num,20200708,,20201014,98,17,,
vt,deaths_7dav_incidence_num,20200708,,20201014,98,0,,
wa,deaths_7dav_incidence_num,20200708,,20201030,114,7.8571428571429,,
wi,deaths_7dav_incidence_num,20200708,,20201014,98,3,,
wv,deaths_7dav_incidence_num,20200708,,20201030,114,0.28571428571429,,
wy,deaths_7dav_incidence_num,20200708,,20201030,114,0.14285714285714,,
