geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200411,,20201030,202,12.714285714286,,
al,confirmed_7dav_incidence_num,20200411,,20201014,186,229,,
ar,confirmed_7dav_incidence_num,20200411,,20201030,202,69.285714285714,,
az,confirmed_7dav_incidence_num,20200411,,20201030,202,196.28571428571,,
ca,confirmed_7dav_incidence_num,20200411,,20201030,202,1268.5714285714,,
co,confirmed_7dav_incidence_num,20200411,,20201030,202,332.57142857143,,
ct,confirmed_7dav_incidence_num,20200411,,20201030,202,890.57142857143,,
dc,confirmed_7dav_incidence_num,20200411,,20201030,202,125.14285714286,,
de,confirmed_7dav_incidence_num,20200411,,20201030,202,126.57142857143,,
fl,confirmed_7dav_incidence_num,20200411,,20201030,202,993.85714285714,,
ga,confirmed_7dav_incidence_num,20200411,,20201014,186,857,,
hi,confirmed_7dav_incidence_num,20200411,,20201030,202,16.285714285714,,
ia,confirmed_7dav_incidence_num,20200411,,20201030,202,103.28571428571,,
id,confirmed_7dav_incidence_num,20200411,,20201030,202,53.428571428571,,
il,confirmed_7dav_incidence_num,20200411,,20201030,202,1260.4285714286,,
in,confirmed_7dav_incidence_num,20200411,,20201030,202,497.42857142857,,
ks,confirmed_7dav_incidence_num,20200411,,20201030,202,82.428571428571,,
ky,confirmed_7dav_incidence_num,20200411,,20201030,202,110.85714285714,,
la,confirmed_7dav_incidence_num,20200411,,20201014,186,1074,,
ma,confirmed_7dav_incidence_num,20200411,,20201030,202,1735.2857142857,,
md,confirmed_7dav_incidence_num,20200411,,20201030,202,652.71428571429,,
me,confirmed_7dav_incidence_num,20200411,,20201030,202,22.857142857143,,
mi,confirmed_7dav_incidence_num,20200411,,20201014,186,1395,,
mn,confirmed_7dav_incidence_num,20200411,,20201030,202,80.285714285714,,
mo,confirmed_7dav_incidence_num,20200411,,20201030,202,274.71428571429,,
ms,confirmed_7dav_incidence_num,20200411,,20201030,202,169.57142857143,,
mt,confirmed_7dav_incidence_num,20200411,,20201014,186,16,,
nc,confirmed_7dav_incidence_num,20200411,,20201030,202,271.42857142857,,
nd,confirmed_7dav_incidence_num,20200411,,20201030,202,15.285714285714,,
ne,confirmed_7dav_incidence_num,20200411,,20201014,186,54,,
nh,confirmed_7dav_incidence_num,20200411,,20201030,202,49.285714285714,,
nj,confirmed_7dav_incidence_num,20200411,,20201030,202,3432.4285714286,,
nm,confirmed_7dav_incidence_num,20200411,,20201030,202,83.571428571429,,
nv,confirmed_7dav_incidence_num,20200411,,20201030,202,137.14285714286,,
ny,confirmed_7dav_incidence_num,20200411,,20201014,186,9599,,
oh,confirmed_7dav_incidence_num,20200411,,20201030,202,358.71428571429,,
ok,confirmed_7dav_incidence_num,20200411,,20201014,186,101,,
or,confirmed_7dav_incidence_num,20200411,,20201030,202,67.428571428571,,
pa,confirmed_7dav_incidence_num,20200411,,20201030,202,1610.7142857143,,
pr,confirmed_7dav_incidence_num,20200411,,20201014,186,48,,
ri,confirmed_7dav_incidence_num,20200411,,20201030,202,220.42857142857,,
sc,confirmed_7dav_incidence_num,20200411,,20201030,202,184.85714285714,,
sd,confirmed_7dav_incidence_num,20200411,,20201014,186,59,,
tn,confirmed_7dav_incidence_num,20200411,,20201030,202,258.57142857143,,
tx,confirmed_7dav_incidence_num,20200411,,20201030,202,922.28571428571,,
ut,confirmed_7dav_incidence_num,20200411,,20201030,202,111.28571428571,,
va,confirmed_7dav_incidence_num,20200411,,20201030,202,381.42857142857,,
vt,confirmed_7dav_incidence_num,20200411,,20201030,202,35.714285714286,,
wa,confirmed_7dav_incidence_num,20200411,,20201030,202,455.28571428571,,
wi,confirmed_7dav_incidence_num,20200411,,20201014,186,169,,
wv,confirmed_7dav_incidence_num,20200411,,20201030,202,42.142857142857,,
wy,confirmed_7dav_incidence_num,20200411,,20201030,202,10.571428571429,,
