geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200623,,20201030,129,22,,
al,confirmed_7dav_incidence_num,20200623,,20201030,129,597.85714285714,,
ar,confirmed_7dav_incidence_num,20200623,,20201030,129,498.14285714286,,
az,confirmed_7dav_incidence_num,20200623,,20201030,129,2741.8571428571,,
ca,confirmed_7dav_incidence_num,20200623,,20201030,129,4645.1428571429,,
co,confirmed_7dav_incidence_num,20200623,,20201104,134,207.28571428571,,
ct,confirmed_7dav_incidence_num,20200623,,20201030,129,78.571428571429,,
dc,confirmed_7dav_incidence_num,20200623,,20201030,129,39.428571428571,,
de,confirmed_7dav_incidence_num,20200623,,20201030,129,63.428571428571,,
fl,confirmed_7dav_incidence_num,20200623,,20201014,113,3342,,
ga,confirmed_7dav_incidence_num,20200623,,20201030,129,1247.4285714286,,
hi,confirmed_7dav_incidence_num,20200623,,20201030,129,11.857142857143,,
ia,confirmed_7dav_incidence_num,20200623,,20201030,129,327.14285714286,,
id,confirmed_7dav_incidence_num,20200623,,20201030,129,113.14285714286,,
il,confirmed_7dav_incidence_num,20200623,,20201014,113,598,,
in,confirmed_7dav_incidence_num,20200623,,20201030,129,297.85714285714,,
ks,confirmed_7dav_incidence_num,20200623,,20201030,129,160.85714285714,,
ky,confirmed_7dav_incidence_num,20200623,,20201030,129,213.42857142857,,
la,confirmed_7dav_incidence_num,20200623,,20201030,129,555.57142857143,,
ma,confirmed_7dav_incidence_num,20200623,,20201030,129,186.57142857143,,
md,confirmed_7dav_incidence_num,20200623,,20201030,129,371.14285714286,,
me,confirmed_7dav_incidence_num,20200623,,20201030,129,25.285714285714,,
mi,confirmed_7dav_incidence_num,20200623,,20201030,129,269.28571428571,,
mn,confirmed_7dav_incidence_num,20200623,,20201030,129,369.57142857143,,
mo,confirmed_7dav_incidence_num,20200623,,20201030,129,306.85714285714,,
ms,confirmed_7dav_incidence_num,20200623,,20201030,129,392.28571428571,,
mt,confirmed_7dav_incidence_num,20200623,,20201030,129,18.428571428571,,
nc,confirmed_7dav_incidence_num,20200623,,20201014,113,1318,,
nd,confirmed_7dav_incidence_num,20200623,,20201014,113,28,,
ne,confirmed_7dav_incidence_num,20200623,,20201030,129,151.57142857143,,
nh,confirmed_7dav_incidence_num,20200623,,20201030,129,29.571428571429,,
nj,confirmed_7dav_incidence_num,20200623,,20201030,129,329.71428571429,,
nm,confirmed_7dav_incidence_num,20200623,,20201030,129,129.28571428571,,
nv,confirmed_7dav_incidence_num,20200623,,20201030,129,330.57142857143,,
ny,confirmed_7dav_incidence_num,20200623,,20201030,129,644.28571428571,,
oh,confirmed_7dav_incidence_num,20200623,,20201030,129,588.14285714286,,
ok,confirmed_7dav_incidence_num,20200623,,20201030,129,340.85714285714,,
or,confirmed_7dav_incidence_num,20200623,,20201014,113,168,,
pa,confirmed_7dav_incidence_num,20200623,,20201030,129,461.42857142857,,
pr,confirmed_7dav_incidence_num,20200623,,20201110,140,10.142857142857,,
ri,confirmed_7dav_incidence_num,20200623,,20201030,129,52.714285714286,,
sc,confirmed_7dav_incidence_num,20200623,,20201030,129,940.28571428571,,
sd,confirmed_7dav_incidence_num,20200623,,20201030,129,53.714285714286,,
tn,confirmed_7dav_incidence_num,20200623,,20201030,129,650.28571428571,,
tx,confirmed_7dav_incidence_num,20200623,,20201030,129,4194.7142857143,,
ut,confirmed_7dav_incidence_num,20200623,,20201030,129,480.42857142857,,
va,confirmed_7dav_incidence_num,20200623,,20201030,129,523.28571428571,,
vt,confirmed_7dav_incidence_num,20200623,,20201030,129,4.7142857142857,,
wa,confirmed_7dav_incidence_num,20200623,,20201030,129,407.85714285714,,
wi,confirmed_7dav_incidence_num,20200623,,20201030,129,304.71428571429,,
wv,confirmed_7dav_incidence_num,20200623,,20201014,113,36,,
wy,confirmed_7dav_incidence_num,20200623,,20201030,129,23.571428571429,,
