geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200510,,20201030,173,1.8571428571429,,
al,confirmed_7dav_incidence_num,20200510,,20201030,173,285.85714285714,,
ar,confirmed_7dav_incidence_num,20200510,,20201030,173,82.142857142857,,
az,confirmed_7dav_incidence_num,20200510,,20201030,173,354.14285714286,,
ca,confirmed_7dav_incidence_num,20200510,,20201030,173,1813.8571428571,,
co,confirmed_7dav_incidence_num,20200510,,20201030,173,438.28571428571,,
ct,confirmed_7dav_incidence_num,20200510,,20201030,173,609.57142857143,,
dc,confirmed_7dav_incidence_num,20200510,,20201030,173,179.42857142857,,
de,confirmed_7dav_incidence_num,20200510,,20201030,173,152.71428571429,,
fl,confirmed_7dav_incidence_num,20200510,,20201030,173,645.42857142857,,
ga,confirmed_7dav_incidence_num,20200510,,20201030,173,702.14285714286,,
hi,confirmed_7dav_incidence_num,20200510,,20201030,173,1.7142857142857,,
ia,confirmed_7dav_incidence_num,20200510,,20201030,173,397.71428571429,,
id,confirmed_7dav_incidence_num,20200510,,20201030,173,24.142857142857,,
il,confirmed_7dav_incidence_num,20200510,,20201030,173,2320.2857142857,,
in,confirmed_7dav_incidence_num,20200510,,20201014,157,599,,
ks,confirmed_7dav_incidence_num,20200510,,20201030,173,256.42857142857,,
ky,confirmed_7dav_incidence_num,20200510,,20201030,173,187.14285714286,,
la,confirmed_7dav_incidence_num,20200510,,20201030,173,322.85714285714,,
ma,confirmed_7dav_incidence_num,20200510,,20201030,173,1364.8571428571,,
md,confirmed_7dav_incidence_num,20200510,,20201030,173,1017.8571428571,,
me,confirmed_7dav_incidence_num,20200510,,20201030,173,35.857142857143,,
mi,confirmed_7dav_incidence_num,20200510,,20201030,173,532.71428571429,,
mn,confirmed_7dav_incidence_num,20200510,,20201030,173,658.28571428571,,
mo,confirmed_7dav_incidence_num,20200510,,20201014,157,199,,
ms,confirmed_7dav_incidence_num,20200510,,20201030,173,278.71428571429,,
mt,confirmed_7dav_incidence_num,20200510,,20201030,173,0.42857142857143,,
nc,confirmed_7dav_incidence_num,20200510,,20201030,173,443.85714285714,,
nd,confirmed_7dav_incidence_num,20200510,,20201030,173,42.857142857143,,
ne,confirmed_7dav_incidence_num,20200510,,20201030,173,358.57142857143,,
nh,confirmed_7dav_incidence_num,20200510,,20201014,157,79,,
nj,confirmed_7dav_incidence_num,20200510,,20201030,173,1715.7142857143,,
nm,confirmed_7dav_incidence_num,20200510,,20201030,173,144.71428571429,,
nv,confirmed_7dav_incidence_num,20200510,,20201030,173,92.571428571429,,
ny,confirmed_7dav_incidence_num,20200510,,20201030,173,2711.4285714286,,
oh,confirmed_7dav_incidence_num,20200510,,20201030,173,595.28571428571,,
ok,confirmed_7dav_incidence_num,20200510,,20201030,173,88.142857142857,,
or,confirmed_7dav_incidence_num,20200510,,20201030,173,78.285714285714,,
pa,confirmed_7dav_incidence_num,20200510,,20201030,173,1244.8571428571,,
pr,confirmed_7dav_incidence_num,20200510,,20201110,184,7.2857142857143,,
ri,confirmed_7dav_incidence_num,20200510,,20201030,173,256.71428571429,,
sc,confirmed_7dav_incidence_num,20200510,,20201030,173,146.71428571429,,
sd,confirmed_7dav_incidence_num,20200510,,20201030,173,126.57142857143,,
tn,confirmed_7dav_incidence_num,20200510,,20201030,173,258.28571428571,,
tx,confirmed_7dav_incidence_num,20200510,,20201030,173,1037.1428571429,,
ut,confirmed_7dav_incidence_num,20200510,,20201030,173,153.71428571429,,
va,confirmed_7dav_incidence_num,20200510,,20201030,173,772.71428571429,,
vt,confirmed_7dav_incidence_num,20200510,,20201030,173,4.2857142857143,,
wa,confirmed_7dav_incidence_num,20200510,,20201030,173,243.71428571429,,
wi,confirmed_7dav_incidence_num,20200510,,20201030,173,322.14285714286,,
wv,confirmed_7dav_incidence_num,20200510,,20201030,173,23.571428571429,,
wy,confirmed_7dav_incidence_num,20200510,,20201030,173,10.857142857143,,
