geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200430,,20201030,183,2.5714285714286,,
al,confirmed_7dav_incidence_num,20200430,,20201030,183,179.42857142857,,
ar,confirmed_7dav_incidence_num,20200430,,20201030,183,97.428571428571,,
az,confirmed_7dav_incidence_num,20200430,,20201014,167,269,,
ca,confirmed_7dav_incidence_num,20200430,,20201030,183,1509.8571428571,,
co,confirmed_7dav_incidence_num,20200430,,20201030,183,572.28571428571,,
ct,confirmed_7dav_incidence_num,20200430,,20201030,183,657.14285714286,,
dc,confirmed_7dav_incidence_num,20200430,,20201030,183,137.42857142857,,
de,confirmed_7dav_incidence_num,20200430,,20201030,183,203.71428571429,,
fl,confirmed_7dav_incidence_num,20200430,,20201030,183,577.42857142857,,
ga,confirmed_7dav_incidence_num,20200430,,20201030,183,625.85714285714,,
hi,confirmed_7dav_incidence_num,20200430,,20201030,183,3.1428571428571,,
ia,confirmed_7dav_incidence_num,20200430,,20201030,183,460.14285714286,,
id,confirmed_7dav_incidence_num,20200430,,20201030,183,21.142857142857,,
il,confirmed_7dav_incidence_num,20200430,,20201014,167,2283,,
in,confirmed_7dav_incidence_num,20200430,,20201030,183,685.14285714286,,
ks,confirmed_7dav_incidence_num,20200430,,20201030,183,241.71428571429,,
ky,confirmed_7dav_incidence_num,20200430,,20201030,183,175.57142857143,,
la,confirmed_7dav_incidence_num,20200430,,20201030,183,323.14285714286,,
ma,confirmed_7dav_incidence_num,20200430,,20201030,183,1873.1428571429,,
md,confirmed_7dav_incidence_num,20200430,,20201030,183,857.85714285714,,
me,confirmed_7dav_incidence_num,20200430,,20201030,183,22.571428571429,,
mi,confirmed_7dav_incidence_num,20200430,,20201030,183,845.28571428571,,
mn,confirmed_7dav_incidence_num,20200430,,20201030,183,313.42857142857,,
mo,confirmed_7dav_incidence_num,20200430,,20201030,183,179.42857142857,,
ms,confirmed_7dav_incidence_num,20200430,,20201030,183,237.42857142857,,
mt,confirmed_7dav_incidence_num,20200430,,20201030,183,1.5714285714286,,
nc,confirmed_7dav_incidence_num,20200430,,20201030,183,417.14285714286,,
nd,confirmed_7dav_incidence_num,20200430,,20201030,183,51.142857142857,,
ne,confirmed_7dav_incidence_num,20200430,,20201014,167,297,,
nh,confirmed_7dav_incidence_num,20200430,,20201014,167,68,,
nj,confirmed_7dav_incidence_num,20200430,,20201014,167,2661,,
nm,confirmed_7dav_incidence_num,20200430,,20201030,183,147.42857142857,,
nv,confirmed_7dav_incidence_num,20200430,,20201030,183,120.71428571429,,
ny,confirmed_7dav_incidence_num,20200430,,20201030,183,5844.5714285714,,
oh,confirmed_7dav_incidence_num,20200430,,20201030,183,476.14285714286,,
ok,confirmed_7dav_incidence_num,20200430,,20201030,183,85.857142857143,,
or,confirmed_7dav_incidence_num,20200430,,20201030,183,54.714285714286,,
pa,confirmed_7dav_incidence_num,20200430,,20201030,183,1370.2857142857,,
pr,confirmed_7dav_incidence_num,20200430,,20201110,194,-40.142857142857,,
ri,confirmed_7dav_incidence_num,20200430,,20201030,183,337.85714285714,,
sc,confirmed_7dav_incidence_num,20200430,,20201030,183,168.28571428571,,
sd,confirmed_7dav_incidence_num,20200430,,20201030,183,70.428571428571,,
tn,confirmed_7dav_incidence_num,20200430,,20201030,183,352.71428571429,,
tx,confirmed_7dav_incidence_num,20200430,,20201030,183,868.14285714286,,
ut,confirmed_7dav_incidence_num,20200430,,20201030,183,151.42857142857,,
va,confirmed_7dav_incidence_num,20200430,,20201030,183,692.71428571429,,
vt,confirmed_7dav_incidence_num,20200430,,20201030,183,5.8571428571429,,
wa,confirmed_7dav_incidence_num,20200430,,20201030,183,224.85714285714,,
wi,confirmed_7dav_incidence_num,20200430,,20201030,183,257.42857142857,,
wv,confirmed_7dav_incidence_num,20200430,,20201030,183,20.571428571429,,
wy,confirmed_7dav_incidence_num,20200430,,20201030,183,15.142857142857,,
