geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200706,,20201030,116,0.28571428571429,,
al,deaths_7dav_incidence_num,20200706,,20201030,116,11.142857142857,,
ar,deaths_7dav_incidence_num,20200706,,20201030,116,3.8571428571429,,
az,deaths_7dav_incidence_num,20200706,,20201014,100,33,,
ca,deaths_7dav_incidence_num,20200706,,20201030,116,65.428571428571,,
co,deaths_7dav_incidence_num,20200706,,20201030,116,1.4285714285714,,
ct,deaths_7dav_incidence_num,20200706,,20201030,116,2.5714285714286,,
dc,deaths_7dav_incidence_num,20200706,,20201030,116,1.4285714285714,,
de,deaths_7dav_incidence_num,20200706,,20201030,116,0.71428571428571,,
fl,deaths_7dav_incidence_num,20200706,,20201030,116,47.285714285714,,
ga,deaths_7dav_incidence_num,20200706,,20201030,116,13.428571428571,,
hi,deaths_7dav_incidence_num,20200706,,20201030,116,0.14285714285714,,
ia,deaths_7dav_incidence_num,20200706,,20201030,116,1.7142857142857,,
id,deaths_7dav_incidence_num,20200706,,20201030,116,0.42857142857143,,
il,deaths_7dav_incidence_num,20200706,,20201030,116,17.714285714286,,
in,deaths_7dav_incidence_num,20200706,,20201030,116,10.571428571429,,
ks,deaths_7dav_incidence_num,20200706,,20201030,116,1.7142857142857,,
ky,deaths_7dav_incidence_num,20200706,,20201030,116,4.7142857142857,,
la,deaths_7dav_incidence_num,20200706,,20201030,116,13.857142857143,,
ma,deaths_7dav_incidence_num,20200706,,20201030,116,14.714285714286,,
md,deaths_7dav_incidence_num,20200706,,20201030,116,10.142857142857,,
me,deaths_7dav_incidence_num,20200706,,20201030,116,0.57142857142857,,
mi,deaths_7dav_incidence_num,20200706,,20201030,116,8.5714285714286,,
mn,deaths_7dav_incidence_num,20200706,,20201030,116,5.8571428571429,,
mo,deaths_7dav_incidence_num,20200706,,20201014,100,5,,
ms,deaths_7dav_incidence_num,20200706,,20201030,116,7.8571428571429,,
mt,deaths_7dav_incidence_num,20200706,,20201030,116,0.14285714285714,,
nc,deaths_7dav_incidence_num,20200706,,20201030,116,10.714285714286,,
nd,deaths_7dav_incidence_num,20200706,,20201030,116,0.14285714285714,,
ne,deaths_7dav_incidence_num,20200706,,20201014,100,2,,
nh,deaths_7dav_incidence_num,20200706,,20201030,116,2.1428571428571,,
nj,deaths_7dav_incidence_num,20200706,,20201030,116,33.857142857143,,
nm,deaths_7dav_incidence_num,20200706,,20201030,116,3.1428571428571,,
nv,deaths_7dav_incidence_num,20200706,,20201030,116,4.7142857142857,,
ny,deaths_7dav_incidence_num,20200706,,20201030,116,21.714285714286,,
oh,deaths_7dav_incidence_num,20200706,,20201030,116,15.571428571429,,
ok,deaths_7dav_incidence_num,20200706,,20201014,100,2,,
or,deaths_7dav_incidence_num,20200706,,20201030,116,1.5714285714286,,
pa,deaths_7dav_incidence_num,20200706,,20201014,100,20,,
pr,deaths_7dav_incidence_num,20200706,,20201030,116,0.28571428571429,,
ri,deaths_7dav_incidence_num,20200706,,20201030,116,4.8571428571429,,
sc,deaths_7dav_incidence_num,20200706,,20201030,116,15.285714285714,,
sd,deaths_7dav_incidence_num,20200706,,20201030,116,0.85714285714286,,
tn,deaths_7dav_incidence_num,20200706,,20201030,116,8.5714285714286,,
tx,deaths_7dav_incidence_num,20200706,,20201030,116,58.142857142857,,
ut,deaths_7dav_incidence_num,20200706,,20201030,116,3.1428571428571,,
va,deaths_7dav_incidence_num,20200706,,20201030,116,16.142857142857,,
vt,deaths_7dav_incidence_num,20200706,,20201014,100,0,,
wa,deaths_7dav_incidence_num,20200706,,20201014,100,7,,
wi,deaths_7dav_incidence_num,20200706,,20201030,116,2.7142857142857,,
wv,deaths_7dav_incidence_num,20200706,,20201030,116,0.28571428571429,,
wy,deaths_7dav_incidence_num,20200706,,20201014,100,0,,
