geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200717,,20201030,105,72.857142857143,,
al,confirmed_7dav_incidence_num,20200717,,20201030,105,1797.5714285714,,
ar,confirmed_7dav_incidence_num,20200717,,20201030,105,708.42857142857,,
az,confirmed_7dav_incidence_num,20200717,,20201030,105,3090.1428571429,,
ca,confirmed_7dav_incidence_num,20200717,,20201030,105,8910.5714285714,,
co,confirmed_7dav_incidence_num,20200717,,20201030,105,450.42857142857,,
ct,confirmed_7dav_incidence_num,20200717,,20201030,105,86.571428571429,,
dc,confirmed_7dav_incidence_num,20200717,,20201030,105,53.142857142857,,
de,confirmed_7dav_incidence_num,20200717,,20201030,105,97.857142857143,,
fl,confirmed_7dav_incidence_num,20200717,,20201014,89,11870,,
ga,confirmed_7dav_incidence_num,20200717,,20201014,89,3425,,
hi,confirmed_7dav_incidence_num,20200717,,20201030,105,25.142857142857,,
ia,confirmed_7dav_incidence_num,20200717,,20201014,89,533,,
id,confirmed_7dav_incidence_num,20200717,,20201030,105,546.28571428571,,
il,confirmed_7dav_incidence_num,20200717,,20201030,105,1087.1428571429,,
in,confirmed_7dav_incidence_num,20200717,,20201030,105,644.71428571429,,
ks,confirmed_7dav_incidence_num,20200717,,20201030,105,440.71428571429,,
ky,confirmed_7dav_incidence_num,20200717,,20201014,89,419,,
la,confirmed_7dav_incidence_num,20200717,,20201030,105,1993.4285714286,,
ma,confirmed_7dav_incidence_num,20200717,,20201030,105,225.14285714286,,
md,confirmed_7dav_incidence_num,20200717,,20201030,105,637.28571428571,,
me,confirmed_7dav_incidence_num,20200717,,20201030,105,19.571428571429,,
mi,confirmed_7dav_incidence_num,20200717,,20201030,105,699.71428571429,,
mn,confirmed_7dav_incidence_num,20200717,,20201030,105,606.57142857143,,
mo,confirmed_7dav_incidence_num,20200717,,20201014,89,667,,
ms,confirmed_7dav_incidence_num,20200717,,20201030,105,886.71428571429,,
mt,confirmed_7dav_incidence_num,20200717,,20201030,105,110.42857142857,,
nc,confirmed_7dav_incidence_num,20200717,,20201030,105,2029.2857142857,,
nd,confirmed_7dav_incidence_num,20200717,,20201014,89,91,,
ne,confirmed_7dav_incidence_num,20200717,,20201030,105,226.28571428571,,
nh,confirmed_7dav_incidence_num,20200717,,20201030,105,24.857142857143,,
nj,confirmed_7dav_incidence_num,20200717,,20201030,105,274.71428571429,,
nm,confirmed_7dav_incidence_num,20200717,,20201030,105,272.42857142857,,
nv,confirmed_7dav_incidence_num,20200717,,20201030,105,1055.2857142857,,
ny,confirmed_7dav_incidence_num,20200717,,20201030,105,750.28571428571,,
oh,confirmed_7dav_incidence_num,20200717,,20201030,105,1346.2857142857,,
ok,confirmed_7dav_incidence_num,20200717,,20201030,105,721.14285714286,,
or,confirmed_7dav_incidence_num,20200717,,20201030,105,335.42857142857,,
pa,confirmed_7dav_incidence_num,20200717,,20201030,105,799.57142857143,,
pr,confirmed_7dav_incidence_num,20200717,,20201110,116,131.57142857143,,
ri,confirmed_7dav_incidence_num,20200717,,20201030,105,68.714285714286,,
sc,confirmed_7dav_incidence_num,20200717,,20201030,105,1948.7142857143,,
sd,confirmed_7dav_incidence_num,20200717,,20201030,105,52.857142857143,,
tn,confirmed_7dav_incidence_num,20200717,,20201014,89,2039,,
tx,confirmed_7dav_incidence_num,20200717,,20201014,89,10264,,
ut,confirmed_7dav_incidence_num,20200717,,20201030,105,621.28571428571,,
va,confirmed_7dav_incidence_num,20200717,,20201030,105,928.85714285714,,
vt,confirmed_7dav_incidence_num,20200717,,20201030,105,8.1428571428571,,
wa,confirmed_7dav_incidence_num,20200717,,20201030,105,835.57142857143,,
wi,confirmed_7dav_incidence_num,20200717,,20201014,89,822,,
wv,confirmed_7dav_incidence_num,20200717,,20201030,105,114.28571428571,,
wy,confirmed_7dav_incidence_num,20200717,,20201030,105,39.857142857143,,
