geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200714,,20201030,108,68.571428571429,,
al,confirmed_7dav_incidence_num,20200714,,20201030,108,1638.5714285714,,
ar,confirmed_7dav_incidence_num,20200714,,20201030,108,757.14285714286,,
az,confirmed_7dav_incidence_num,20200714,,20201030,108,3286.1428571429,,
ca,confirmed_7dav_incidence_num,20200714,,20201030,108,8885.5714285714,,
co,confirmed_7dav_incidence_num,20200714,,20201104,113,431.71428571429,,
ct,confirmed_7dav_incidence_num,20200714,,20201014,92,71,,
dc,confirmed_7dav_incidence_num,20200714,,20201030,108,53.857142857143,,
de,confirmed_7dav_incidence_num,20200714,,20201030,108,79.285714285714,,
fl,confirmed_7dav_incidence_num,20200714,,20201030,108,11119.285714286,,
ga,confirmed_7dav_incidence_num,20200714,,20201030,108,3356.1428571429,,
hi,confirmed_7dav_incidence_num,20200714,,20201030,108,27.571428571429,,
ia,confirmed_7dav_incidence_num,20200714,,20201030,108,530.42857142857,,
id,confirmed_7dav_incidence_num,20200714,,20201030,108,454.42857142857,,
il,confirmed_7dav_incidence_num,20200714,,20201030,108,1009.1428571429,,
in,confirmed_7dav_incidence_num,20200714,,20201030,108,579.85714285714,,
ks,confirmed_7dav_incidence_num,20200714,,20201030,108,432.42857142857,,
ky,confirmed_7dav_incidence_num,20200714,,20201030,108,386.28571428571,,
la,confirmed_7dav_incidence_num,20200714,,20201030,108,1968.4285714286,,
ma,confirmed_7dav_incidence_num,20200714,,20201014,92,217,,
md,confirmed_7dav_incidence_num,20200714,,20201014,92,552,,
me,confirmed_7dav_incidence_num,20200714,,20201014,92,18,,
mi,confirmed_7dav_incidence_num,20200714,,20201030,108,566.57142857143,,
mn,confirmed_7dav_incidence_num,20200714,,20201030,108,576.71428571429,,
mo,confirmed_7dav_incidence_num,20200714,,20201030,108,617.42857142857,,
ms,confirmed_7dav_incidence_num,20200714,,20201030,108,761.14285714286,,
mt,confirmed_7dav_incidence_num,20200714,,20201030,108,89.285714285714,,
nc,confirmed_7dav_incidence_num,20200714,,20201030,108,2018.1428571429,,
nd,confirmed_7dav_incidence_num,20200714,,20201014,92,85,,
ne,confirmed_7dav_incidence_num,20200714,,20201030,108,216.57142857143,,
nh,confirmed_7dav_incidence_num,20200714,,20201030,108,22.714285714286,,
nj,confirmed_7dav_incidence_num,20200714,,20201014,92,291,,
nm,confirmed_7dav_incidence_num,20200714,,20201030,108,255.28571428571,,
nv,confirmed_7dav_incidence_num,20200714,,20201030,108,833.42857142857,,
ny,confirmed_7dav_incidence_num,20200714,,20201030,108,705.42857142857,,
oh,confirmed_7dav_incidence_num,20200714,,20201030,108,1298.7142857143,,
ok,confirmed_7dav_incidence_num,20200714,,20201030,108,645.71428571429,,
or,confirmed_7dav_incidence_num,20200714,,20201030,108,314.28571428571,,
pa,confirmed_7dav_incidence_num,20200714,,20201030,108,766.85714285714,,
pr,confirmed_7dav_incidence_num,20200714,,20201110,119,108.14285714286,,
ri,confirmed_7dav_incidence_num,20200714,,20201014,92,62,,
sc,confirmed_7dav_incidence_num,20200714,,20201030,108,1862.4285714286,,
sd,confirmed_7dav_incidence_num,20200714,,20201030,108,56.857142857143,,
tn,confirmed_7dav_incidence_num,20200714,,20201030,108,1896.2857142857,,
tx,confirmed_7dav_incidence_num,20200714,,20201030,108,9078.7142857143,,
ut,confirmed_7dav_incidence_num,20200714,,20201014,92,635,,
va,confirmed_7dav_incidence_num,20200714,,20201030,108,814.71428571429,,
vt,confirmed_7dav_incidence_num,20200714,,20201030,108,7.2857142857143,,
wa,confirmed_7dav_incidence_num,20200714,,20201030,108,697.71428571429,,
wi,confirmed_7dav_incidence_num,20200714,,20201030,108,764.28571428571,,
wv,confirmed_7dav_incidence_num,20200714,,20201030,108,128.85714285714,,
wy,confirmed_7dav_incidence_num,20200714,,20201030,108,34.428571428571,,
