geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200616,,20201030,136,19.142857142857,,
al,confirmed_7dav_incidence_num,20200616,,20201030,136,784.28571428571,,
ar,confirmed_7dav_incidence_num,20200616,,20201030,136,444.42857142857,,
az,confirmed_7dav_incidence_num,20200616,,20201030,136,1555.5714285714,,
ca,confirmed_7dav_incidence_num,20200616,,20201030,136,3182.8571428571,,
co,confirmed_7dav_incidence_num,20200616,,20201104,141,156.42857142857,,
ct,confirmed_7dav_incidence_num,20200616,,20201030,136,167.14285714286,,
dc,confirmed_7dav_incidence_num,20200616,,20201030,136,49.142857142857,,
de,confirmed_7dav_incidence_num,20200616,,20201030,136,54.714285714286,,
fl,confirmed_7dav_incidence_num,20200616,,20201030,136,2015.5714285714,,
ga,confirmed_7dav_incidence_num,20200616,,20201030,136,832.71428571429,,
hi,confirmed_7dav_incidence_num,20200616,,20201030,136,7.7142857142857,,
ia,confirmed_7dav_incidence_num,20200616,,20201030,136,277.42857142857,,
id,confirmed_7dav_incidence_num,20200616,,20201030,136,34.428571428571,,
il,confirmed_7dav_incidence_num,20200616,,20201030,136,632.42857142857,,
in,confirmed_7dav_incidence_num,20200616,,20201030,136,393.28571428571,,
ks,confirmed_7dav_incidence_num,20200616,,20201030,136,114.57142857143,,
ky,confirmed_7dav_incidence_num,20200616,,20201030,136,134.28571428571,,
la,confirmed_7dav_incidence_num,20200616,,20201030,136,584.85714285714,,
ma,confirmed_7dav_incidence_num,20200616,,20201030,136,200.85714285714,,
md,confirmed_7dav_incidence_num,20200616,,20201030,136,500.71428571429,,
me,confirmed_7dav_incidence_num,20200616,,20201030,136,30.428571428571,,
mi,confirmed_7dav_incidence_num,20200616,,20201030,136,166.57142857143,,
mn,confirmed_7dav_incidence_num,20200616,,20201014,120,337,,
mo,confirmed_7dav_incidence_num,20200616,,20201030,136,184.42857142857,,
ms,confirmed_7dav_incidence_num,20200616,,20201030,136,289.85714285714,,
mt,confirmed_7dav_incidence_num,20200616,,20201030,136,8.5714285714286,,
nc,confirmed_7dav_incidence_num,20200616,,20201030,136,1241.1428571429,,
nd,confirmed_7dav_incidence_num,20200616,,20201030,136,31.857142857143,,
ne,confirmed_7dav_incidence_num,20200616,,20201014,120,160,,
nh,confirmed_7dav_incidence_num,20200616,,20201030,136,40.714285714286,,
nj,confirmed_7dav_incidence_num,20200616,,20201030,136,375.71428571429,,
nm,confirmed_7dav_incidence_num,20200616,,20201030,136,118.28571428571,,
nv,confirmed_7dav_incidence_num,20200616,,20201014,120,234,,
ny,confirmed_7dav_incidence_num,20200616,,20201030,136,727.57142857143,,
oh,confirmed_7dav_incidence_num,20200616,,20201030,136,406.85714285714,,
ok,confirmed_7dav_incidence_num,20200616,,20201030,136,183.14285714286,,
or,confirmed_7dav_incidence_num,20200616,,20201030,136,158.57142857143,,
pa,confirmed_7dav_incidence_num,20200616,,20201014,120,444,,
pr,confirmed_7dav_incidence_num,20200616,,20201110,147,14.857142857143,,
ri,confirmed_7dav_incidence_num,20200616,,20201030,136,67.571428571429,,
sc,confirmed_7dav_incidence_num,20200616,,20201030,136,680.28571428571,,
sd,confirmed_7dav_incidence_num,20200616,,20201030,136,62.142857142857,,
tn,confirmed_7dav_incidence_num,20200616,,20201030,136,596.57142857143,,
tx,confirmed_7dav_incidence_num,20200616,,20201030,136,2194.4285714286,,
ut,confirmed_7dav_incidence_num,20200616,,20201030,136,339.71428571429,,
va,confirmed_7dav_incidence_num,20200616,,20201030,136,513.28571428571,,
vt,confirmed_7dav_incidence_num,20200616,,20201030,136,6.7142857142857,,
wa,confirmed_7dav_incidence_num,20200616,,20201014,120,311,,
wi,confirmed_7dav_incidence_num,20200616,,20201014,120,270,,
wv,confirmed_7dav_incidence_num,20200616,,20201030,136,24.571428571429,,
wy,confirmed_7dav_incidence_num,20200616,,20201014,120,17,,
