geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200423,,20201030,190,5.2857142857143,,
al,confirmed_7dav_incidence_num,20200423,,20201030,190,212.42857142857,,
ar,confirmed_7dav_incidence_num,20200423,,20201030,190,139.85714285714,,
az,confirmed_7dav_incidence_num,20200423,,20201030,190,219.28571428571,,
ca,confirmed_7dav_incidence_num,20200423,,20201030,190,1697.7142857143,,
co,confirmed_7dav_incidence_num,20200423,,20201030,190,371.85714285714,,
ct,confirmed_7dav_incidence_num,20200423,,20201030,190,1030.8571428571,,
dc,confirmed_7dav_incidence_num,20200423,,20201030,190,144.42857142857,,
de,confirmed_7dav_incidence_num,20200423,,20201030,190,176.85714285714,,
fl,confirmed_7dav_incidence_num,20200423,,20201030,190,900.71428571429,,
ga,confirmed_7dav_incidence_num,20200423,,20201030,190,887.71428571429,,
hi,confirmed_7dav_incidence_num,20200423,,20201030,190,9.4285714285714,,
ia,confirmed_7dav_incidence_num,20200423,,20201030,190,254.71428571429,,
id,confirmed_7dav_incidence_num,20200423,,20201030,190,35.571428571429,,
il,confirmed_7dav_incidence_num,20200423,,20201030,190,1600.4285714286,,
in,confirmed_7dav_incidence_num,20200423,,20201030,190,499.57142857143,,
ks,confirmed_7dav_incidence_num,20200423,,20201014,174,158,,
ky,confirmed_7dav_incidence_num,20200423,,20201030,190,149.14285714286,,
la,confirmed_7dav_incidence_num,20200423,,20201030,190,458.14285714286,,
ma,confirmed_7dav_incidence_num,20200423,,20201030,190,2226.4285714286,,
md,confirmed_7dav_incidence_num,20200423,,20201030,190,707.57142857143,,
me,confirmed_7dav_incidence_num,20200423,,20201030,190,20.142857142857,,
mi,confirmed_7dav_incidence_num,20200423,,20201030,190,937.42857142857,,
mn,confirmed_7dav_incidence_num,20200423,,20201030,190,161.85714285714,,
mo,confirmed_7dav_incidence_num,20200423,,20201030,190,198.85714285714,,
ms,confirmed_7dav_incidence_num,20200423,,20201030,190,218.42857142857,,
mt,confirmed_7dav_incidence_num,20200423,,20201030,190,3.8571428571429,,
nc,confirmed_7dav_incidence_num,20200423,,20201030,190,331.85714285714,,
nd,confirmed_7dav_incidence_num,20200423,,20201030,190,45.142857142857,,
ne,confirmed_7dav_incidence_num,20200423,,20201030,190,178.57142857143,,
nh,confirmed_7dav_incidence_num,20200423,,20201030,190,75.857142857143,,
nj,confirmed_7dav_incidence_num,20200423,,20201030,190,3529.7142857143,,
nm,confirmed_7dav_incidence_num,20200423,,20201030,190,127.85714285714,,
nv,confirmed_7dav_incidence_num,20200423,,20201014,174,142,,
ny,confirmed_7dav_incidence_num,20200423,,20201030,190,5681.2857142857,,
oh,confirmed_7dav_incidence_num,20200423,,20201030,190,897.14285714286,,
ok,confirmed_7dav_incidence_num,20200423,,20201030,190,94.285714285714,,
or,confirmed_7dav_incidence_num,20200423,,20201030,190,55.857142857143,,
pa,confirmed_7dav_incidence_num,20200423,,20201030,190,1445.8571428571,,
pr,confirmed_7dav_incidence_num,20200423,,20201110,201,26.714285714286,,
ri,confirmed_7dav_incidence_num,20200423,,20201030,190,389.57142857143,,
sc,confirmed_7dav_incidence_num,20200423,,20201030,190,140.85714285714,,
sd,confirmed_7dav_incidence_num,20200423,,20201030,190,92.142857142857,,
tn,confirmed_7dav_incidence_num,20200423,,20201014,174,300,,
tx,confirmed_7dav_incidence_num,20200423,,20201030,190,824.85714285714,,
ut,confirmed_7dav_incidence_num,20200423,,20201030,190,132.71428571429,,
va,confirmed_7dav_incidence_num,20200423,,20201014,174,587,,
vt,confirmed_7dav_incidence_num,20200423,,20201030,190,7.2857142857143,,
wa,confirmed_7dav_incidence_num,20200423,,20201030,190,242.28571428571,,
wi,confirmed_7dav_incidence_num,20200423,,20201030,190,168.14285714286,,
wv,confirmed_7dav_incidence_num,20200423,,20201030,190,36.142857142857,,
wy,confirmed_7dav_incidence_num,20200423,,20201030,190,22.428571428571,,
