geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200501,,20201030,182,3.5714285714286,,
al,confirmed_7dav_incidence_num,20200501,,20201030,182,181.14285714286,,
ar,confirmed_7dav_incidence_num,20200501,,20201030,182,75.285714285714,,
az,confirmed_7dav_incidence_num,20200501,,20201030,182,274.85714285714,,
ca,confirmed_7dav_incidence_num,20200501,,20201030,182,1524.4285714286,,
co,confirmed_7dav_incidence_num,20200501,,20201030,182,505.28571428571,,
ct,confirmed_7dav_incidence_num,20200501,,20201030,182,689.71428571429,,
dc,confirmed_7dav_incidence_num,20200501,,20201030,182,161.42857142857,,
de,confirmed_7dav_incidence_num,20200501,,20201030,182,210.85714285714,,
fl,confirmed_7dav_incidence_num,20200501,,20201030,182,599.28571428571,,
ga,confirmed_7dav_incidence_num,20200501,,20201014,166,714,,
hi,confirmed_7dav_incidence_num,20200501,,20201030,182,2.5714285714286,,
ia,confirmed_7dav_incidence_num,20200501,,20201030,182,491.28571428571,,
id,confirmed_7dav_incidence_num,20200501,,20201030,182,20.714285714286,,
il,confirmed_7dav_incidence_num,20200501,,20201030,182,2342.4285714286,,
in,confirmed_7dav_incidence_num,20200501,,20201014,166,707,,
ks,confirmed_7dav_incidence_num,20200501,,20201030,182,239.28571428571,,
ky,confirmed_7dav_incidence_num,20200501,,20201030,182,157.57142857143,,
la,confirmed_7dav_incidence_num,20200501,,20201030,182,367.28571428571,,
ma,confirmed_7dav_incidence_num,20200501,,20201030,182,1844.8571428571,,
md,confirmed_7dav_incidence_num,20200501,,20201030,182,979.42857142857,,
me,confirmed_7dav_incidence_num,20200501,,20201030,182,22.571428571429,,
mi,confirmed_7dav_incidence_num,20200501,,20201030,182,797.85714285714,,
mn,confirmed_7dav_incidence_num,20200501,,20201030,182,363.57142857143,,
mo,confirmed_7dav_incidence_num,20200501,,20201030,182,178.14285714286,,
ms,confirmed_7dav_incidence_num,20200501,,20201014,166,254,,
mt,confirmed_7dav_incidence_num,20200501,,20201030,182,1.2857142857143,,
nc,confirmed_7dav_incidence_num,20200501,,20201030,182,421.57142857143,,
nd,confirmed_7dav_incidence_num,20200501,,20201030,182,51.285714285714,,
ne,confirmed_7dav_incidence_num,20200501,,20201030,182,369.14285714286,,
nh,confirmed_7dav_incidence_num,20200501,,20201030,182,84.285714285714,,
nj,confirmed_7dav_incidence_num,20200501,,20201030,182,2713.4285714286,,
nm,confirmed_7dav_incidence_num,20200501,,20201030,182,141.71428571429,,
nv,confirmed_7dav_incidence_num,20200501,,20201030,182,121.42857142857,,
ny,confirmed_7dav_incidence_num,20200501,,20201030,182,5246.2857142857,,
oh,confirmed_7dav_incidence_num,20200501,,20201030,182,510.57142857143,,
ok,confirmed_7dav_incidence_num,20200501,,20201030,182,89.571428571429,,
or,confirmed_7dav_incidence_num,20200501,,20201030,182,57.428571428571,,
pa,confirmed_7dav_incidence_num,20200501,,20201030,182,1338.7142857143,,
pr,confirmed_7dav_incidence_num,20200501,,20201110,193,-45.428571428571,,
ri,confirmed_7dav_incidence_num,20200501,,20201030,182,323.28571428571,,
sc,confirmed_7dav_incidence_num,20200501,,20201030,182,169.71428571429,,
sd,confirmed_7dav_incidence_num,20200501,,20201030,182,69.285714285714,,
tn,confirmed_7dav_incidence_num,20200501,,20201030,182,451.85714285714,,
tx,confirmed_7dav_incidence_num,20200501,,20201030,182,864.28571428571,,
ut,confirmed_7dav_incidence_num,20200501,,20201030,182,149.42857142857,,
va,confirmed_7dav_incidence_num,20200501,,20201030,182,758.28571428571,,
vt,confirmed_7dav_incidence_num,20200501,,20201030,182,7.4285714285714,,
wa,confirmed_7dav_incidence_num,20200501,,20201030,182,237.14285714286,,
wi,confirmed_7dav_incidence_num,20200501,,20201030,182,279.71428571429,,
wv,confirmed_7dav_incidence_num,20200501,,20201030,182,20.285714285714,,
wy,confirmed_7dav_incidence_num,20200501,,20201030,182,13.285714285714,,
