geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200722,,20201030,100,96.571428571429,,
al,confirmed_7dav_incidence_num,20200722,,20201030,100,1820.8571428571,,
ar,confirmed_7dav_incidence_num,20200722,,20201014,84,707,,
az,confirmed_7dav_incidence_num,20200722,,20201030,100,2750.7142857143,,
ca,confirmed_7dav_incidence_num,20200722,,20201030,100,9485.8571428571,,
co,confirmed_7dav_incidence_num,20200722,,20201030,100,506.14285714286,,
ct,confirmed_7dav_incidence_num,20200722,,20201030,100,83.857142857143,,
dc,confirmed_7dav_incidence_num,20200722,,20201030,100,71.857142857143,,
de,confirmed_7dav_incidence_num,20200722,,20201014,84,106,,
fl,confirmed_7dav_incidence_num,20200722,,20201030,100,11115.571428571,,
ga,confirmed_7dav_incidence_num,20200722,,20201030,100,3494.8571428571,,
hi,confirmed_7dav_incidence_num,20200722,,20201030,100,20.428571428571,,
ia,confirmed_7dav_incidence_num,20200722,,20201030,100,524.57142857143,,
id,confirmed_7dav_incidence_num,20200722,,20201030,100,553.28571428571,,
il,confirmed_7dav_incidence_num,20200722,,20201030,100,1235.7142857143,,
in,confirmed_7dav_incidence_num,20200722,,20201030,100,757.57142857143,,
ks,confirmed_7dav_incidence_num,20200722,,20201030,100,447.42857142857,,
ky,confirmed_7dav_incidence_num,20200722,,20201030,100,551.85714285714,,
la,confirmed_7dav_incidence_num,20200722,,20201030,100,2174.7142857143,,
ma,confirmed_7dav_incidence_num,20200722,,20201030,100,227.71428571429,,
md,confirmed_7dav_incidence_num,20200722,,20201030,100,736.57142857143,,
me,confirmed_7dav_incidence_num,20200722,,20201030,100,20.571428571429,,
mi,confirmed_7dav_incidence_num,20200722,,20201030,100,685.71428571429,,
mn,confirmed_7dav_incidence_num,20200722,,20201030,100,602.71428571429,,
mo,confirmed_7dav_incidence_num,20200722,,20201014,84,920,,
ms,confirmed_7dav_incidence_num,20200722,,20201030,100,1214.8571428571,,
mt,confirmed_7dav_incidence_num,20200722,,20201030,100,102.28571428571,,
nc,confirmed_7dav_incidence_num,20200722,,20201030,100,1950.2857142857,,
nd,confirmed_7dav_incidence_num,20200722,,20201030,100,114.57142857143,,
ne,confirmed_7dav_incidence_num,20200722,,20201030,100,215.28571428571,,
nh,confirmed_7dav_incidence_num,20200722,,20201014,84,26,,
nj,confirmed_7dav_incidence_num,20200722,,20201030,100,195.28571428571,,
nm,confirmed_7dav_incidence_num,20200722,,20201030,100,283.85714285714,,
nv,confirmed_7dav_incidence_num,20200722,,20201030,100,1169.8571428571,,
ny,confirmed_7dav_incidence_num,20200722,,20201030,100,697.14285714286,,
oh,confirmed_7dav_incidence_num,20200722,,20201030,100,1347.2857142857,,
ok,confirmed_7dav_incidence_num,20200722,,20201030,100,640.57142857143,,
or,confirmed_7dav_incidence_num,20200722,,20201030,100,330.28571428571,,
pa,confirmed_7dav_incidence_num,20200722,,20201030,100,850.57142857143,,
pr,confirmed_7dav_incidence_num,20200722,,20201110,111,183.85714285714,,
ri,confirmed_7dav_incidence_num,20200722,,20201030,100,60.285714285714,,
sc,confirmed_7dav_incidence_num,20200722,,20201030,100,1828.1428571429,,
sd,confirmed_7dav_incidence_num,20200722,,20201030,100,58.714285714286,,
tn,confirmed_7dav_incidence_num,20200722,,20201030,100,2193.7142857143,,
tx,confirmed_7dav_incidence_num,20200722,,20201014,84,10389,,
ut,confirmed_7dav_incidence_num,20200722,,20201030,100,669.57142857143,,
va,confirmed_7dav_incidence_num,20200722,,20201030,100,980.85714285714,,
vt,confirmed_7dav_incidence_num,20200722,,20201030,100,6.8571428571429,,
wa,confirmed_7dav_incidence_num,20200722,,20201030,100,885.85714285714,,
wi,confirmed_7dav_incidence_num,20200722,,20201030,100,874.28571428571,,
wv,confirmed_7dav_incidence_num,20200722,,20201030,100,93.571428571429,,
wy,confirmed_7dav_incidence_num,20200722,,20201030,100,43.285714285714,,
