geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200815,,20201030,76,0.28571428571429,,
al,deaths_7dav_incidence_num,20200815,,20201030,76,20.142857142857,,
ar,deaths_7dav_incidence_num,20200815,,20201030,76,9.2857142857143,,
az,deaths_7dav_incidence_num,20200815,,20201030,76,50.714285714286,,
ca,deaths_7dav_incidence_num,20200815,,20201030,76,130.14285714286,,
co,deaths_7dav_incidence_num,20200815,,20201030,76,5.5714285714286,,
ct,deaths_7dav_incidence_num,20200815,,20201030,76,1.7142857142857,,
dc,deaths_7dav_incidence_num,20200815,,20201014,60,1,,
de,deaths_7dav_incidence_num,20200815,,20201030,76,0.42857142857143,,
fl,deaths_7dav_incidence_num,20200815,,20201030,76,176.57142857143,,
ga,deaths_7dav_incidence_num,20200815,,20201014,60,69,,
hi,deaths_7dav_incidence_num,20200815,,20201030,76,1.2857142857143,,
ia,deaths_7dav_incidence_num,20200815,,20201030,76,6.8571428571429,,
id,deaths_7dav_incidence_num,20200815,,20201030,76,4.8571428571429,,
il,deaths_7dav_incidence_num,20200815,,20201030,76,13.857142857143,,
in,deaths_7dav_incidence_num,20200815,,20201030,76,13.142857142857,,
ks,deaths_7dav_incidence_num,20200815,,20201030,76,3.7142857142857,,
ky,deaths_7dav_incidence_num,20200815,,20201030,76,5.4285714285714,,
la,deaths_7dav_incidence_num,20200815,,20201030,76,31.857142857143,,
ma,deaths_7dav_incidence_num,20200815,,20201014,60,15,,
md,deaths_7dav_incidence_num,20200815,,20201030,76,8.4285714285714,,
me,deaths_7dav_incidence_num,20200815,,20201030,76,0.28571428571429,,
mi,deaths_7dav_incidence_num,20200815,,20201030,76,9.4285714285714,,
mn,deaths_7dav_incidence_num,20200815,,20201030,76,2.2857142857143,,
mo,deaths_7dav_incidence_num,20200815,,20201030,76,7.2857142857143,,
ms,deaths_7dav_incidence_num,20200815,,20201030,76,29.428571428571,,
mt,deaths_7dav_incidence_num,20200815,,20201014,60,1,,
nc,deaths_7dav_incidence_num,20200815,,20201030,76,22.714285714286,,
nd,deaths_7dav_incidence_num,20200815,,20201030,76,1.2857142857143,,
ne,deaths_7dav_incidence_num,20200815,,20201030,76,2.2857142857143,,
nh,deaths_7dav_incidence_num,20200815,,20201030,76,0.57142857142857,,
nj,deaths_7dav_incidence_num,20200815,,20201030,76,5.8571428571429,,
nm,deaths_7dav_incidence_num,20200815,,20201030,76,4.2857142857143,,
nv,deaths_7dav_incidence_num,20200815,,20201030,76,17.142857142857,,
ny,deaths_7dav_incidence_num,20200815,,20201014,60,8,,
oh,deaths_7dav_incidence_num,20200815,,20201030,76,22.285714285714,,
ok,deaths_7dav_incidence_num,20200815,,20201030,76,7.7142857142857,,
or,deaths_7dav_incidence_num,20200815,,20201030,76,4.4285714285714,,
pa,deaths_7dav_incidence_num,20200815,,20201030,76,20.142857142857,,
pr,deaths_7dav_incidence_num,20200815,,20201030,76,7.8571428571429,,
ri,deaths_7dav_incidence_num,20200815,,20201030,76,0.28571428571429,,
sc,deaths_7dav_incidence_num,20200815,,20201030,76,36.142857142857,,
sd,deaths_7dav_incidence_num,20200815,,20201030,76,0.85714285714286,,
tn,deaths_7dav_incidence_num,20200815,,20201030,76,18.571428571429,,
tx,deaths_7dav_incidence_num,20200815,,20201030,76,172.85714285714,,
ut,deaths_7dav_incidence_num,20200815,,20201014,60,4,,
va,deaths_7dav_incidence_num,20200815,,20201030,76,8.4285714285714,,
vt,deaths_7dav_incidence_num,20200815,,20201014,60,0,,
wa,deaths_7dav_incidence_num,20200815,,20201030,76,11.142857142857,,
wi,deaths_7dav_incidence_num,20200815,,20201014,60,6,,
wv,deaths_7dav_incidence_num,20200815,,20201030,76,4.1428571428571,,
wy,deaths_7dav_incidence_num,20200815,,20201030,76,0.28571428571429,,
