geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200404,,20201030,209,11.428571428571,,
al,confirmed_7dav_incidence_num,20200404,,20201030,209,131.42857142857,,
ar,confirmed_7dav_incidence_num,20200404,,20201030,209,47.714285714286,,
az,confirmed_7dav_incidence_num,20200404,,20201014,193,178,,
ca,confirmed_7dav_incidence_num,20200404,,20201030,209,1103.8571428571,,
co,confirmed_7dav_incidence_num,20200404,,20201030,209,357.71428571429,,
ct,confirmed_7dav_incidence_num,20200404,,20201014,193,536,,
dc,confirmed_7dav_incidence_num,20200404,,20201030,209,85.428571428571,,
de,confirmed_7dav_incidence_num,20200404,,20201030,209,54.142857142857,,
fl,confirmed_7dav_incidence_num,20200404,,20201030,209,1110.5714285714,,
ga,confirmed_7dav_incidence_num,20200404,,20201014,193,542,,
hi,confirmed_7dav_incidence_num,20200404,,20201030,209,28.857142857143,,
ia,confirmed_7dav_incidence_num,20200404,,20201030,209,69.857142857143,,
id,confirmed_7dav_incidence_num,20200404,,20201030,209,112.57142857143,,
il,confirmed_7dav_incidence_num,20200404,,20201030,209,980.85714285714,,
in,confirmed_7dav_incidence_num,20200404,,20201030,209,388.57142857143,,
ks,confirmed_7dav_incidence_num,20200404,,20201030,209,61.714285714286,,
ky,confirmed_7dav_incidence_num,20200404,,20201030,209,76.714285714286,,
la,confirmed_7dav_incidence_num,20200404,,20201030,209,1311.5714285714,,
ma,confirmed_7dav_incidence_num,20200404,,20201030,209,1184.5714285714,,
md,confirmed_7dav_incidence_num,20200404,,20201030,209,304.28571428571,,
me,confirmed_7dav_incidence_num,20200404,,20201014,193,35,,
mi,confirmed_7dav_incidence_num,20200404,,20201030,209,1406.4285714286,,
mn,confirmed_7dav_incidence_num,20200404,,20201030,209,60.571428571429,,
mo,confirmed_7dav_incidence_num,20200404,,20201030,209,229.71428571429,,
ms,confirmed_7dav_incidence_num,20200404,,20201030,209,113.14285714286,,
mt,confirmed_7dav_incidence_num,20200404,,20201030,209,19.428571428571,,
nc,confirmed_7dav_incidence_num,20200404,,20201030,209,218.57142857143,,
nd,confirmed_7dav_incidence_num,20200404,,20201030,209,13.142857142857,,
ne,confirmed_7dav_incidence_num,20200404,,20201030,209,32.142857142857,,
nh,confirmed_7dav_incidence_num,20200404,,20201030,209,50.428571428571,,
nj,confirmed_7dav_incidence_num,20200404,,20201030,209,3285.7142857143,,
nm,confirmed_7dav_incidence_num,20200404,,20201030,209,42.571428571429,,
nv,confirmed_7dav_incidence_num,20200404,,20201030,209,159.42857142857,,
ny,confirmed_7dav_incidence_num,20200404,,20201030,209,8776.1428571429,,
oh,confirmed_7dav_incidence_num,20200404,,20201030,209,333.28571428571,,
ok,confirmed_7dav_incidence_num,20200404,,20201014,193,112,,
or,confirmed_7dav_incidence_num,20200404,,20201014,193,60,,
pa,confirmed_7dav_incidence_num,20200404,,20201030,209,1085.5714285714,,
pr,confirmed_7dav_incidence_num,20200404,,20201030,209,50.285714285714,,
ri,confirmed_7dav_incidence_num,20200404,,20201014,193,81,,
sc,confirmed_7dav_incidence_num,20200404,,20201030,209,179.57142857143,,
sd,confirmed_7dav_incidence_num,20200404,,20201030,209,20.571428571429,,
tn,confirmed_7dav_incidence_num,20200404,,20201030,209,258.71428571429,,
tx,confirmed_7dav_incidence_num,20200404,,20201030,209,587.42857142857,,
ut,confirmed_7dav_incidence_num,20200404,,20201014,193,118,,
va,confirmed_7dav_incidence_num,20200404,,20201030,209,238.14285714286,,
vt,confirmed_7dav_incidence_num,20200404,,20201030,209,35.714285714286,,
wa,confirmed_7dav_incidence_num,20200404,,20201030,209,459.57142857143,,
wi,confirmed_7dav_incidence_num,20200404,,20201030,209,139.28571428571,,
wv,confirmed_7dav_incidence_num,20200404,,20201030,209,26.571428571429,,
wy,confirmed_7dav_incidence_num,20200404,,20201014,193,15,,
