geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200425,,20201014,172,0,,
al,deaths_7dav_incidence_num,20200425,,20201014,172,8,,
ar,deaths_7dav_incidence_num,20200425,,20201030,188,1.4285714285714,,
az,deaths_7dav_incidence_num,20200425,,20201030,188,13.285714285714,,
ca,deaths_7dav_incidence_num,20200425,,20201030,188,78.428571428571,,
co,deaths_7dav_incidence_num,20200425,,20201014,172,39,,
ct,deaths_7dav_incidence_num,20200425,,20201030,188,111.28571428571,,
dc,deaths_7dav_incidence_num,20200425,,20201030,188,10.571428571429,,
de,deaths_7dav_incidence_num,20200425,,20201030,188,6.4285714285714,,
fl,deaths_7dav_incidence_num,20200425,,20201030,188,43.857142857143,,
ga,deaths_7dav_incidence_num,20200425,,20201030,188,33.428571428571,,
hi,deaths_7dav_incidence_num,20200425,,20201030,188,0.57142857142857,,
ia,deaths_7dav_incidence_num,20200425,,20201030,188,5.4285714285714,,
id,deaths_7dav_incidence_num,20200425,,20201030,188,1.8571428571429,,
il,deaths_7dav_incidence_num,20200425,,20201014,172,88,,
in,deaths_7dav_incidence_num,20200425,,20201030,188,34.428571428571,,
ks,deaths_7dav_incidence_num,20200425,,20201014,172,5,,
ky,deaths_7dav_incidence_num,20200425,,20201030,188,8.7142857142857,,
la,deaths_7dav_incidence_num,20200425,,20201030,188,62.857142857143,,
ma,deaths_7dav_incidence_num,20200425,,20201030,188,189.42857142857,,
md,deaths_7dav_incidence_num,20200425,,20201030,188,64.857142857143,,
me,deaths_7dav_incidence_num,20200425,,20201030,188,2.1428571428571,,
mi,deaths_7dav_incidence_num,20200425,,20201030,188,123.57142857143,,
mn,deaths_7dav_incidence_num,20200425,,20201030,188,17.571428571429,,
mo,deaths_7dav_incidence_num,20200425,,20201030,188,17.285714285714,,
ms,deaths_7dav_incidence_num,20200425,,20201030,188,9.8571428571429,,
mt,deaths_7dav_incidence_num,20200425,,20201030,188,0.57142857142857,,
nc,deaths_7dav_incidence_num,20200425,,20201030,188,16.857142857143,,
nd,deaths_7dav_incidence_num,20200425,,20201014,172,1,,
ne,deaths_7dav_incidence_num,20200425,,20201030,188,3.7142857142857,,
nh,deaths_7dav_incidence_num,20200425,,20201030,188,2.1428571428571,,
nj,deaths_7dav_incidence_num,20200425,,20201030,188,300.71428571429,,
nm,deaths_7dav_incidence_num,20200425,,20201030,188,5.7142857142857,,
nv,deaths_7dav_incidence_num,20200425,,20201030,188,7.7142857142857,,
ny,deaths_7dav_incidence_num,20200425,,20201030,188,618.57142857143,,
oh,deaths_7dav_incidence_num,20200425,,20201030,188,37.142857142857,,
ok,deaths_7dav_incidence_num,20200425,,20201030,188,8.2857142857143,,
or,deaths_7dav_incidence_num,20200425,,20201030,188,2.1428571428571,,
pa,deaths_7dav_incidence_num,20200425,,20201030,188,107.28571428571,,
pr,deaths_7dav_incidence_num,20200425,,20201030,188,3.2857142857143,,
ri,deaths_7dav_incidence_num,20200425,,20201030,188,11.571428571429,,
sc,deaths_7dav_incidence_num,20200425,,20201030,188,6.7142857142857,,
sd,deaths_7dav_incidence_num,20200425,,20201030,188,0.42857142857143,,
tn,deaths_7dav_incidence_num,20200425,,20201014,172,5,,
tx,deaths_7dav_incidence_num,20200425,,20201030,188,27.285714285714,,
ut,deaths_7dav_incidence_num,20200425,,20201030,188,2.2857142857143,,
va,deaths_7dav_incidence_num,20200425,,20201030,188,25.571428571429,,
vt,deaths_7dav_incidence_num,20200425,,20201030,188,1.1428571428571,,
wa,deaths_7dav_incidence_num,20200425,,20201030,188,17.714285714286,,
wi,deaths_7dav_incidence_num,20200425,,20201030,188,7.7142857142857,,
wv,deaths_7dav_incidence_num,20200425,,20201030,188,2.2857142857143,,
wy,deaths_7dav_incidence_num,20200425,,20201030,188,0.71428571428571,,
