geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200516,,20201014,151,0,,
al,deaths_7dav_incidence_num,20200516,,20201030,167,13.571428571429,,
ar,deaths_7dav_incidence_num,20200516,,20201030,167,1.4285714285714,,
az,deaths_7dav_incidence_num,20200516,,20201014,151,21,,
ca,deaths_7dav_incidence_num,20200516,,20201030,167,74.428571428571,,
co,deaths_7dav_incidence_num,20200516,,20201030,167,32.142857142857,,
ct,deaths_7dav_incidence_num,20200516,,20201030,167,58.142857142857,,
dc,deaths_7dav_incidence_num,20200516,,20201030,167,9.1428571428571,,
de,deaths_7dav_incidence_num,20200516,,20201030,167,9.2857142857143,,
fl,deaths_7dav_incidence_num,20200516,,20201030,167,35.571428571429,,
ga,deaths_7dav_incidence_num,20200516,,20201030,167,27.857142857143,,
hi,deaths_7dav_incidence_num,20200516,,20201014,151,0,,
ia,deaths_7dav_incidence_num,20200516,,20201030,167,13.428571428571,,
id,deaths_7dav_incidence_num,20200516,,20201030,167,0.85714285714286,,
il,deaths_7dav_incidence_num,20200516,,20201030,167,111.42857142857,,
in,deaths_7dav_incidence_num,20200516,,20201030,167,35.857142857143,,
ks,deaths_7dav_incidence_num,20200516,,20201014,151,3,,
ky,deaths_7dav_incidence_num,20200516,,20201030,167,4.2857142857143,,
la,deaths_7dav_incidence_num,20200516,,20201030,167,30.285714285714,,
ma,deaths_7dav_incidence_num,20200516,,20201030,167,123.57142857143,,
md,deaths_7dav_incidence_num,20200516,,20201014,151,49,,
me,deaths_7dav_incidence_num,20200516,,20201030,167,0.85714285714286,,
mi,deaths_7dav_incidence_num,20200516,,20201030,167,50.142857142857,,
mn,deaths_7dav_incidence_num,20200516,,20201030,167,21.571428571429,,
mo,deaths_7dav_incidence_num,20200516,,20201030,167,13.857142857143,,
ms,deaths_7dav_incidence_num,20200516,,20201030,167,12.714285714286,,
mt,deaths_7dav_incidence_num,20200516,,20201014,151,0,,
nc,deaths_7dav_incidence_num,20200516,,20201030,167,17.857142857143,,
nd,deaths_7dav_incidence_num,20200516,,20201014,151,1,,
ne,deaths_7dav_incidence_num,20200516,,20201030,167,4.7142857142857,,
nh,deaths_7dav_incidence_num,20200516,,20201030,167,5.7142857142857,,
nj,deaths_7dav_incidence_num,20200516,,20201030,167,172.57142857143,,
nm,deaths_7dav_incidence_num,20200516,,20201030,167,9.7142857142857,,
nv,deaths_7dav_incidence_num,20200516,,20201030,167,4.8571428571429,,
ny,deaths_7dav_incidence_num,20200516,,20201030,167,198.71428571429,,
oh,deaths_7dav_incidence_num,20200516,,20201030,167,39.857142857143,,
ok,deaths_7dav_incidence_num,20200516,,20201030,167,2.5714285714286,,
or,deaths_7dav_incidence_num,20200516,,20201030,167,1.4285714285714,,
pa,deaths_7dav_incidence_num,20200516,,20201030,167,100.14285714286,,
pr,deaths_7dav_incidence_num,20200516,,20201014,151,2,,
ri,deaths_7dav_incidence_num,20200516,,20201030,167,9.7142857142857,,
sc,deaths_7dav_incidence_num,20200516,,20201030,167,7.1428571428571,,
sd,deaths_7dav_incidence_num,20200516,,20201030,167,1.4285714285714,,
tn,deaths_7dav_incidence_num,20200516,,20201030,167,7.5714285714286,,
tx,deaths_7dav_incidence_num,20200516,,20201030,167,35.857142857143,,
ut,deaths_7dav_incidence_num,20200516,,20201030,167,1.7142857142857,,
va,deaths_7dav_incidence_num,20200516,,20201030,167,25.142857142857,,
vt,deaths_7dav_incidence_num,20200516,,20201014,151,0,,
wa,deaths_7dav_incidence_num,20200516,,20201030,167,11.142857142857,,
wi,deaths_7dav_incidence_num,20200516,,20201030,167,7.8571428571429,,
wv,deaths_7dav_incidence_num,20200516,,20201030,167,1.7142857142857,,
wy,deaths_7dav_incidence_num,20200516,,20201014,151,0,,
