geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200622,,20201030,130,19.142857142857,,
al,confirmed_7dav_incidence_num,20200622,,20201030,130,597.42857142857,,
ar,confirmed_7dav_incidence_num,20200622,,20201030,130,452.28571428571,,
az,confirmed_7dav_incidence_num,20200622,,20201030,130,2536.4285714286,,
ca,confirmed_7dav_incidence_num,20200622,,20201030,130,4148.4285714286,,
co,confirmed_7dav_incidence_num,20200622,,20201104,135,200.85714285714,,
ct,confirmed_7dav_incidence_num,20200622,,20201030,130,78.142857142857,,
dc,confirmed_7dav_incidence_num,20200622,,20201014,114,37,,
de,confirmed_7dav_incidence_num,20200622,,20201030,130,68.571428571429,,
fl,confirmed_7dav_incidence_num,20200622,,20201030,130,3270.1428571429,,
ga,confirmed_7dav_incidence_num,20200622,,20201030,130,1073.4285714286,,
hi,confirmed_7dav_incidence_num,20200622,,20201030,130,11.428571428571,,
ia,confirmed_7dav_incidence_num,20200622,,20201030,130,294.85714285714,,
id,confirmed_7dav_incidence_num,20200622,,20201030,130,122.42857142857,,
il,confirmed_7dav_incidence_num,20200622,,20201030,130,601.14285714286,,
in,confirmed_7dav_incidence_num,20200622,,20201030,130,314.71428571429,,
ks,confirmed_7dav_incidence_num,20200622,,20201030,130,158.42857142857,,
ky,confirmed_7dav_incidence_num,20200622,,20201030,130,170.28571428571,,
la,confirmed_7dav_incidence_num,20200622,,20201030,130,438.14285714286,,
ma,confirmed_7dav_incidence_num,20200622,,20201030,130,188.57142857143,,
md,confirmed_7dav_incidence_num,20200622,,20201030,130,367.28571428571,,
me,confirmed_7dav_incidence_num,20200622,,20201014,114,23,,
mi,confirmed_7dav_incidence_num,20200622,,20201030,130,263.28571428571,,
mn,confirmed_7dav_incidence_num,20200622,,20201014,114,362,,
mo,confirmed_7dav_incidence_num,20200622,,20201030,130,283.14285714286,,
ms,confirmed_7dav_incidence_num,20200622,,20201030,130,361.42857142857,,
mt,confirmed_7dav_incidence_num,20200622,,20201030,130,17.857142857143,,
nc,confirmed_7dav_incidence_num,20200622,,20201030,130,1258.4285714286,,
nd,confirmed_7dav_incidence_num,20200622,,20201030,130,30.285714285714,,
ne,confirmed_7dav_incidence_num,20200622,,20201030,130,158.85714285714,,
nh,confirmed_7dav_incidence_num,20200622,,20201030,130,30.428571428571,,
nj,confirmed_7dav_incidence_num,20200622,,20201030,130,330.28571428571,,
nm,confirmed_7dav_incidence_num,20200622,,20201030,130,121.28571428571,,
nv,confirmed_7dav_incidence_num,20200622,,20201030,130,316.14285714286,,
ny,confirmed_7dav_incidence_num,20200622,,20201030,130,649.14285714286,,
oh,confirmed_7dav_incidence_num,20200622,,20201030,130,565.85714285714,,
ok,confirmed_7dav_incidence_num,20200622,,20201014,114,331,,
or,confirmed_7dav_incidence_num,20200622,,20201030,130,180.42857142857,,
pa,confirmed_7dav_incidence_num,20200622,,20201030,130,426.71428571429,,
pr,confirmed_7dav_incidence_num,20200622,,20201110,141,9,,
ri,confirmed_7dav_incidence_num,20200622,,20201030,130,52.285714285714,,
sc,confirmed_7dav_incidence_num,20200622,,20201030,130,898.28571428571,,
sd,confirmed_7dav_incidence_num,20200622,,20201030,130,55.428571428571,,
tn,confirmed_7dav_incidence_num,20200622,,20201030,130,649.85714285714,,
tx,confirmed_7dav_incidence_num,20200622,,20201030,130,3939.8571428571,,
ut,confirmed_7dav_incidence_num,20200622,,20201030,130,471.14285714286,,
va,confirmed_7dav_incidence_num,20200622,,20201030,130,511.28571428571,,
vt,confirmed_7dav_incidence_num,20200622,,20201014,114,5,,
wa,confirmed_7dav_incidence_num,20200622,,20201030,130,387.42857142857,,
wi,confirmed_7dav_incidence_num,20200622,,20201030,130,305.14285714286,,
wv,confirmed_7dav_incidence_num,20200622,,20201030,130,32.857142857143,,
wy,confirmed_7dav_incidence_num,20200622,,20201030,130,21.571428571429,,
