geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200630,,20201030,122,0.28571428571429,,
al,deaths_7dav_incidence_num,20200630,,20201030,122,12.285714285714,,
ar,deaths_7dav_incidence_num,20200630,,20201030,122,4.7142857142857,,
az,deaths_7dav_incidence_num,20200630,,20201030,122,35.571428571429,,
ca,deaths_7dav_incidence_num,20200630,,20201030,122,65.142857142857,,
co,deaths_7dav_incidence_num,20200630,,20201030,122,3.5714285714286,,
ct,deaths_7dav_incidence_num,20200630,,20201030,122,6.4285714285714,,
dc,deaths_7dav_incidence_num,20200630,,20201014,106,2,,
de,deaths_7dav_incidence_num,20200630,,20201030,122,0.71428571428571,,
fl,deaths_7dav_incidence_num,20200630,,20201030,122,38.142857142857,,
ga,deaths_7dav_incidence_num,20200630,,20201030,122,15.714285714286,,
hi,deaths_7dav_incidence_num,20200630,,20201030,122,0.14285714285714,,
ia,deaths_7dav_incidence_num,20200630,,20201030,122,3.8571428571429,,
id,deaths_7dav_incidence_num,20200630,,20201030,122,0.42857142857143,,
il,deaths_7dav_incidence_num,20200630,,20201030,122,30.857142857143,,
in,deaths_7dav_incidence_num,20200630,,20201030,122,10.142857142857,,
ks,deaths_7dav_incidence_num,20200630,,20201030,122,1.8571428571429,,
ky,deaths_7dav_incidence_num,20200630,,20201014,106,4,,
la,deaths_7dav_incidence_num,20200630,,20201030,122,12.428571428571,,
ma,deaths_7dav_incidence_num,20200630,,20201030,122,23.428571428571,,
md,deaths_7dav_incidence_num,20200630,,20201014,106,14,,
me,deaths_7dav_incidence_num,20200630,,20201030,122,0.42857142857143,,
mi,deaths_7dav_incidence_num,20200630,,20201014,106,12,,
mn,deaths_7dav_incidence_num,20200630,,20201030,122,7.2857142857143,,
mo,deaths_7dav_incidence_num,20200630,,20201030,122,4.4285714285714,,
ms,deaths_7dav_incidence_num,20200630,,20201014,106,12,,
mt,deaths_7dav_incidence_num,20200630,,20201030,122,0.14285714285714,,
nc,deaths_7dav_incidence_num,20200630,,20201014,106,12,,
nd,deaths_7dav_incidence_num,20200630,,20201030,122,0.14285714285714,,
ne,deaths_7dav_incidence_num,20200630,,20201030,122,2.5714285714286,,
nh,deaths_7dav_incidence_num,20200630,,20201014,106,4,,
nj,deaths_7dav_incidence_num,20200630,,20201030,122,20.285714285714,,
nm,deaths_7dav_incidence_num,20200630,,20201014,106,3,,
nv,deaths_7dav_incidence_num,20200630,,20201030,122,2.1428571428571,,
ny,deaths_7dav_incidence_num,20200630,,20201030,122,16.857142857143,,
oh,deaths_7dav_incidence_num,20200630,,20201030,122,18.285714285714,,
ok,deaths_7dav_incidence_num,20200630,,20201030,122,2.2857142857143,,
or,deaths_7dav_incidence_num,20200630,,20201030,122,2.1428571428571,,
pa,deaths_7dav_incidence_num,20200630,,20201030,122,26.428571428571,,
pr,deaths_7dav_incidence_num,20200630,,20201030,122,0.57142857142857,,
ri,deaths_7dav_incidence_num,20200630,,20201030,122,10.285714285714,,
sc,deaths_7dav_incidence_num,20200630,,20201030,122,9.4285714285714,,
sd,deaths_7dav_incidence_num,20200630,,20201030,122,1.1428571428571,,
tn,deaths_7dav_incidence_num,20200630,,20201030,122,8.8571428571429,,
tx,deaths_7dav_incidence_num,20200630,,20201014,106,41,,
ut,deaths_7dav_incidence_num,20200630,,20201030,122,1.2857142857143,,
va,deaths_7dav_incidence_num,20200630,,20201030,122,16.857142857143,,
vt,deaths_7dav_incidence_num,20200630,,20201014,106,0,,
wa,deaths_7dav_incidence_num,20200630,,20201030,122,6.8571428571429,,
wi,deaths_7dav_incidence_num,20200630,,20201030,122,4.8571428571429,,
wv,deaths_7dav_incidence_num,20200630,,20201030,122,0.14285714285714,,
wy,deaths_7dav_incidence_num,20200630,,20201014,106,0,,
