geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200410,,20201030,203,12.571428571429,,
al,confirmed_7dav_incidence_num,20200410,,20201030,203,207.42857142857,,
ar,confirmed_7dav_incidence_num,20200410,,20201030,203,66.714285714286,,
az,confirmed_7dav_incidence_num,20200410,,20201030,203,191.85714285714,,
ca,confirmed_7dav_incidence_num,20200410,,20201014,187,1295,,
co,confirmed_7dav_incidence_num,20200410,,20201030,203,334.28571428571,,
ct,confirmed_7dav_incidence_num,20200410,,20201030,203,803.42857142857,,
dc,confirmed_7dav_incidence_num,20200410,,20201014,187,129,,
de,confirmed_7dav_incidence_num,20200410,,20201030,203,125.14285714286,,
fl,confirmed_7dav_incidence_num,20200410,,20201030,203,1037.5714285714,,
ga,confirmed_7dav_incidence_num,20200410,,20201030,203,807.71428571429,,
hi,confirmed_7dav_incidence_num,20200410,,20201030,203,17.571428571429,,
ia,confirmed_7dav_incidence_num,20200410,,20201030,203,98.428571428571,,
id,confirmed_7dav_incidence_num,20200410,,20201030,203,66.142857142857,,
il,confirmed_7dav_incidence_num,20200410,,20201030,203,1283.2857142857,,
in,confirmed_7dav_incidence_num,20200410,,20201030,203,495.71428571429,,
ks,confirmed_7dav_incidence_num,20200410,,20201030,203,69.714285714286,,
ky,confirmed_7dav_incidence_num,20200410,,20201030,203,131.85714285714,,
la,confirmed_7dav_incidence_num,20200410,,20201030,203,1279.4285714286,,
ma,confirmed_7dav_incidence_num,20200410,,20201030,203,1715.5714285714,,
md,confirmed_7dav_incidence_num,20200410,,20201030,203,601.42857142857,,
me,confirmed_7dav_incidence_num,20200410,,20201014,187,22,,
mi,confirmed_7dav_incidence_num,20200410,,20201030,203,1436.8571428571,,
mn,confirmed_7dav_incidence_num,20200410,,20201030,203,78.285714285714,,
mo,confirmed_7dav_incidence_num,20200410,,20201030,203,289.28571428571,,
ms,confirmed_7dav_incidence_num,20200410,,20201030,203,158.71428571429,,
mt,confirmed_7dav_incidence_num,20200410,,20201030,203,17.428571428571,,
nc,confirmed_7dav_incidence_num,20200410,,20201030,203,264.28571428571,,
nd,confirmed_7dav_incidence_num,20200410,,20201014,187,15,,
ne,confirmed_7dav_incidence_num,20200410,,20201030,203,50.857142857143,,
nh,confirmed_7dav_incidence_num,20200410,,20201030,203,48.571428571429,,
nj,confirmed_7dav_incidence_num,20200410,,20201030,203,3527.5714285714,,
nm,confirmed_7dav_incidence_num,20200410,,20201030,203,84.428571428571,,
nv,confirmed_7dav_incidence_num,20200410,,20201030,203,172.57142857143,,
ny,confirmed_7dav_incidence_num,20200410,,20201030,203,9908.7142857143,,
oh,confirmed_7dav_incidence_num,20200410,,20201030,203,366.57142857143,,
ok,confirmed_7dav_incidence_num,20200410,,20201030,203,114.85714285714,,
or,confirmed_7dav_incidence_num,20200410,,20201030,203,60.428571428571,,
pa,confirmed_7dav_incidence_num,20200410,,20201030,203,1640.1428571429,,
pr,confirmed_7dav_incidence_num,20200410,,20201030,203,58.428571428571,,
ri,confirmed_7dav_incidence_num,20200410,,20201030,203,145.14285714286,,
sc,confirmed_7dav_incidence_num,20200410,,20201030,203,195.28571428571,,
sd,confirmed_7dav_incidence_num,20200410,,20201030,203,49.714285714286,,
tn,confirmed_7dav_incidence_num,20200410,,20201030,203,260.57142857143,,
tx,confirmed_7dav_incidence_num,20200410,,20201030,203,910.14285714286,,
ut,confirmed_7dav_incidence_num,20200410,,20201030,203,122.14285714286,,
va,confirmed_7dav_incidence_num,20200410,,20201030,203,356.71428571429,,
vt,confirmed_7dav_incidence_num,20200410,,20201030,203,41.428571428571,,
wa,confirmed_7dav_incidence_num,20200410,,20201030,203,467.57142857143,,
wi,confirmed_7dav_incidence_num,20200410,,20201030,203,150.85714285714,,
wv,confirmed_7dav_incidence_num,20200410,,20201030,203,48.142857142857,,
wy,confirmed_7dav_incidence_num,20200410,,20201014,187,11,,
