geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200814,,20201030,77,0.28571428571429,,
al,deaths_7dav_incidence_num,20200814,,20201030,77,22.571428571429,,
ar,deaths_7dav_incidence_num,20200814,,20201030,77,9.4285714285714,,
az,deaths_7dav_incidence_num,20200814,,20201030,77,48.857142857143,,
ca,deaths_7dav_incidence_num,20200814,,20201014,61,145,,
co,deaths_7dav_incidence_num,20200814,,20201030,77,4.4285714285714,,
ct,deaths_7dav_incidence_num,20200814,,20201030,77,1.7142857142857,,
dc,deaths_7dav_incidence_num,20200814,,20201030,77,0.71428571428571,,
de,deaths_7dav_incidence_num,20200814,,20201030,77,0.71428571428571,,
fl,deaths_7dav_incidence_num,20200814,,20201030,77,173.42857142857,,
ga,deaths_7dav_incidence_num,20200814,,20201030,77,65.142857142857,,
hi,deaths_7dav_incidence_num,20200814,,20201030,77,1.2857142857143,,
ia,deaths_7dav_incidence_num,20200814,,20201030,77,7.8571428571429,,
id,deaths_7dav_incidence_num,20200814,,20201030,77,5.1428571428571,,
il,deaths_7dav_incidence_num,20200814,,20201030,77,15.714285714286,,
in,deaths_7dav_incidence_num,20200814,,20201030,77,12.857142857143,,
ks,deaths_7dav_incidence_num,20200814,,20201030,77,3.5714285714286,,
ky,deaths_7dav_incidence_num,20200814,,20201030,77,5.7142857142857,,
la,deaths_7dav_incidence_num,20200814,,20201030,77,31.857142857143,,
ma,deaths_7dav_incidence_num,20200814,,20201030,77,14.428571428571,,
md,deaths_7dav_incidence_num,20200814,,20201030,77,9.4285714285714,,
me,deaths_7dav_incidence_num,20200814,,20201030,77,0.28571428571429,,
mi,deaths_7dav_incidence_num,20200814,,20201014,61,6,,
mn,deaths_7dav_incidence_num,20200814,,20201030,77,8.2857142857143,,
mo,deaths_7dav_incidence_num,20200814,,20201030,77,5.8571428571429,,
ms,deaths_7dav_incidence_num,20200814,,20201030,77,27.857142857143,,
mt,deaths_7dav_incidence_num,20200814,,20201030,77,1.5714285714286,,
nc,deaths_7dav_incidence_num,20200814,,20201030,77,21.857142857143,,
nd,deaths_7dav_incidence_num,20200814,,20201030,77,1.5714285714286,,
ne,deaths_7dav_incidence_num,20200814,,20201030,77,2.2857142857143,,
nh,deaths_7dav_incidence_num,20200814,,20201030,77,0.57142857142857,,
nj,deaths_7dav_incidence_num,20200814,,20201030,77,7.7142857142857,,
nm,deaths_7dav_incidence_num,20200814,,20201014,61,4,,
nv,deaths_7dav_incidence_num,20200814,,20201030,77,17.857142857143,,
ny,deaths_7dav_incidence_num,20200814,,20201030,77,7.7142857142857,,
oh,deaths_7dav_incidence_num,20200814,,20201030,77,18.857142857143,,
ok,deaths_7dav_incidence_num,20200814,,20201030,77,6.2857142857143,,
or,deaths_7dav_incidence_num,20200814,,20201030,77,5.2857142857143,,
pa,deaths_7dav_incidence_num,20200814,,20201030,77,19.714285714286,,
pr,deaths_7dav_incidence_num,20200814,,20201030,77,7.4285714285714,,
ri,deaths_7dav_incidence_num,20200814,,20201030,77,0.71428571428571,,
sc,deaths_7dav_incidence_num,20200814,,20201030,77,34.571428571429,,
sd,deaths_7dav_incidence_num,20200814,,20201030,77,0.85714285714286,,
tn,deaths_7dav_incidence_num,20200814,,20201030,77,17.142857142857,,
tx,deaths_7dav_incidence_num,20200814,,20201030,77,175.85714285714,,
ut,deaths_7dav_incidence_num,20200814,,20201030,77,3.5714285714286,,
va,deaths_7dav_incidence_num,20200814,,20201030,77,7.5714285714286,,
vt,deaths_7dav_incidence_num,20200814,,20201014,61,0,,
wa,deaths_7dav_incidence_num,20200814,,20201030,77,11.857142857143,,
wi,deaths_7dav_incidence_num,20200814,,20201014,61,5,,
wv,deaths_7dav_incidence_num,20200814,,20201030,77,4.2857142857143,,
wy,deaths_7dav_incidence_num,20200814,,20201030,77,0.28571428571429,,
