geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200417,,20201030,196,9.2857142857143,,
al,confirmed_7dav_incidence_num,20200417,,20201014,180,232,,
ar,confirmed_7dav_incidence_num,20200417,,20201030,196,74.857142857143,,
az,confirmed_7dav_incidence_num,20200417,,20201030,196,199.85714285714,,
ca,confirmed_7dav_incidence_num,20200417,,20201030,196,1153.7142857143,,
co,confirmed_7dav_incidence_num,20200417,,20201014,180,362,,
ct,confirmed_7dav_incidence_num,20200417,,20201030,196,895.85714285714,,
dc,confirmed_7dav_incidence_num,20200417,,20201030,196,116.57142857143,,
de,confirmed_7dav_incidence_num,20200417,,20201030,196,141.57142857143,,
fl,confirmed_7dav_incidence_num,20200417,,20201030,196,1032.5714285714,,
ga,confirmed_7dav_incidence_num,20200417,,20201030,196,815.57142857143,,
hi,confirmed_7dav_incidence_num,20200417,,20201030,196,14.142857142857,,
ia,confirmed_7dav_incidence_num,20200417,,20201030,196,134.85714285714,,
id,confirmed_7dav_incidence_num,20200417,,20201030,196,36.428571428571,,
il,confirmed_7dav_incidence_num,20200417,,20201030,196,1384.4285714286,,
in,confirmed_7dav_incidence_num,20200417,,20201030,196,463.85714285714,,
ks,confirmed_7dav_incidence_num,20200417,,20201030,196,87.571428571429,,
ky,confirmed_7dav_incidence_num,20200417,,20201030,196,118.42857142857,,
la,confirmed_7dav_incidence_num,20200417,,20201030,196,552.14285714286,,
ma,confirmed_7dav_incidence_num,20200417,,20201030,196,2161.5714285714,,
md,confirmed_7dav_incidence_num,20200417,,20201030,196,657.71428571429,,
me,confirmed_7dav_incidence_num,20200417,,20201030,196,34.428571428571,,
mi,confirmed_7dav_incidence_num,20200417,,20201030,196,1055.4285714286,,
mn,confirmed_7dav_incidence_num,20200417,,20201030,196,104.85714285714,,
mo,confirmed_7dav_incidence_num,20200417,,20201030,196,195.85714285714,,
ms,confirmed_7dav_incidence_num,20200417,,20201030,196,189.14285714286,,
mt,confirmed_7dav_incidence_num,20200417,,20201030,196,8.1428571428571,,
nc,confirmed_7dav_incidence_num,20200417,,20201030,196,277.28571428571,,
nd,confirmed_7dav_incidence_num,20200417,,20201030,196,16.428571428571,,
ne,confirmed_7dav_incidence_num,20200417,,20201030,196,61.571428571429,,
nh,confirmed_7dav_incidence_num,20200417,,20201030,196,66.857142857143,,
nj,confirmed_7dav_incidence_num,20200417,,20201030,196,3411.2857142857,,
nm,confirmed_7dav_incidence_num,20200417,,20201030,196,73.714285714286,,
nv,confirmed_7dav_incidence_num,20200417,,20201030,196,114.57142857143,,
ny,confirmed_7dav_incidence_num,20200417,,20201030,196,8321.2857142857,,
oh,confirmed_7dav_incidence_num,20200417,,20201030,196,461.28571428571,,
ok,confirmed_7dav_incidence_num,20200417,,20201030,196,95.857142857143,,
or,confirmed_7dav_incidence_num,20200417,,20201030,196,66.142857142857,,
pa,confirmed_7dav_incidence_num,20200417,,20201030,196,1405.2857142857,,
pr,confirmed_7dav_incidence_num,20200417,,20201014,180,49,,
ri,confirmed_7dav_incidence_num,20200417,,20201014,180,350,,
sc,confirmed_7dav_incidence_num,20200417,,20201030,196,147.42857142857,,
sd,confirmed_7dav_incidence_num,20200417,,20201014,180,125,,
tn,confirmed_7dav_incidence_num,20200417,,20201014,180,196,,
tx,confirmed_7dav_incidence_num,20200417,,20201030,196,820.57142857143,,
ut,confirmed_7dav_incidence_num,20200417,,20201030,196,98.571428571429,,
va,confirmed_7dav_incidence_num,20200417,,20201014,180,426,,
vt,confirmed_7dav_incidence_num,20200417,,20201030,196,14.285714285714,,
wa,confirmed_7dav_incidence_num,20200417,,20201030,196,199.71428571429,,
wi,confirmed_7dav_incidence_num,20200417,,20201030,196,140.71428571429,,
wv,confirmed_7dav_incidence_num,20200417,,20201030,196,28.714285714286,,
wy,confirmed_7dav_incidence_num,20200417,,20201030,196,9.4285714285714,,
