geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200604,,20201030,148,16.428571428571,,
al,confirmed_7dav_incidence_num,20200604,,20201030,148,363.14285714286,,
ar,confirmed_7dav_incidence_num,20200604,,20201030,148,269.57142857143,,
az,confirmed_7dav_incidence_num,20200604,,20201030,148,715.57142857143,,
ca,confirmed_7dav_incidence_num,20200604,,20201030,148,2625.8571428571,,
co,confirmed_7dav_incidence_num,20200604,,20201030,148,319.85714285714,,
ct,confirmed_7dav_incidence_num,20200604,,20201014,132,240,,
dc,confirmed_7dav_incidence_num,20200604,,20201030,148,89.714285714286,,
de,confirmed_7dav_incidence_num,20200604,,20201030,148,82.142857142857,,
fl,confirmed_7dav_incidence_num,20200604,,20201030,148,985.42857142857,,
ga,confirmed_7dav_incidence_num,20200604,,20201030,148,656.14285714286,,
hi,confirmed_7dav_incidence_num,20200604,,20201030,148,1.1428571428571,,
ia,confirmed_7dav_incidence_num,20200604,,20201030,148,317.14285714286,,
id,confirmed_7dav_incidence_num,20200604,,20201030,148,31.428571428571,,
il,confirmed_7dav_incidence_num,20200604,,20201030,148,1275.1428571429,,
in,confirmed_7dav_incidence_num,20200604,,20201030,148,432.57142857143,,
ks,confirmed_7dav_incidence_num,20200604,,20201030,148,113.71428571429,,
ky,confirmed_7dav_incidence_num,20200604,,20201030,148,217.14285714286,,
la,confirmed_7dav_incidence_num,20200604,,20201030,148,394.28571428571,,
ma,confirmed_7dav_incidence_num,20200604,,20201030,148,401.57142857143,,
md,confirmed_7dav_incidence_num,20200604,,20201030,148,878.42857142857,,
me,confirmed_7dav_incidence_num,20200604,,20201030,148,36.714285714286,,
mi,confirmed_7dav_incidence_num,20200604,,20201030,148,352.85714285714,,
mn,confirmed_7dav_incidence_num,20200604,,20201030,148,475.14285714286,,
mo,confirmed_7dav_incidence_num,20200604,,20201030,148,214.71428571429,,
ms,confirmed_7dav_incidence_num,20200604,,20201030,148,312.57142857143,,
mt,confirmed_7dav_incidence_num,20200604,,20201030,148,7.7142857142857,,
nc,confirmed_7dav_incidence_num,20200604,,20201030,148,957.85714285714,,
nd,confirmed_7dav_incidence_num,20200604,,20201030,148,32.142857142857,,
ne,confirmed_7dav_incidence_num,20200604,,20201014,132,270,,
nh,confirmed_7dav_incidence_num,20200604,,20201030,148,69.571428571429,,
nj,confirmed_7dav_incidence_num,20200604,,20201030,148,763.57142857143,,
nm,confirmed_7dav_incidence_num,20200604,,20201030,148,141.28571428571,,
nv,confirmed_7dav_incidence_num,20200604,,20201030,148,125.85714285714,,
ny,confirmed_7dav_incidence_num,20200604,,20201014,132,1200,,
oh,confirmed_7dav_incidence_num,20200604,,20201014,132,481,,
ok,confirmed_7dav_incidence_num,20200604,,20201030,148,90.571428571429,,
or,confirmed_7dav_incidence_num,20200604,,20201030,148,55.428571428571,,
pa,confirmed_7dav_incidence_num,20200604,,20201030,148,587.85714285714,,
pr,confirmed_7dav_incidence_num,20200604,,20201110,159,6,,
ri,confirmed_7dav_incidence_num,20200604,,20201030,148,118.71428571429,,
sc,confirmed_7dav_incidence_num,20200604,,20201030,148,248.28571428571,,
sd,confirmed_7dav_incidence_num,20200604,,20201014,132,63,,
tn,confirmed_7dav_incidence_num,20200604,,20201030,148,501.57142857143,,
tx,confirmed_7dav_incidence_num,20200604,,20201030,148,1451.4285714286,,
ut,confirmed_7dav_incidence_num,20200604,,20201030,148,270.28571428571,,
va,confirmed_7dav_incidence_num,20200604,,20201030,148,922.14285714286,,
vt,confirmed_7dav_incidence_num,20200604,,20201030,148,7.4285714285714,,
wa,confirmed_7dav_incidence_num,20200604,,20201030,148,280.71428571429,,
wi,confirmed_7dav_incidence_num,20200604,,20201030,148,416.85714285714,,
wv,confirmed_7dav_incidence_num,20200604,,20201030,148,23.857142857143,,
wy,confirmed_7dav_incidence_num,20200604,,20201030,148,6.4285714285714,,
