geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200709,,20201030,113,0.42857142857143,,
al,deaths_7dav_incidence_num,20200709,,20201030,113,11.857142857143,,
ar,deaths_7dav_incidence_num,20200709,,20201030,113,4.2857142857143,,
az,deaths_7dav_incidence_num,20200709,,20201030,113,39.142857142857,,
ca,deaths_7dav_incidence_num,20200709,,20201030,113,84.857142857143,,
co,deaths_7dav_incidence_num,20200709,,20201030,113,0.71428571428571,,
ct,deaths_7dav_incidence_num,20200709,,20201030,113,3.1428571428571,,
dc,deaths_7dav_incidence_num,20200709,,20201014,97,2,,
de,deaths_7dav_incidence_num,20200709,,20201014,97,1,,
fl,deaths_7dav_incidence_num,20200709,,20201014,97,56,,
ga,deaths_7dav_incidence_num,20200709,,20201030,113,11.571428571429,,
hi,deaths_7dav_incidence_num,20200709,,20201030,113,0.14285714285714,,
ia,deaths_7dav_incidence_num,20200709,,20201030,113,3.1428571428571,,
id,deaths_7dav_incidence_num,20200709,,20201030,113,1.1428571428571,,
il,deaths_7dav_incidence_num,20200709,,20201030,113,48.857142857143,,
in,deaths_7dav_incidence_num,20200709,,20201014,97,11,,
ks,deaths_7dav_incidence_num,20200709,,20201030,113,1.8571428571429,,
ky,deaths_7dav_incidence_num,20200709,,20201030,113,4.4285714285714,,
la,deaths_7dav_incidence_num,20200709,,20201030,113,14.285714285714,,
ma,deaths_7dav_incidence_num,20200709,,20201030,113,19.428571428571,,
md,deaths_7dav_incidence_num,20200709,,20201030,113,10.857142857143,,
me,deaths_7dav_incidence_num,20200709,,20201030,113,0.85714285714286,,
mi,deaths_7dav_incidence_num,20200709,,20201030,113,8.4285714285714,,
mn,deaths_7dav_incidence_num,20200709,,20201030,113,4.7142857142857,,
mo,deaths_7dav_incidence_num,20200709,,20201030,113,4.1428571428571,,
ms,deaths_7dav_incidence_num,20200709,,20201014,97,16,,
mt,deaths_7dav_incidence_num,20200709,,20201030,113,0.42857142857143,,
nc,deaths_7dav_incidence_num,20200709,,20201030,113,9.7142857142857,,
nd,deaths_7dav_incidence_num,20200709,,20201030,113,0.71428571428571,,
ne,deaths_7dav_incidence_num,20200709,,20201030,113,0.28571428571429,,
nh,deaths_7dav_incidence_num,20200709,,20201030,113,1.7142857142857,,
nj,deaths_7dav_incidence_num,20200709,,20201030,113,48.714285714286,,
nm,deaths_7dav_incidence_num,20200709,,20201030,113,4.2857142857143,,
nv,deaths_7dav_incidence_num,20200709,,20201030,113,6.5714285714286,,
ny,deaths_7dav_incidence_num,20200709,,20201030,113,30.714285714286,,
oh,deaths_7dav_incidence_num,20200709,,20201030,113,14.714285714286,,
ok,deaths_7dav_incidence_num,20200709,,20201030,113,2.1428571428571,,
or,deaths_7dav_incidence_num,20200709,,20201014,97,3,,
pa,deaths_7dav_incidence_num,20200709,,20201030,113,19.428571428571,,
pr,deaths_7dav_incidence_num,20200709,,20201030,113,0.85714285714286,,
ri,deaths_7dav_incidence_num,20200709,,20201014,97,0,,
sc,deaths_7dav_incidence_num,20200709,,20201030,113,17.285714285714,,
sd,deaths_7dav_incidence_num,20200709,,20201030,113,0.57142857142857,,
tn,deaths_7dav_incidence_num,20200709,,20201030,113,12.857142857143,,
tx,deaths_7dav_incidence_num,20200709,,20201014,97,91,,
ut,deaths_7dav_incidence_num,20200709,,20201030,113,4.1428571428571,,
va,deaths_7dav_incidence_num,20200709,,20201030,113,17.285714285714,,
vt,deaths_7dav_incidence_num,20200709,,20201014,97,0,,
wa,deaths_7dav_incidence_num,20200709,,20201030,113,9.5714285714286,,
wi,deaths_7dav_incidence_num,20200709,,20201030,113,2.2857142857143,,
wv,deaths_7dav_incidence_num,20200709,,20201030,113,0.28571428571429,,
wy,deaths_7dav_incidence_num,20200709,,20201030,113,0.14285714285714,,
