geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200421,,20201030,192,6.4285714285714,,
al,confirmed_7dav_incidence_num,20200421,,20201030,192,194.85714285714,,
ar,confirmed_7dav_incidence_num,20200421,,20201030,192,70.285714285714,,
az,confirmed_7dav_incidence_num,20200421,,20201030,192,206.71428571429,,
ca,confirmed_7dav_incidence_num,20200421,,20201030,192,1441.5714285714,,
co,confirmed_7dav_incidence_num,20200421,,20201030,192,360.42857142857,,
ct,confirmed_7dav_incidence_num,20200421,,20201030,192,910.14285714286,,
dc,confirmed_7dav_incidence_num,20200421,,20201030,192,148.57142857143,,
de,confirmed_7dav_incidence_num,20200421,,20201030,192,143.57142857143,,
fl,confirmed_7dav_incidence_num,20200421,,20201030,192,891.57142857143,,
ga,confirmed_7dav_incidence_num,20200421,,20201030,192,757.57142857143,,
hi,confirmed_7dav_incidence_num,20200421,,20201030,192,10.714285714286,,
ia,confirmed_7dav_incidence_num,20200421,,20201030,192,248.85714285714,,
id,confirmed_7dav_incidence_num,20200421,,20201030,192,38.857142857143,,
il,confirmed_7dav_incidence_num,20200421,,20201030,192,1401.5714285714,,
in,confirmed_7dav_incidence_num,20200421,,20201014,176,510,,
ks,confirmed_7dav_incidence_num,20200421,,20201030,192,103.28571428571,,
ky,confirmed_7dav_incidence_num,20200421,,20201030,192,165.14285714286,,
la,confirmed_7dav_incidence_num,20200421,,20201030,192,476.57142857143,,
ma,confirmed_7dav_incidence_num,20200421,,20201030,192,2209.1428571429,,
md,confirmed_7dav_incidence_num,20200421,,20201030,192,674.42857142857,,
me,confirmed_7dav_incidence_num,20200421,,20201030,192,21.857142857143,,
mi,confirmed_7dav_incidence_num,20200421,,20201030,192,826.57142857143,,
mn,confirmed_7dav_incidence_num,20200421,,20201030,192,124.57142857143,,
mo,confirmed_7dav_incidence_num,20200421,,20201030,192,194.57142857143,,
ms,confirmed_7dav_incidence_num,20200421,,20201030,192,232.71428571429,,
mt,confirmed_7dav_incidence_num,20200421,,20201030,192,5.4285714285714,,
nc,confirmed_7dav_incidence_num,20200421,,20201030,192,305.14285714286,,
nd,confirmed_7dav_incidence_num,20200421,,20201030,192,43.285714285714,,
ne,confirmed_7dav_incidence_num,20200421,,20201030,192,112.57142857143,,
nh,confirmed_7dav_incidence_num,20200421,,20201030,192,81.142857142857,,
nj,confirmed_7dav_incidence_num,20200421,,20201030,192,3366.1428571429,,
nm,confirmed_7dav_incidence_num,20200421,,20201030,192,89.428571428571,,
nv,confirmed_7dav_incidence_num,20200421,,20201030,192,114.71428571429,,
ny,confirmed_7dav_incidence_num,20200421,,20201030,192,7210.8571428571,,
oh,confirmed_7dav_incidence_num,20200421,,20201014,176,920,,
ok,confirmed_7dav_incidence_num,20200421,,20201014,176,89,,
or,confirmed_7dav_incidence_num,20200421,,20201014,176,53,,
pa,confirmed_7dav_incidence_num,20200421,,20201030,192,1397.7142857143,,
pr,confirmed_7dav_incidence_num,20200421,,20201030,192,53.571428571429,,
ri,confirmed_7dav_incidence_num,20200421,,20201030,192,321.28571428571,,
sc,confirmed_7dav_incidence_num,20200421,,20201030,192,126.57142857143,,
sd,confirmed_7dav_incidence_num,20200421,,20201030,192,109.57142857143,,
tn,confirmed_7dav_incidence_num,20200421,,20201030,192,223.85714285714,,
tx,confirmed_7dav_incidence_num,20200421,,20201030,192,808.28571428571,,
ut,confirmed_7dav_incidence_num,20200421,,20201030,192,125.71428571429,,
va,confirmed_7dav_incidence_num,20200421,,20201030,192,492.57142857143,,
vt,confirmed_7dav_incidence_num,20200421,,20201030,192,9.4285714285714,,
wa,confirmed_7dav_incidence_num,20200421,,20201030,192,227.57142857143,,
wi,confirmed_7dav_incidence_num,20200421,,20201030,192,152.85714285714,,
wv,confirmed_7dav_incidence_num,20200421,,20201030,192,38.285714285714,,
wy,confirmed_7dav_incidence_num,20200421,,20201014,176,23,,
