geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200508,,20201030,175,2,,
al,confirmed_7dav_incidence_num,20200508,,20201030,175,298.71428571429,,
ar,confirmed_7dav_incidence_num,20200508,,20201030,175,58.571428571429,,
az,confirmed_7dav_incidence_num,20200508,,20201030,175,365.28571428571,,
ca,confirmed_7dav_incidence_num,20200508,,20201014,159,1682,,
co,confirmed_7dav_incidence_num,20200508,,20201030,175,433.42857142857,,
ct,confirmed_7dav_incidence_num,20200508,,20201014,159,521,,
dc,confirmed_7dav_incidence_num,20200508,,20201030,175,177.28571428571,,
de,confirmed_7dav_incidence_num,20200508,,20201030,175,170.42857142857,,
fl,confirmed_7dav_incidence_num,20200508,,20201030,175,638.71428571429,,
ga,confirmed_7dav_incidence_num,20200508,,20201030,175,670.28571428571,,
hi,confirmed_7dav_incidence_num,20200508,,20201030,175,1.4285714285714,,
ia,confirmed_7dav_incidence_num,20200508,,20201030,175,510.42857142857,,
id,confirmed_7dav_incidence_num,20200508,,20201030,175,23.285714285714,,
il,confirmed_7dav_incidence_num,20200508,,20201030,175,2529.2857142857,,
in,confirmed_7dav_incidence_num,20200508,,20201030,175,645.14285714286,,
ks,confirmed_7dav_incidence_num,20200508,,20201030,175,290.42857142857,,
ky,confirmed_7dav_incidence_num,20200508,,20201030,175,200.85714285714,,
la,confirmed_7dav_incidence_num,20200508,,20201030,175,306.28571428571,,
ma,confirmed_7dav_incidence_num,20200508,,20201030,175,1462.4285714286,,
md,confirmed_7dav_incidence_num,20200508,,20201030,175,1001.8571428571,,
me,confirmed_7dav_incidence_num,20200508,,20201030,175,35.857142857143,,
mi,confirmed_7dav_incidence_num,20200508,,20201030,175,580.42857142857,,
mn,confirmed_7dav_incidence_num,20200508,,20201030,175,622.57142857143,,
mo,confirmed_7dav_incidence_num,20200508,,20201030,175,234.14285714286,,
ms,confirmed_7dav_incidence_num,20200508,,20201030,175,268.28571428571,,
mt,confirmed_7dav_incidence_num,20200508,,20201030,175,0.71428571428571,,
nc,confirmed_7dav_incidence_num,20200508,,20201030,175,418.71428571429,,
nd,confirmed_7dav_incidence_num,20200508,,20201030,175,45.428571428571,,
ne,confirmed_7dav_incidence_num,20200508,,20201030,175,401.42857142857,,
nh,confirmed_7dav_incidence_num,20200508,,20201014,159,91,,
nj,confirmed_7dav_incidence_num,20200508,,20201030,175,2092.8571428571,,
nm,confirmed_7dav_incidence_num,20200508,,20201030,175,165.71428571429,,
nv,confirmed_7dav_incidence_num,20200508,,20201014,159,96,,
ny,confirmed_7dav_incidence_num,20200508,,20201030,175,3156.1428571429,,
oh,confirmed_7dav_incidence_num,20200508,,20201030,175,610.42857142857,,
ok,confirmed_7dav_incidence_num,20200508,,20201030,175,96.571428571429,,
or,confirmed_7dav_incidence_num,20200508,,20201030,175,69.857142857143,,
pa,confirmed_7dav_incidence_num,20200508,,20201030,175,1113.1428571429,,
pr,confirmed_7dav_incidence_num,20200508,,20201110,186,9.1428571428571,,
ri,confirmed_7dav_incidence_num,20200508,,20201030,175,259.57142857143,,
sc,confirmed_7dav_incidence_num,20200508,,20201030,175,158.42857142857,,
sd,confirmed_7dav_incidence_num,20200508,,20201030,175,88.571428571429,,
tn,confirmed_7dav_incidence_num,20200508,,20201030,175,364.28571428571,,
tx,confirmed_7dav_incidence_num,20200508,,20201030,175,1079.1428571429,,
ut,confirmed_7dav_incidence_num,20200508,,20201030,175,155.85714285714,,
va,confirmed_7dav_incidence_num,20200508,,20201030,175,777.14285714286,,
vt,confirmed_7dav_incidence_num,20200508,,20201030,175,5.7142857142857,,
wa,confirmed_7dav_incidence_num,20200508,,20201030,175,250.14285714286,,
wi,confirmed_7dav_incidence_num,20200508,,20201030,175,325.14285714286,,
wv,confirmed_7dav_incidence_num,20200508,,20201030,175,24.428571428571,,
wy,confirmed_7dav_incidence_num,20200508,,20201030,175,11.142857142857,,
