geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200505,,20201014,162,0,,
al,deaths_7dav_incidence_num,20200505,,20201030,178,10.428571428571,,
ar,deaths_7dav_incidence_num,20200505,,20201030,178,3.7142857142857,,
az,deaths_7dav_incidence_num,20200505,,20201030,178,17.142857142857,,
ca,deaths_7dav_incidence_num,20200505,,20201030,178,73.857142857143,,
co,deaths_7dav_incidence_num,20200505,,20201030,178,23.857142857143,,
ct,deaths_7dav_incidence_num,20200505,,20201014,162,78,,
dc,deaths_7dav_incidence_num,20200505,,20201030,178,10.571428571429,,
de,deaths_7dav_incidence_num,20200505,,20201030,178,7.1428571428571,,
fl,deaths_7dav_incidence_num,20200505,,20201030,178,42.857142857143,,
ga,deaths_7dav_incidence_num,20200505,,20201030,178,37.571428571429,,
hi,deaths_7dav_incidence_num,20200505,,20201030,178,0.14285714285714,,
ia,deaths_7dav_incidence_num,20200505,,20201030,178,10.142857142857,,
id,deaths_7dav_incidence_num,20200505,,20201030,178,0.71428571428571,,
il,deaths_7dav_incidence_num,20200505,,20201030,178,101.28571428571,,
in,deaths_7dav_incidence_num,20200505,,20201030,178,60.714285714286,,
ks,deaths_7dav_incidence_num,20200505,,20201030,178,4.8571428571429,,
ky,deaths_7dav_incidence_num,20200505,,20201030,178,7.1428571428571,,
la,deaths_7dav_incidence_num,20200505,,20201030,178,44.857142857143,,
ma,deaths_7dav_incidence_num,20200505,,20201030,178,151.28571428571,,
md,deaths_7dav_incidence_num,20200505,,20201030,178,53.428571428571,,
me,deaths_7dav_incidence_num,20200505,,20201030,178,1.4285714285714,,
mi,deaths_7dav_incidence_num,20200505,,20201030,178,87.714285714286,,
mn,deaths_7dav_incidence_num,20200505,,20201014,162,22,,
mo,deaths_7dav_incidence_num,20200505,,20201030,178,16.428571428571,,
ms,deaths_7dav_incidence_num,20200505,,20201030,178,14.714285714286,,
mt,deaths_7dav_incidence_num,20200505,,20201030,178,0.14285714285714,,
nc,deaths_7dav_incidence_num,20200505,,20201030,178,15.571428571429,,
nd,deaths_7dav_incidence_num,20200505,,20201030,178,0.85714285714286,,
ne,deaths_7dav_incidence_num,20200505,,20201030,178,3.1428571428571,,
nh,deaths_7dav_incidence_num,20200505,,20201030,178,4.5714285714286,,
nj,deaths_7dav_incidence_num,20200505,,20201030,178,279.85714285714,,
nm,deaths_7dav_incidence_num,20200505,,20201030,178,8.1428571428571,,
nv,deaths_7dav_incidence_num,20200505,,20201030,178,7.2857142857143,,
ny,deaths_7dav_incidence_num,20200505,,20201030,178,341.85714285714,,
oh,deaths_7dav_incidence_num,20200505,,20201014,162,48,,
ok,deaths_7dav_incidence_num,20200505,,20201030,178,5.7142857142857,,
or,deaths_7dav_incidence_num,20200505,,20201014,162,2,,
pa,deaths_7dav_incidence_num,20200505,,20201030,178,161.85714285714,,
pr,deaths_7dav_incidence_num,20200505,,20201030,178,1.8571428571429,,
ri,deaths_7dav_incidence_num,20200505,,20201030,178,19.571428571429,,
sc,deaths_7dav_incidence_num,20200505,,20201030,178,14.857142857143,,
sd,deaths_7dav_incidence_num,20200505,,20201030,178,1.8571428571429,,
tn,deaths_7dav_incidence_num,20200505,,20201030,178,5.4285714285714,,
tx,deaths_7dav_incidence_num,20200505,,20201030,178,27.857142857143,,
ut,deaths_7dav_incidence_num,20200505,,20201030,178,2.1428571428571,,
va,deaths_7dav_incidence_num,20200505,,20201030,178,31.571428571429,,
vt,deaths_7dav_incidence_num,20200505,,20201030,178,0.71428571428571,,
wa,deaths_7dav_incidence_num,20200505,,20201030,178,10.857142857143,,
wi,deaths_7dav_incidence_num,20200505,,20201030,178,7.5714285714286,,
wv,deaths_7dav_incidence_num,20200505,,20201030,178,1.4285714285714,,
wy,deaths_7dav_incidence_num,20200505,,20201014,162,0,,
