geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200405,,20201030,208,0.57142857142857,,
al,deaths_7dav_incidence_num,20200405,,20201014,192,5,,
ar,deaths_7dav_incidence_num,20200405,,20201030,208,1.4285714285714,,
az,deaths_7dav_incidence_num,20200405,,20201030,208,6.7142857142857,,
ca,deaths_7dav_incidence_num,20200405,,20201014,192,32,,
co,deaths_7dav_incidence_num,20200405,,20201030,208,13.285714285714,,
ct,deaths_7dav_incidence_num,20200405,,20201030,208,22.142857142857,,
dc,deaths_7dav_incidence_num,20200405,,20201030,208,2.4285714285714,,
de,deaths_7dav_incidence_num,20200405,,20201030,208,1.1428571428571,,
fl,deaths_7dav_incidence_num,20200405,,20201030,208,23.571428571429,,
ga,deaths_7dav_incidence_num,20200405,,20201030,208,18.714285714286,,
hi,deaths_7dav_incidence_num,20200405,,20201030,208,0.57142857142857,,
ia,deaths_7dav_incidence_num,20200405,,20201014,192,2,,
id,deaths_7dav_incidence_num,20200405,,20201030,208,0.71428571428571,,
il,deaths_7dav_incidence_num,20200405,,20201030,208,29.714285714286,,
in,deaths_7dav_incidence_num,20200405,,20201030,208,13.571428571429,,
ks,deaths_7dav_incidence_num,20200405,,20201030,208,2.1428571428571,,
ky,deaths_7dav_incidence_num,20200405,,20201030,208,5.1428571428571,,
la,deaths_7dav_incidence_num,20200405,,20201030,208,46.571428571429,,
ma,deaths_7dav_incidence_num,20200405,,20201030,208,26.142857142857,,
md,deaths_7dav_incidence_num,20200405,,20201030,208,8.1428571428571,,
me,deaths_7dav_incidence_num,20200405,,20201014,192,1,,
mi,deaths_7dav_incidence_num,20200405,,20201014,192,74,,
mn,deaths_7dav_incidence_num,20200405,,20201030,208,2.8571428571429,,
mo,deaths_7dav_incidence_num,20200405,,20201030,208,6.8571428571429,,
ms,deaths_7dav_incidence_num,20200405,,20201030,208,4.1428571428571,,
mt,deaths_7dav_incidence_num,20200405,,20201030,208,0.71428571428571,,
nc,deaths_7dav_incidence_num,20200405,,20201030,208,4.4285714285714,,
nd,deaths_7dav_incidence_num,20200405,,20201030,208,0.28571428571429,,
ne,deaths_7dav_incidence_num,20200405,,20201030,208,0.85714285714286,,
nh,deaths_7dav_incidence_num,20200405,,20201014,192,1,,
nj,deaths_7dav_incidence_num,20200405,,20201014,192,138,,
nm,deaths_7dav_incidence_num,20200405,,20201030,208,1.4285714285714,,
nv,deaths_7dav_incidence_num,20200405,,20201030,208,4.4285714285714,,
ny,deaths_7dav_incidence_num,20200405,,20201030,208,674.57142857143,,
oh,deaths_7dav_incidence_num,20200405,,20201030,208,12.857142857143,,
ok,deaths_7dav_incidence_num,20200405,,20201030,208,4.2857142857143,,
or,deaths_7dav_incidence_num,20200405,,20201014,192,2,,
pa,deaths_7dav_incidence_num,20200405,,20201030,208,15.714285714286,,
pr,deaths_7dav_incidence_num,20200405,,20201030,208,2.4285714285714,,
ri,deaths_7dav_incidence_num,20200405,,20201030,208,2.7142857142857,,
sc,deaths_7dav_incidence_num,20200405,,20201014,192,4,,
sd,deaths_7dav_incidence_num,20200405,,20201030,208,0.14285714285714,,
tn,deaths_7dav_incidence_num,20200405,,20201030,208,6.4285714285714,,
tx,deaths_7dav_incidence_num,20200405,,20201030,208,16.571428571429,,
ut,deaths_7dav_incidence_num,20200405,,20201030,208,0.85714285714286,,
va,deaths_7dav_incidence_num,20200405,,20201030,208,4.5714285714286,,
vt,deaths_7dav_incidence_num,20200405,,20201030,208,1.4285714285714,,
wa,deaths_7dav_incidence_num,20200405,,20201030,208,19.714285714286,,
wi,deaths_7dav_incidence_num,20200405,,20201014,192,8,,
wv,deaths_7dav_incidence_num,20200405,,20201030,208,0.42857142857143,,
wy,deaths_7dav_incidence_num,20200405,,20201014,192,0,,
