geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200605,,20201014,131,0,,
al,deaths_7dav_incidence_num,20200605,,20201030,147,9.4285714285714,,
ar,deaths_7dav_incidence_num,20200605,,20201030,147,2.8571428571429,,
az,deaths_7dav_incidence_num,20200605,,20201030,147,18.428571428571,,
ca,deaths_7dav_incidence_num,20200605,,20201030,147,64.571428571429,,
co,deaths_7dav_incidence_num,20200605,,20201030,147,12.571428571429,,
ct,deaths_7dav_incidence_num,20200605,,20201030,147,24.285714285714,,
dc,deaths_7dav_incidence_num,20200605,,20201030,147,2.7142857142857,,
de,deaths_7dav_incidence_num,20200605,,20201030,147,4.5714285714286,,
fl,deaths_7dav_incidence_num,20200605,,20201030,147,35.285714285714,,
ga,deaths_7dav_incidence_num,20200605,,20201030,147,26.714285714286,,
hi,deaths_7dav_incidence_num,20200605,,20201014,131,0,,
ia,deaths_7dav_incidence_num,20200605,,20201030,147,9.8571428571429,,
id,deaths_7dav_incidence_num,20200605,,20201030,147,0.14285714285714,,
il,deaths_7dav_incidence_num,20200605,,20201014,131,75,,
in,deaths_7dav_incidence_num,20200605,,20201030,147,21.142857142857,,
ks,deaths_7dav_incidence_num,20200605,,20201030,147,2.4285714285714,,
ky,deaths_7dav_incidence_num,20200605,,20201030,147,6.8571428571429,,
la,deaths_7dav_incidence_num,20200605,,20201030,147,20.714285714286,,
ma,deaths_7dav_incidence_num,20200605,,20201030,147,73.857142857143,,
md,deaths_7dav_incidence_num,20200605,,20201030,147,33.714285714286,,
me,deaths_7dav_incidence_num,20200605,,20201030,147,1.8571428571429,,
mi,deaths_7dav_incidence_num,20200605,,20201030,147,37.285714285714,,
mn,deaths_7dav_incidence_num,20200605,,20201030,147,21.857142857143,,
mo,deaths_7dav_incidence_num,20200605,,20201030,147,6.5714285714286,,
ms,deaths_7dav_incidence_num,20200605,,20201030,147,13.285714285714,,
mt,deaths_7dav_incidence_num,20200605,,20201030,147,0.14285714285714,,
nc,deaths_7dav_incidence_num,20200605,,20201030,147,13.714285714286,,
nd,deaths_7dav_incidence_num,20200605,,20201030,147,1.7142857142857,,
ne,deaths_7dav_incidence_num,20200605,,20201030,147,3.2857142857143,,
nh,deaths_7dav_incidence_num,20200605,,20201030,147,5.7142857142857,,
nj,deaths_7dav_incidence_num,20200605,,20201030,147,77.428571428571,,
nm,deaths_7dav_incidence_num,20200605,,20201030,147,6.1428571428571,,
nv,deaths_7dav_incidence_num,20200605,,20201030,147,4.2857142857143,,
ny,deaths_7dav_incidence_num,20200605,,20201030,147,77.428571428571,,
oh,deaths_7dav_incidence_num,20200605,,20201030,147,32.285714285714,,
ok,deaths_7dav_incidence_num,20200605,,20201030,147,2.2857142857143,,
or,deaths_7dav_incidence_num,20200605,,20201030,147,1.4285714285714,,
pa,deaths_7dav_incidence_num,20200605,,20201014,131,62,,
pr,deaths_7dav_incidence_num,20200605,,20201030,147,1.2857142857143,,
ri,deaths_7dav_incidence_num,20200605,,20201030,147,18.857142857143,,
sc,deaths_7dav_incidence_num,20200605,,20201014,131,8,,
sd,deaths_7dav_incidence_num,20200605,,20201030,147,0.71428571428571,,
tn,deaths_7dav_incidence_num,20200605,,20201030,147,6.7142857142857,,
tx,deaths_7dav_incidence_num,20200605,,20201030,147,30.428571428571,,
ut,deaths_7dav_incidence_num,20200605,,20201030,147,1.8571428571429,,
va,deaths_7dav_incidence_num,20200605,,20201030,147,13.714285714286,,
vt,deaths_7dav_incidence_num,20200605,,20201014,131,0,,
wa,deaths_7dav_incidence_num,20200605,,20201030,147,5.4285714285714,,
wi,deaths_7dav_incidence_num,20200605,,20201030,147,9.2857142857143,,
wv,deaths_7dav_incidence_num,20200605,,20201030,147,1.4285714285714,,
wy,deaths_7dav_incidence_num,20200605,,20201030,147,0.28571428571429,,
