geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200402,,20201030,211,0.28571428571429,,
al,deaths_7dav_incidence_num,20200402,,20201030,211,4.4285714285714,,
ar,deaths_7dav_incidence_num,20200402,,20201030,211,1.4285714285714,,
az,deaths_7dav_incidence_num,20200402,,20201030,211,3.8571428571429,,
ca,deaths_7dav_incidence_num,20200402,,20201030,211,22.428571428571,,
co,deaths_7dav_incidence_num,20200402,,20201030,211,11.142857142857,,
ct,deaths_7dav_incidence_num,20200402,,20201014,195,13,,
dc,deaths_7dav_incidence_num,20200402,,20201030,211,1.2857142857143,,
de,deaths_7dav_incidence_num,20200402,,20201030,211,1.5714285714286,,
fl,deaths_7dav_incidence_num,20200402,,20201030,211,19.285714285714,,
ga,deaths_7dav_incidence_num,20200402,,20201030,211,16.428571428571,,
hi,deaths_7dav_incidence_num,20200402,,20201030,211,0.14285714285714,,
ia,deaths_7dav_incidence_num,20200402,,20201030,211,1.4285714285714,,
id,deaths_7dav_incidence_num,20200402,,20201030,211,0.85714285714286,,
il,deaths_7dav_incidence_num,20200402,,20201030,211,19.571428571429,,
in,deaths_7dav_incidence_num,20200402,,20201030,211,8.7142857142857,,
ks,deaths_7dav_incidence_num,20200402,,20201030,211,1.2857142857143,,
ky,deaths_7dav_incidence_num,20200402,,20201030,211,3.7142857142857,,
la,deaths_7dav_incidence_num,20200402,,20201030,211,32.428571428571,,
ma,deaths_7dav_incidence_num,20200402,,20201030,211,18.428571428571,,
md,deaths_7dav_incidence_num,20200402,,20201030,211,4.5714285714286,,
me,deaths_7dav_incidence_num,20200402,,20201014,195,1,,
mi,deaths_7dav_incidence_num,20200402,,20201030,211,54.571428571429,,
mn,deaths_7dav_incidence_num,20200402,,20201030,211,2.2857142857143,,
mo,deaths_7dav_incidence_num,20200402,,20201030,211,3.2857142857143,,
ms,deaths_7dav_incidence_num,20200402,,20201030,211,2.8571428571429,,
mt,deaths_7dav_incidence_num,20200402,,20201030,211,0.85714285714286,,
nc,deaths_7dav_incidence_num,20200402,,20201030,211,2.5714285714286,,
nd,deaths_7dav_incidence_num,20200402,,20201030,211,0.42857142857143,,
ne,deaths_7dav_incidence_num,20200402,,20201030,211,0.71428571428571,,
nh,deaths_7dav_incidence_num,20200402,,20201030,211,0.28571428571429,,
nj,deaths_7dav_incidence_num,20200402,,20201030,211,81.714285714286,,
nm,deaths_7dav_incidence_num,20200402,,20201030,211,0.71428571428571,,
nv,deaths_7dav_incidence_num,20200402,,20201014,195,4,,
ny,deaths_7dav_incidence_num,20200402,,20201030,211,467.28571428571,,
oh,deaths_7dav_incidence_num,20200402,,20201030,211,9.4285714285714,,
ok,deaths_7dav_incidence_num,20200402,,20201030,211,3.8571428571429,,
or,deaths_7dav_incidence_num,20200402,,20201030,211,1.4285714285714,,
pa,deaths_7dav_incidence_num,20200402,,20201030,211,10.285714285714,,
pr,deaths_7dav_incidence_num,20200402,,20201030,211,1.4285714285714,,
ri,deaths_7dav_incidence_num,20200402,,20201030,211,1.5714285714286,,
sc,deaths_7dav_incidence_num,20200402,,20201030,211,3.1428571428571,,
sd,deaths_7dav_incidence_num,20200402,,20201030,211,0.14285714285714,,
tn,deaths_7dav_incidence_num,20200402,,20201030,211,4.7142857142857,,
tx,deaths_7dav_incidence_num,20200402,,20201030,211,10.714285714286,,
ut,deaths_7dav_incidence_num,20200402,,20201030,211,0.85714285714286,,
va,deaths_7dav_incidence_num,20200402,,20201030,211,4.4285714285714,,
vt,deaths_7dav_incidence_num,20200402,,20201030,211,1.1428571428571,,
wa,deaths_7dav_incidence_num,20200402,,20201030,211,17.285714285714,,
wi,deaths_7dav_incidence_num,20200402,,20201014,195,4,,
wv,deaths_7dav_incidence_num,20200402,,20201030,211,0.28571428571429,,
wy,deaths_7dav_incidence_num,20200402,,20201014,195,0,,
