geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200727,,20201030,95,0.42857142857143,,
al,deaths_7dav_incidence_num,20200727,,20201030,95,28.571428571429,,
ar,deaths_7dav_incidence_num,20200727,,20201030,95,6.4285714285714,,
az,deaths_7dav_incidence_num,20200727,,20201030,95,74.285714285714,,
ca,deaths_7dav_incidence_num,20200727,,20201030,95,103.42857142857,,
co,deaths_7dav_incidence_num,20200727,,20201030,95,5.8571428571429,,
ct,deaths_7dav_incidence_num,20200727,,20201030,95,1.7142857142857,,
dc,deaths_7dav_incidence_num,20200727,,20201030,95,0.42857142857143,,
de,deaths_7dav_incidence_num,20200727,,20201014,79,8,,
fl,deaths_7dav_incidence_num,20200727,,20201030,95,122.71428571429,,
ga,deaths_7dav_incidence_num,20200727,,20201030,95,47.428571428571,,
hi,deaths_7dav_incidence_num,20200727,,20201030,95,0.28571428571429,,
ia,deaths_7dav_incidence_num,20200727,,20201030,95,5.4285714285714,,
id,deaths_7dav_incidence_num,20200727,,20201030,95,4.2857142857143,,
il,deaths_7dav_incidence_num,20200727,,20201030,95,16.285714285714,,
in,deaths_7dav_incidence_num,20200727,,20201030,95,11.571428571429,,
ks,deaths_7dav_incidence_num,20200727,,20201014,79,3,,
ky,deaths_7dav_incidence_num,20200727,,20201030,95,5.4285714285714,,
la,deaths_7dav_incidence_num,20200727,,20201030,95,30.285714285714,,
ma,deaths_7dav_incidence_num,20200727,,20201030,95,14.714285714286,,
md,deaths_7dav_incidence_num,20200727,,20201030,95,9.2857142857143,,
me,deaths_7dav_incidence_num,20200727,,20201030,95,0.28571428571429,,
mi,deaths_7dav_incidence_num,20200727,,20201030,95,4.5714285714286,,
mn,deaths_7dav_incidence_num,20200727,,20201030,95,4.4285714285714,,
mo,deaths_7dav_incidence_num,20200727,,20201030,95,11.857142857143,,
ms,deaths_7dav_incidence_num,20200727,,20201014,79,20,,
mt,deaths_7dav_incidence_num,20200727,,20201030,95,1.1428571428571,,
nc,deaths_7dav_incidence_num,20200727,,20201014,79,23,,
nd,deaths_7dav_incidence_num,20200727,,20201030,95,0.85714285714286,,
ne,deaths_7dav_incidence_num,20200727,,20201030,95,0.57142857142857,,
nh,deaths_7dav_incidence_num,20200727,,20201030,95,1.5714285714286,,
nj,deaths_7dav_incidence_num,20200727,,20201030,95,12.714285714286,,
nm,deaths_7dav_incidence_num,20200727,,20201030,95,5.8571428571429,,
nv,deaths_7dav_incidence_num,20200727,,20201014,79,13,,
ny,deaths_7dav_incidence_num,20200727,,20201014,79,16,,
oh,deaths_7dav_incidence_num,20200727,,20201030,95,22.142857142857,,
ok,deaths_7dav_incidence_num,20200727,,20201030,95,6.2857142857143,,
or,deaths_7dav_incidence_num,20200727,,20201030,95,3.8571428571429,,
pa,deaths_7dav_incidence_num,20200727,,20201030,95,15.142857142857,,
pr,deaths_7dav_incidence_num,20200727,,20201014,79,3,,
ri,deaths_7dav_incidence_num,20200727,,20201030,95,1.2857142857143,,
sc,deaths_7dav_incidence_num,20200727,,20201030,95,48.857142857143,,
sd,deaths_7dav_incidence_num,20200727,,20201030,95,0.71428571428571,,
tn,deaths_7dav_incidence_num,20200727,,20201030,95,18.714285714286,,
tx,deaths_7dav_incidence_num,20200727,,20201014,79,241,,
ut,deaths_7dav_incidence_num,20200727,,20201030,95,4.8571428571429,,
va,deaths_7dav_incidence_num,20200727,,20201030,95,7.2857142857143,,
vt,deaths_7dav_incidence_num,20200727,,20201014,79,0,,
wa,deaths_7dav_incidence_num,20200727,,20201030,95,9.2857142857143,,
wi,deaths_7dav_incidence_num,20200727,,20201030,95,6.7142857142857,,
wv,deaths_7dav_incidence_num,20200727,,20201030,95,0.57142857142857,,
wy,deaths_7dav_incidence_num,20200727,,20201030,95,0.14285714285714,,
