geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200517,,20201030,166,3.1428571428571,,
al,confirmed_7dav_incidence_num,20200517,,20201030,166,268.85714285714,,
ar,confirmed_7dav_incidence_num,20200517,,20201030,166,106.71428571429,,
az,confirmed_7dav_incidence_num,20200517,,20201030,166,403.71428571429,,
ca,confirmed_7dav_incidence_num,20200517,,20201030,166,1795.1428571429,,
co,confirmed_7dav_incidence_num,20200517,,20201030,166,319.28571428571,,
ct,confirmed_7dav_incidence_num,20200517,,20201030,166,552.14285714286,,
dc,confirmed_7dav_incidence_num,20200517,,20201030,166,121.57142857143,,
de,confirmed_7dav_incidence_num,20200517,,20201014,150,199,,
fl,confirmed_7dav_incidence_num,20200517,,20201030,166,713.14285714286,,
ga,confirmed_7dav_incidence_num,20200517,,20201030,166,571.28571428571,,
hi,confirmed_7dav_incidence_num,20200517,,20201030,166,1.1428571428571,,
ia,confirmed_7dav_incidence_num,20200517,,20201030,166,384.57142857143,,
id,confirmed_7dav_incidence_num,20200517,,20201014,150,27,,
il,confirmed_7dav_incidence_num,20200517,,20201014,150,2350,,
in,confirmed_7dav_incidence_num,20200517,,20201030,166,521.71428571429,,
ks,confirmed_7dav_incidence_num,20200517,,20201030,166,143.14285714286,,
ky,confirmed_7dav_incidence_num,20200517,,20201030,166,178.28571428571,,
la,confirmed_7dav_incidence_num,20200517,,20201030,166,404.57142857143,,
ma,confirmed_7dav_incidence_num,20200517,,20201030,166,1075.4285714286,,
md,confirmed_7dav_incidence_num,20200517,,20201030,166,888.14285714286,,
me,confirmed_7dav_incidence_num,20200517,,20201030,166,35.857142857143,,
mi,confirmed_7dav_incidence_num,20200517,,20201030,166,626.42857142857,,
mn,confirmed_7dav_incidence_num,20200517,,20201030,166,628.14285714286,,
mo,confirmed_7dav_incidence_num,20200517,,20201030,166,152.42857142857,,
ms,confirmed_7dav_incidence_num,20200517,,20201030,166,256.42857142857,,
mt,confirmed_7dav_incidence_num,20200517,,20201030,166,1.4285714285714,,
nc,confirmed_7dav_incidence_num,20200517,,20201030,166,555.28571428571,,
nd,confirmed_7dav_incidence_num,20200517,,20201030,166,58.428571428571,,
ne,confirmed_7dav_incidence_num,20200517,,20201030,166,286.57142857143,,
nh,confirmed_7dav_incidence_num,20200517,,20201014,150,75,,
nj,confirmed_7dav_incidence_num,20200517,,20201030,166,1107.1428571429,,
nm,confirmed_7dav_incidence_num,20200517,,20201030,166,153.57142857143,,
nv,confirmed_7dav_incidence_num,20200517,,20201030,166,118.42857142857,,
ny,confirmed_7dav_incidence_num,20200517,,20201030,166,2103.7142857143,,
oh,confirmed_7dav_incidence_num,20200517,,20201030,166,548.85714285714,,
ok,confirmed_7dav_incidence_num,20200517,,20201014,150,103,,
or,confirmed_7dav_incidence_num,20200517,,20201030,166,56.428571428571,,
pa,confirmed_7dav_incidence_num,20200517,,20201014,150,823,,
pr,confirmed_7dav_incidence_num,20200517,,20201110,177,15.142857142857,,
ri,confirmed_7dav_incidence_num,20200517,,20201014,150,200,,
sc,confirmed_7dav_incidence_num,20200517,,20201030,166,166.14285714286,,
sd,confirmed_7dav_incidence_num,20200517,,20201030,166,65.857142857143,,
tn,confirmed_7dav_incidence_num,20200517,,20201030,166,339.14285714286,,
tx,confirmed_7dav_incidence_num,20200517,,20201030,166,1305.4285714286,,
ut,confirmed_7dav_incidence_num,20200517,,20201014,150,141,,
va,confirmed_7dav_incidence_num,20200517,,20201014,150,901,,
vt,confirmed_7dav_incidence_num,20200517,,20201030,166,1.8571428571429,,
wa,confirmed_7dav_incidence_num,20200517,,20201030,166,220.28571428571,,
wi,confirmed_7dav_incidence_num,20200517,,20201014,150,332,,
wv,confirmed_7dav_incidence_num,20200517,,20201030,166,18.857142857143,,
wy,confirmed_7dav_incidence_num,20200517,,20201030,166,13.142857142857,,
