geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200525,,20201030,158,2.1428571428571,,
al,confirmed_7dav_incidence_num,20200525,,20201030,158,414.28571428571,,
ar,confirmed_7dav_incidence_num,20200525,,20201030,158,173.71428571429,,
az,confirmed_7dav_incidence_num,20200525,,20201030,158,338.14285714286,,
ca,confirmed_7dav_incidence_num,20200525,,20201014,142,2136,,
co,confirmed_7dav_incidence_num,20200525,,20201104,163,295.28571428571,,
ct,confirmed_7dav_incidence_num,20200525,,20201030,158,393.85714285714,,
dc,confirmed_7dav_incidence_num,20200525,,20201030,158,136.42857142857,,
de,confirmed_7dav_incidence_num,20200525,,20201030,158,156.57142857143,,
fl,confirmed_7dav_incidence_num,20200525,,20201030,158,757.71428571429,,
ga,confirmed_7dav_incidence_num,20200525,,20201014,142,731,,
hi,confirmed_7dav_incidence_num,20200525,,20201030,158,0.42857142857143,,
ia,confirmed_7dav_incidence_num,20200525,,20201030,158,371.71428571429,,
id,confirmed_7dav_incidence_num,20200525,,20201030,158,24.428571428571,,
il,confirmed_7dav_incidence_num,20200525,,20201030,158,2218.8571428571,,
in,confirmed_7dav_incidence_num,20200525,,20201030,158,494.28571428571,,
ks,confirmed_7dav_incidence_num,20200525,,20201030,158,117.42857142857,,
ky,confirmed_7dav_incidence_num,20200525,,20201030,158,90.857142857143,,
la,confirmed_7dav_incidence_num,20200525,,20201030,158,442.85714285714,,
ma,confirmed_7dav_incidence_num,20200525,,20201030,158,699.71428571429,,
md,confirmed_7dav_incidence_num,20200525,,20201030,158,1055.7142857143,,
me,confirmed_7dav_incidence_num,20200525,,20201030,158,51.571428571429,,
mi,confirmed_7dav_incidence_num,20200525,,20201030,158,497.57142857143,,
mn,confirmed_7dav_incidence_num,20200525,,20201030,158,706.14285714286,,
mo,confirmed_7dav_incidence_num,20200525,,20201030,158,175.57142857143,,
ms,confirmed_7dav_incidence_num,20200525,,20201030,158,289.42857142857,,
mt,confirmed_7dav_incidence_num,20200525,,20201030,158,1.2857142857143,,
nc,confirmed_7dav_incidence_num,20200525,,20201030,158,664.71428571429,,
nd,confirmed_7dav_incidence_num,20200525,,20201030,158,75.142857142857,,
ne,confirmed_7dav_incidence_num,20200525,,20201030,158,248.14285714286,,
nh,confirmed_7dav_incidence_num,20200525,,20201030,158,77.857142857143,,
nj,confirmed_7dav_incidence_num,20200525,,20201030,158,978.85714285714,,
nm,confirmed_7dav_incidence_num,20200525,,20201030,158,132.85714285714,,
nv,confirmed_7dav_incidence_num,20200525,,20201030,158,127.85714285714,,
ny,confirmed_7dav_incidence_num,20200525,,20201030,158,1627.5714285714,,
oh,confirmed_7dav_incidence_num,20200525,,20201030,158,574.71428571429,,
ok,confirmed_7dav_incidence_num,20200525,,20201030,158,98.857142857143,,
or,confirmed_7dav_incidence_num,20200525,,20201030,158,37.428571428571,,
pa,confirmed_7dav_incidence_num,20200525,,20201030,158,750.85714285714,,
pr,confirmed_7dav_incidence_num,20200525,,20201110,169,6.2857142857143,,
ri,confirmed_7dav_incidence_num,20200525,,20201030,158,181.42857142857,,
sc,confirmed_7dav_incidence_num,20200525,,20201030,158,176.57142857143,,
sd,confirmed_7dav_incidence_num,20200525,,20201030,158,78.857142857143,,
tn,confirmed_7dav_incidence_num,20200525,,20201030,158,360.57142857143,,
tx,confirmed_7dav_incidence_num,20200525,,20201030,158,1033.1428571429,,
ut,confirmed_7dav_incidence_num,20200525,,20201030,158,162.42857142857,,
va,confirmed_7dav_incidence_num,20200525,,20201014,142,941,,
vt,confirmed_7dav_incidence_num,20200525,,20201030,158,3.1428571428571,,
wa,confirmed_7dav_incidence_num,20200525,,20201030,158,207.71428571429,,
wi,confirmed_7dav_incidence_num,20200525,,20201030,158,413.85714285714,,
wv,confirmed_7dav_incidence_num,20200525,,20201030,158,38.857142857143,,
wy,confirmed_7dav_incidence_num,20200525,,20201014,142,11,,
