geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200523,,20201030,160,2.8571428571429,,
al,confirmed_7dav_incidence_num,20200523,,20201014,144,349,,
ar,confirmed_7dav_incidence_num,20200523,,20201014,144,171,,
az,confirmed_7dav_incidence_num,20200523,,20201014,144,341,,
ca,confirmed_7dav_incidence_num,20200523,,20201014,144,1977,,
co,confirmed_7dav_incidence_num,20200523,,20201014,144,333,,
ct,confirmed_7dav_incidence_num,20200523,,20201030,160,474.14285714286,,
dc,confirmed_7dav_incidence_num,20200523,,20201014,144,132,,
de,confirmed_7dav_incidence_num,20200523,,20201030,160,140.28571428571,,
fl,confirmed_7dav_incidence_num,20200523,,20201030,160,759.42857142857,,
ga,confirmed_7dav_incidence_num,20200523,,20201030,160,718.57142857143,,
hi,confirmed_7dav_incidence_num,20200523,,20201030,160,0.57142857142857,,
ia,confirmed_7dav_incidence_num,20200523,,20201030,160,367.14285714286,,
id,confirmed_7dav_incidence_num,20200523,,20201030,160,25.142857142857,,
il,confirmed_7dav_incidence_num,20200523,,20201030,160,2191.2857142857,,
in,confirmed_7dav_incidence_num,20200523,,20201030,160,517.28571428571,,
ks,confirmed_7dav_incidence_num,20200523,,20201030,160,143.85714285714,,
ky,confirmed_7dav_incidence_num,20200523,,20201030,160,126.14285714286,,
la,confirmed_7dav_incidence_num,20200523,,20201030,160,401.14285714286,,
ma,confirmed_7dav_incidence_num,20200523,,20201030,160,865.57142857143,,
md,confirmed_7dav_incidence_num,20200523,,20201030,160,1075.2857142857,,
me,confirmed_7dav_incidence_num,20200523,,20201030,160,52.142857142857,,
mi,confirmed_7dav_incidence_num,20200523,,20201030,160,519.85714285714,,
mn,confirmed_7dav_incidence_num,20200523,,20201030,160,696.57142857143,,
mo,confirmed_7dav_incidence_num,20200523,,20201030,160,156.57142857143,,
ms,confirmed_7dav_incidence_num,20200523,,20201030,160,268.85714285714,,
mt,confirmed_7dav_incidence_num,20200523,,20201030,160,1.5714285714286,,
nc,confirmed_7dav_incidence_num,20200523,,20201030,160,652.71428571429,,
nd,confirmed_7dav_incidence_num,20200523,,20201030,160,73.857142857143,,
ne,confirmed_7dav_incidence_num,20200523,,20201014,144,249,,
nh,confirmed_7dav_incidence_num,20200523,,20201030,160,76.142857142857,,
nj,confirmed_7dav_incidence_num,20200523,,20201030,160,1150.1428571429,,
nm,confirmed_7dav_incidence_num,20200523,,20201030,160,111.14285714286,,
nv,confirmed_7dav_incidence_num,20200523,,20201030,160,101.85714285714,,
ny,confirmed_7dav_incidence_num,20200523,,20201030,160,1670.5714285714,,
oh,confirmed_7dav_incidence_num,20200523,,20201014,144,562,,
ok,confirmed_7dav_incidence_num,20200523,,20201030,160,103.28571428571,,
or,confirmed_7dav_incidence_num,20200523,,20201030,160,39.428571428571,,
pa,confirmed_7dav_incidence_num,20200523,,20201014,144,832,,
pr,confirmed_7dav_incidence_num,20200523,,20201110,171,16.428571428571,,
ri,confirmed_7dav_incidence_num,20200523,,20201030,160,216.85714285714,,
sc,confirmed_7dav_incidence_num,20200523,,20201030,160,176.28571428571,,
sd,confirmed_7dav_incidence_num,20200523,,20201014,144,71,,
tn,confirmed_7dav_incidence_num,20200523,,20201030,160,360.28571428571,,
tx,confirmed_7dav_incidence_num,20200523,,20201030,160,1046.2857142857,,
ut,confirmed_7dav_incidence_num,20200523,,20201030,160,170.28571428571,,
va,confirmed_7dav_incidence_num,20200523,,20201030,160,866.57142857143,,
vt,confirmed_7dav_incidence_num,20200523,,20201030,160,2.8571428571429,,
wa,confirmed_7dav_incidence_num,20200523,,20201030,160,139.57142857143,,
wi,confirmed_7dav_incidence_num,20200523,,20201030,160,384.28571428571,,
wv,confirmed_7dav_incidence_num,20200523,,20201030,160,33.571428571429,,
wy,confirmed_7dav_incidence_num,20200523,,20201030,160,10.285714285714,,
