geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,confirmed_7dav_incidence_num,20200707,,20201030,115,41.571428571429,,
al,confirmed_7dav_incidence_num,20200707,,20201030,115,1105.7142857143,,
ar,confirmed_7dav_incidence_num,20200707,,20201030,115,533.57142857143,,
az,confirmed_7dav_incidence_num,20200707,,20201030,115,3695.1428571429,,
ca,confirmed_7dav_incidence_num,20200707,,20201030,115,7513.4285714286,,
co,confirmed_7dav_incidence_num,20200707,,20201030,115,278.42857142857,,
ct,confirmed_7dav_incidence_num,20200707,,20201030,115,74.142857142857,,
dc,confirmed_7dav_incidence_num,20200707,,20201030,115,34.571428571429,,
de,confirmed_7dav_incidence_num,20200707,,20201030,115,134.28571428571,,
fl,confirmed_7dav_incidence_num,20200707,,20201030,115,8765.7142857143,,
ga,confirmed_7dav_incidence_num,20200707,,20201030,115,2739.8571428571,,
hi,confirmed_7dav_incidence_num,20200707,,20201014,99,22,,
ia,confirmed_7dav_incidence_num,20200707,,20201030,115,439.85714285714,,
id,confirmed_7dav_incidence_num,20200707,,20201014,99,346,,
il,confirmed_7dav_incidence_num,20200707,,20201030,115,912.71428571429,,
in,confirmed_7dav_incidence_num,20200707,,20201030,115,433.14285714286,,
ks,confirmed_7dav_incidence_num,20200707,,20201030,115,355.71428571429,,
ky,confirmed_7dav_incidence_num,20200707,,20201030,115,270.71428571429,,
la,confirmed_7dav_incidence_num,20200707,,20201030,115,1452.5714285714,,
ma,confirmed_7dav_incidence_num,20200707,,20201030,115,179.28571428571,,
md,confirmed_7dav_incidence_num,20200707,,20201030,115,405.28571428571,,
me,confirmed_7dav_incidence_num,20200707,,20201030,115,26.714285714286,,
mi,confirmed_7dav_incidence_num,20200707,,20201030,115,451.14285714286,,
mn,confirmed_7dav_incidence_num,20200707,,20201030,115,404.28571428571,,
mo,confirmed_7dav_incidence_num,20200707,,20201030,115,443.71428571429,,
ms,confirmed_7dav_incidence_num,20200707,,20201030,115,709.57142857143,,
mt,confirmed_7dav_incidence_num,20200707,,20201030,115,51.428571428571,,
nc,confirmed_7dav_incidence_num,20200707,,20201030,115,1568.7142857143,,
nd,confirmed_7dav_incidence_num,20200707,,20201014,99,46,,
ne,confirmed_7dav_incidence_num,20200707,,20201030,115,146.28571428571,,
nh,confirmed_7dav_incidence_num,20200707,,20201030,115,21.428571428571,,
nj,confirmed_7dav_incidence_num,20200707,,20201030,115,315.85714285714,,
nm,confirmed_7dav_incidence_num,20200707,,20201030,115,225.71428571429,,
nv,confirmed_7dav_incidence_num,20200707,,20201030,115,761.28571428571,,
ny,confirmed_7dav_incidence_num,20200707,,20201030,115,683.28571428571,,
oh,confirmed_7dav_incidence_num,20200707,,20201030,115,1016.4285714286,,
ok,confirmed_7dav_incidence_num,20200707,,20201030,115,494.71428571429,,
or,confirmed_7dav_incidence_num,20200707,,20201030,115,278.42857142857,,
pa,confirmed_7dav_incidence_num,20200707,,20201030,115,679.85714285714,,
pr,confirmed_7dav_incidence_num,20200707,,20201110,126,64.857142857143,,
ri,confirmed_7dav_incidence_num,20200707,,20201030,115,48.714285714286,,
sc,confirmed_7dav_incidence_num,20200707,,20201030,115,1564.7142857143,,
sd,confirmed_7dav_incidence_num,20200707,,20201030,115,54.857142857143,,
tn,confirmed_7dav_incidence_num,20200707,,20201030,115,1429.2857142857,,
tx,confirmed_7dav_incidence_num,20200707,,20201030,115,7566.5714285714,,
ut,confirmed_7dav_incidence_num,20200707,,20201030,115,545.14285714286,,
va,confirmed_7dav_incidence_num,20200707,,20201030,115,564.71428571429,,
vt,confirmed_7dav_incidence_num,20200707,,20201030,115,6.5714285714286,,
wa,confirmed_7dav_incidence_num,20200707,,20201030,115,656.57142857143,,
wi,confirmed_7dav_incidence_num,20200707,,20201030,115,556.71428571429,,
wv,confirmed_7dav_incidence_num,20200707,,20201030,115,85.714285714286,,
wy,confirmed_7dav_incidence_num,20200707,,20201030,115,31.714285714286,,
