geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200610,,20201030,142,0.14285714285714,,
al,deaths_7dav_incidence_num,20200610,,20201014,126,13,,
ar,deaths_7dav_incidence_num,20200610,,20201030,142,3.2857142857143,,
az,deaths_7dav_incidence_num,20200610,,20201030,142,16.857142857143,,
ca,deaths_7dav_incidence_num,20200610,,20201030,142,68.571428571429,,
co,deaths_7dav_incidence_num,20200610,,20201030,142,11.142857142857,,
ct,deaths_7dav_incidence_num,20200610,,20201030,142,18.714285714286,,
dc,deaths_7dav_incidence_num,20200610,,20201030,142,3.7142857142857,,
de,deaths_7dav_incidence_num,20200610,,20201030,142,5.4285714285714,,
fl,deaths_7dav_incidence_num,20200610,,20201030,142,33.571428571429,,
ga,deaths_7dav_incidence_num,20200610,,20201030,142,29.428571428571,,
hi,deaths_7dav_incidence_num,20200610,,20201014,126,0,,
ia,deaths_7dav_incidence_num,20200610,,20201030,142,8.1428571428571,,
id,deaths_7dav_incidence_num,20200610,,20201030,142,0.28571428571429,,
il,deaths_7dav_incidence_num,20200610,,20201030,142,67.714285714286,,
in,deaths_7dav_incidence_num,20200610,,20201030,142,21.142857142857,,
ks,deaths_7dav_incidence_num,20200610,,20201014,126,2,,
ky,deaths_7dav_incidence_num,20200610,,20201030,142,4.8571428571429,,
la,deaths_7dav_incidence_num,20200610,,20201014,126,14,,
ma,deaths_7dav_incidence_num,20200610,,20201030,142,43.142857142857,,
md,deaths_7dav_incidence_num,20200610,,20201014,126,29,,
me,deaths_7dav_incidence_num,20200610,,20201030,142,0.71428571428571,,
mi,deaths_7dav_incidence_num,20200610,,20201030,142,20.142857142857,,
mn,deaths_7dav_incidence_num,20200610,,20201030,142,24.285714285714,,
mo,deaths_7dav_incidence_num,20200610,,20201030,142,4.8571428571429,,
ms,deaths_7dav_incidence_num,20200610,,20201030,142,12.285714285714,,
mt,deaths_7dav_incidence_num,20200610,,20201030,142,0.14285714285714,,
nc,deaths_7dav_incidence_num,20200610,,20201014,126,13,,
nd,deaths_7dav_incidence_num,20200610,,20201014,126,1,,
ne,deaths_7dav_incidence_num,20200610,,20201014,126,3,,
nh,deaths_7dav_incidence_num,20200610,,20201030,142,5.1428571428571,,
nj,deaths_7dav_incidence_num,20200610,,20201030,142,73.428571428571,,
nm,deaths_7dav_incidence_num,20200610,,20201014,126,5,,
nv,deaths_7dav_incidence_num,20200610,,20201030,142,2.5714285714286,,
ny,deaths_7dav_incidence_num,20200610,,20201030,142,60.857142857143,,
oh,deaths_7dav_incidence_num,20200610,,20201030,142,22.714285714286,,
ok,deaths_7dav_incidence_num,20200610,,20201030,142,2.1428571428571,,
or,deaths_7dav_incidence_num,20200610,,20201030,142,1.4285714285714,,
pa,deaths_7dav_incidence_num,20200610,,20201030,142,45.714285714286,,
pr,deaths_7dav_incidence_num,20200610,,20201030,142,0.42857142857143,,
ri,deaths_7dav_incidence_num,20200610,,20201030,142,6.7142857142857,,
sc,deaths_7dav_incidence_num,20200610,,20201030,142,8.1428571428571,,
sd,deaths_7dav_incidence_num,20200610,,20201014,126,1,,
tn,deaths_7dav_incidence_num,20200610,,20201014,126,7,,
tx,deaths_7dav_incidence_num,20200610,,20201030,142,24.428571428571,,
ut,deaths_7dav_incidence_num,20200610,,20201030,142,1.5714285714286,,
va,deaths_7dav_incidence_num,20200610,,20201030,142,12.285714285714,,
vt,deaths_7dav_incidence_num,20200610,,20201014,126,0,,
wa,deaths_7dav_incidence_num,20200610,,20201030,142,5.8571428571429,,
wi,deaths_7dav_incidence_num,20200610,,20201030,142,7.8571428571429,,
wv,deaths_7dav_incidence_num,20200610,,20201014,126,1,,
wy,deaths_7dav_incidence_num,20200610,,20201030,142,0.14285714285714,,
