geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200801,,20201030,90,0.57142857142857,,
al,deaths_7dav_incidence_num,20200801,,20201014,74,21,,
ar,deaths_7dav_incidence_num,20200801,,20201030,90,8.4285714285714,,
az,deaths_7dav_incidence_num,20200801,,20201030,90,65.857142857143,,
ca,deaths_7dav_incidence_num,20200801,,20201030,90,133.85714285714,,
co,deaths_7dav_incidence_num,20200801,,20201030,90,7.1428571428571,,
ct,deaths_7dav_incidence_num,20200801,,20201030,90,2.7142857142857,,
dc,deaths_7dav_incidence_num,20200801,,20201030,90,0.57142857142857,,
de,deaths_7dav_incidence_num,20200801,,20201030,90,0.85714285714286,,
fl,deaths_7dav_incidence_num,20200801,,20201030,90,177.85714285714,,
ga,deaths_7dav_incidence_num,20200801,,20201030,90,47.285714285714,,
hi,deaths_7dav_incidence_num,20200801,,20201014,74,0,,
ia,deaths_7dav_incidence_num,20200801,,20201030,90,6.8571428571429,,
id,deaths_7dav_incidence_num,20200801,,20201030,90,7.2857142857143,,
il,deaths_7dav_incidence_num,20200801,,20201030,90,15.857142857143,,
in,deaths_7dav_incidence_num,20200801,,20201030,90,10.857142857143,,
ks,deaths_7dav_incidence_num,20200801,,20201030,90,4.1428571428571,,
ky,deaths_7dav_incidence_num,20200801,,20201030,90,6.2857142857143,,
la,deaths_7dav_incidence_num,20200801,,20201030,90,33.428571428571,,
ma,deaths_7dav_incidence_num,20200801,,20201030,90,16.571428571429,,
md,deaths_7dav_incidence_num,20200801,,20201030,90,10.428571428571,,
me,deaths_7dav_incidence_num,20200801,,20201030,90,0.57142857142857,,
mi,deaths_7dav_incidence_num,20200801,,20201014,74,8,,
mn,deaths_7dav_incidence_num,20200801,,20201014,74,5,,
mo,deaths_7dav_incidence_num,20200801,,20201030,90,10.857142857143,,
ms,deaths_7dav_incidence_num,20200801,,20201030,90,30.714285714286,,
mt,deaths_7dav_incidence_num,20200801,,20201030,90,2.1428571428571,,
nc,deaths_7dav_incidence_num,20200801,,20201014,74,24,,
nd,deaths_7dav_incidence_num,20200801,,20201030,90,0.57142857142857,,
ne,deaths_7dav_incidence_num,20200801,,20201030,90,2.2857142857143,,
nh,deaths_7dav_incidence_num,20200801,,20201014,74,1,,
nj,deaths_7dav_incidence_num,20200801,,20201030,90,7.7142857142857,,
nm,deaths_7dav_incidence_num,20200801,,20201030,90,6.2857142857143,,
nv,deaths_7dav_incidence_num,20200801,,20201030,90,14.285714285714,,
ny,deaths_7dav_incidence_num,20200801,,20201030,90,10.285714285714,,
oh,deaths_7dav_incidence_num,20200801,,20201030,90,31.142857142857,,
ok,deaths_7dav_incidence_num,20200801,,20201030,90,7.5714285714286,,
or,deaths_7dav_incidence_num,20200801,,20201030,90,5.7142857142857,,
pa,deaths_7dav_incidence_num,20200801,,20201030,90,13.571428571429,,
pr,deaths_7dav_incidence_num,20200801,,20201030,90,3.4285714285714,,
ri,deaths_7dav_incidence_num,20200801,,20201030,90,2.5714285714286,,
sc,deaths_7dav_incidence_num,20200801,,20201030,90,40.857142857143,,
sd,deaths_7dav_incidence_num,20200801,,20201030,90,1.7142857142857,,
tn,deaths_7dav_incidence_num,20200801,,20201030,90,14.714285714286,,
tx,deaths_7dav_incidence_num,20200801,,20201030,90,267.28571428571,,
ut,deaths_7dav_incidence_num,20200801,,20201030,90,5.1428571428571,,
va,deaths_7dav_incidence_num,20200801,,20201014,74,20,,
vt,deaths_7dav_incidence_num,20200801,,20201030,90,0.14285714285714,,
wa,deaths_7dav_incidence_num,20200801,,20201014,74,14,,
wi,deaths_7dav_incidence_num,20200801,,20201014,74,8,,
wv,deaths_7dav_incidence_num,20200801,,20201030,90,1.8571428571429,,
wy,deaths_7dav_incidence_num,20200801,,20201030,90,0.14285714285714,,
