geo_value,signal,time_value,direction,issue,lag,value,stderr,sample_size
ak,deaths_7dav_incidence_num,20200804,,20201030,87,0.42857142857143,,
al,deaths_7dav_incidence_num,20200804,,20201014,71,25,,
ar,deaths_7dav_incidence_num,20200804,,20201030,87,8.8571428571429,,
az,deaths_7dav_incidence_num,20200804,,20201030,87,62.428571428571,,
ca,deaths_7dav_incidence_num,20200804,,20201030,87,143.57142857143,,
co,deaths_7dav_incidence_num,20200804,,20201014,71,6,,
ct,deaths_7dav_incidence_num,20200804,,20201014,71,2,,
dc,deaths_7dav_incidence_num,20200804,,20201030,87,0.57142857142857,,
de,deaths_7dav_incidence_num,20200804,,20201014,71,1,,
fl,deaths_7dav_incidence_num,20200804,,20201030,87,183.57142857143,,
ga,deaths_7dav_incidence_num,20200804,,20201030,87,51.142857142857,,
hi,deaths_7dav_incidence_num,20200804,,20201030,87,0.14285714285714,,
ia,deaths_7dav_incidence_num,20200804,,20201014,71,7,,
id,deaths_7dav_incidence_num,20200804,,20201030,87,7.1428571428571,,
il,deaths_7dav_incidence_num,20200804,,20201030,87,14.857142857143,,
in,deaths_7dav_incidence_num,20200804,,20201030,87,10.285714285714,,
ks,deaths_7dav_incidence_num,20200804,,20201014,71,4,,
ky,deaths_7dav_incidence_num,20200804,,20201030,87,4.5714285714286,,
la,deaths_7dav_incidence_num,20200804,,20201030,87,34.142857142857,,
ma,deaths_7dav_incidence_num,20200804,,20201030,87,15.142857142857,,
md,deaths_7dav_incidence_num,20200804,,20201030,87,10.285714285714,,
me,deaths_7dav_incidence_num,20200804,,20201030,87,0.28571428571429,,
mi,deaths_7dav_incidence_num,20200804,,20201014,71,7,,
mn,deaths_7dav_incidence_num,20200804,,20201030,87,5.7142857142857,,
mo,deaths_7dav_incidence_num,20200804,,20201030,87,8.2857142857143,,
ms,deaths_7dav_incidence_num,20200804,,20201030,87,30.428571428571,,
mt,deaths_7dav_incidence_num,20200804,,20201030,87,1.8571428571429,,
nc,deaths_7dav_incidence_num,20200804,,20201030,87,28.714285714286,,
nd,deaths_7dav_incidence_num,20200804,,20201014,71,1,,
ne,deaths_7dav_incidence_num,20200804,,20201030,87,1.5714285714286,,
nh,deaths_7dav_incidence_num,20200804,,20201030,87,1.2857142857143,,
nj,deaths_7dav_incidence_num,20200804,,20201030,87,4.5714285714286,,
nm,deaths_7dav_incidence_num,20200804,,20201030,87,4.5714285714286,,
nv,deaths_7dav_incidence_num,20200804,,20201030,87,14.714285714286,,
ny,deaths_7dav_incidence_num,20200804,,20201030,87,7.1428571428571,,
oh,deaths_7dav_incidence_num,20200804,,20201030,87,26.857142857143,,
ok,deaths_7dav_incidence_num,20200804,,20201030,87,8.1428571428571,,
or,deaths_7dav_incidence_num,20200804,,20201030,87,4.2857142857143,,
pa,deaths_7dav_incidence_num,20200804,,20201030,87,13.428571428571,,
pr,deaths_7dav_incidence_num,20200804,,20201014,71,4,,
ri,deaths_7dav_incidence_num,20200804,,20201030,87,2.1428571428571,,
sc,deaths_7dav_incidence_num,20200804,,20201030,87,40.285714285714,,
sd,deaths_7dav_incidence_num,20200804,,20201030,87,1.8571428571429,,
tn,deaths_7dav_incidence_num,20200804,,20201030,87,16.857142857143,,
tx,deaths_7dav_incidence_num,20200804,,20201030,87,171.28571428571,,
ut,deaths_7dav_incidence_num,20200804,,20201014,71,5,,
va,deaths_7dav_incidence_num,20200804,,20201030,87,21.285714285714,,
vt,deaths_7dav_incidence_num,20200804,,20201030,87,0.14285714285714,,
wa,deaths_7dav_incidence_num,20200804,,20201030,87,10.142857142857,,
wi,deaths_7dav_incidence_num,20200804,,20201030,87,7.8571428571429,,
wv,deaths_7dav_incidence_num,20200804,,20201030,87,2.2857142857143,,
wy,deaths_7dav_incidence_num,20200804,,20201030,87,0.14285714285714,,
